time;ckpt;id;money
301;gate-keeper;0;
302;vege_1;0;
302;gate-keeper;1;
311;vege_1;1;
471;final-crs_4;0;756
472;final-crs_0;1;197
589;gate-keeper;2;
590;gate-keeper;3;
592;frui_1;3;
616;meat_1;2;
706;final-crs_6;3;131
709;final-crs_3;2;1041
874;gate-keeper;4;
875;gate-keeper;5;
877;vege_1;4;
879;frui_0;5;
943;final-crs_8;4;684
947;final-crs_3;5;1386
1221;gate-keeper;6;
1222;vege_0;6;
1222;gate-keeper;7;
1227;vege_1;7;
1239;final-crs_5;6;279
1245;final-crs_0;7;1102
1560;gate-keeper;8;
1561;vege_1;8;
1561;gate-keeper;9;
1562;gate-keeper;10;
1563;vege_0;9;
1564;frui_0;10;
1629;final-crs_6;8;139
1637;final-crs_4;9;375
1665;final-crs_3;10;695
1711;gate-keeper;11;
1716;vege_0;11;
1718;final-crs_0;11;652
1877;gate-keeper;12;
1922;meat_1;12;
1937;final-crs_1;12;1474
2220;gate-keeper;13;
2221;vege_0;13;
2221;gate-keeper;14;
2225;vege_1;14;
2356;final-crs_6;13;90
2361;final-crs_0;14;756
2468;gate-keeper;15;
2469;gate-keeper;16;
2474;vege_0;15;
2474;vege_1;16;
2501;final-crs_1;15;1134
2563;final-crs_0;16;749
2662;gate-keeper;17;
2665;frui_0;17;
2675;final-crs_5;17;709
2734;gate-keeper;18;
2739;vege_1;18;
2790;final-crs_0;18;1439
3056;gate-keeper;19;
3057;vege_0;19;
3057;gate-keeper;20;
3064;vege_1;20;
3077;final-crs_6;19;789
3096;final-crs_4;20;561
3282;gate-keeper;21;
3283;gate-keeper;22;
3284;vege_1;21;
3287;vege_0;22;
3308;final-crs_6;21;1172
3310;final-crs_4;22;166
3529;gate-keeper;23;
3530;gate-keeper;24;
3532;frui_0;24;
3534;meat_0;23;
3543;final-crs_6;24;461
3547;final-crs_4;23;241
3603;gate-keeper;25;
3606;vege_1;25;
3608;final-crs_2;25;1650
3936;gate-keeper;26;
3937;vege_0;26;
3937;gate-keeper;27;
3939;meat_0;27;
3958;final-crs_1;26;393
3991;final-crs_0;27;1724
4247;gate-keeper;28;
4248;gate-keeper;29;
4252;vege_0;28;
4256;vege_1;29;
4290;final-crs_2;28;621
4326;final-crs_3;29;1274
4438;gate-keeper;30;
4439;frui_0;30;
4446;final-crs_0;30;614
4526;gate-keeper;31;
4530;vege_1;31;
4571;final-crs_3;31;1557
4814;gate-keeper;32;
4815;gate-keeper;33;
4817;vege_1;32;
4818;vege_0;33;
4862;final-crs_5;32;679
4863;final-crs_8;33;1073
5104;gate-keeper;34;
5105;gate-keeper;35;
5107;vege_1;34;
5115;vege_0;35;
5117;final-crs_8;34;183
5122;final-crs_7;35;1146
5365;gate-keeper;36;
5366;vege_1;36;
5366;gate-keeper;37;
5369;frui_1;37;
5395;final-crs_1;36;576
5399;final-crs_7;37;908
5696;gate-keeper;38;
5697;gate-keeper;39;
5698;gate-keeper;40;
5700;vege_0;38;
5701;final-crs_2;38;468
5706;vege_1;39;
5708;vege_0;40;
5731;final-crs_4;39;263
5763;final-crs_3;40;712
5972;gate-keeper;41;
5977;frui_0;41;
5982;final-crs_3;41;274
6118;gate-keeper;42;
6146;meat_0;42;
6166;final-crs_4;42;162
6283;gate-keeper;43;
6284;vege_0;43;
6284;gate-keeper;44;
6287;final-crs_0;43;224
6293;vege_0;44;
6350;final-crs_5;44;884
6608;gate-keeper;45;
6609;gate-keeper;46;
6610;frui_1;45;
6614;vege_0;46;
6647;final-crs_4;45;744
6648;final-crs_1;46;70
6920;gate-keeper;47;
6921;gate-keeper;48;
6925;meat_0;47;
6976;meat_0;48;
6984;final-crs_2;47;1750
6995;final-crs_8;48;134
7196;gate-keeper;49;
7197;gate-keeper;50;
7199;vege_1;49;
7202;vege_0;50;
7213;final-crs_5;49;1298
7268;final-crs_8;50;816
7502;gate-keeper;51;
7503;gate-keeper;52;
7504;frui_0;51;
7510;final-crs_8;51;419
7513;vege_0;52;
7537;final-crs_0;52;527
7752;gate-keeper;53;
7753;gate-keeper;54;
7756;frui_0;53;
7757;frui_1;54;
7759;final-crs_0;53;567
7762;final-crs_8;54;374
8067;gate-keeper;55;
8068;gate-keeper;56;
8073;vege_1;55;
8074;vege_0;56;
8100;final-crs_7;55;618
8119;final-crs_3;56;902
8380;gate-keeper;57;
8381;vege_0;57;
8381;gate-keeper;58;
8383;frui_1;58;
8398;final-crs_4;57;538
8400;final-crs_2;58;533
