time;ckpt;id;money
302;gate-keeper;0;
303;gate-keeper;1;
307;vege_1;0;
308;vege_0;1;
387;final-crs_1;0;118
426;final-crs_6;1;815
655;gate-keeper;2;
656;vege_1;2;
656;gate-keeper;3;
659;vege_0;3;
673;final-crs_5;2;1296
700;final-crs_6;3;258
830;gate-keeper;4;
832;frui_1;4;
862;final-crs_1;4;611
936;gate-keeper;5;
938;frui_0;5;
972;final-crs_3;5;2299
1231;gate-keeper;6;
1232;gate-keeper;7;
1233;vege_1;6;
1240;final-crs_4;6;1696
1246;meat_1;7;
1267;final-crs_8;7;2964
1522;gate-keeper;8;
1523;gate-keeper;9;
1528;frui_0;8;
1528;frui_1;9;
1565;final-crs_8;8;1084
1572;final-crs_1;9;3069
1794;gate-keeper;10;
1795;gate-keeper;11;
1799;frui_0;10;
1819;final-crs_8;10;1520
1828;meat_1;11;
1838;final-crs_1;11;1165
2140;gate-keeper;12;
2141;gate-keeper;13;
2144;frui_1;12;
2145;frui_0;13;
2178;final-crs_3;12;2376
2213;final-crs_2;13;102
2444;gate-keeper;14;
2445;vege_1;14;
2445;gate-keeper;15;
2446;gate-keeper;16;
2448;vege_0;15;
2455;vege_1;16;
2479;final-crs_8;14;2356
2489;final-crs_2;15;1312
2523;final-crs_4;16;3690
2777;gate-keeper;17;
2778;gate-keeper;18;
2785;vege_1;17;
2785;meat_1;18;
2811;final-crs_3;17;1779
2835;final-crs_0;18;1507
3073;gate-keeper;19;
3074;gate-keeper;20;
3076;vege_0;19;
3077;vege_1;20;
3132;final-crs_7;19;1464
3156;final-crs_6;20;1926
3350;gate-keeper;21;
3351;gate-keeper;22;
3352;vege_1;21;
3354;vege_0;22;
3390;final-crs_6;21;931
3392;final-crs_7;22;1820
3659;gate-keeper;23;
3660;gate-keeper;24;
3662;frui_0;23;
3690;meat_0;24;
3701;final-crs_4;23;2425
3716;final-crs_1;24;483
3909;gate-keeper;25;
3910;vege_1;25;
3910;gate-keeper;26;
3922;meat_1;26;
3928;final-crs_6;25;243
3947;final-crs_4;26;454
4270;gate-keeper;27;
4271;gate-keeper;28;
4276;vege_0;27;
4277;vege_1;28;
4326;final-crs_3;27;553
4335;final-crs_5;28;462
4542;gate-keeper;29;
4543;vege_1;29;
4543;gate-keeper;30;
4552;vege_0;30;
4565;final-crs_5;29;1218
4570;final-crs_3;30;549
4905;gate-keeper;31;
4906;gate-keeper;32;
4907;vege_1;31;
4915;vege_0;32;
4923;final-crs_8;31;2373
5015;final-crs_7;32;358
5187;gate-keeper;33;
5188;gate-keeper;34;
5189;vege_1;33;
5197;vege_0;34;
