time;ckpt;id;money
304;gate-keeper;0;
305;frui_0;0;
408;final-crs_8;0;175
585;gate-keeper;1;
586;gate-keeper;2;
588;vege_0;1;
591;meat_1;2;
616;final-crs_8;1;178
630;final-crs_0;2;1997
907;gate-keeper;3;
908;gate-keeper;4;
910;vege_0;3;
917;vege_1;4;
925;final-crs_7;3;1020
940;final-crs_4;4;1201
987;gate-keeper;5;
988;vege_1;5;
989;final-crs_2;5;60
1201;gate-keeper;6;
1203;frui_0;6;
1211;final-crs_3;6;472
1538;gate-keeper;7;
1539;gate-keeper;8;
1540;gate-keeper;9;
1542;vege_0;7;
1542;vege_1;8;
1551;vege_0;9;
1568;final-crs_8;7;392
1584;final-crs_0;8;751
1663;final-crs_4;9;437
1877;gate-keeper;10;
1878;gate-keeper;11;
1879;vege_1;10;
1886;final-crs_4;10;792
1886;meat_0;11;
1909;final-crs_2;11;1928
2121;gate-keeper;12;
2124;frui_1;12;
2136;final-crs_8;12;894
2389;gate-keeper;13;
2390;gate-keeper;14;
2393;frui_0;13;
2395;frui_1;14;
2412;final-crs_8;13;1418
2441;final-crs_6;14;136
2703;gate-keeper;15;
2704;gate-keeper;16;
2709;vege_1;15;
2711;vege_0;16;
2726;final-crs_1;15;86
2840;final-crs_4;16;581
2871;gate-keeper;17;
2872;gate-keeper;18;
2877;meat_1;17;
2878;vege_0;18;
2881;final-crs_0;17;577
2883;final-crs_2;18;468
3028;gate-keeper;19;
3049;meat_1;19;
3058;final-crs_8;19;1401
3311;gate-keeper;20;
3312;gate-keeper;21;
3316;frui_1;21;
3317;vege_0;20;
3339;final-crs_3;21;889
3361;final-crs_2;20;720
3657;gate-keeper;22;
3658;gate-keeper;23;
3660;vege_1;22;
3661;final-crs_4;22;253
3662;vege_0;23;
3722;final-crs_1;23;572
3844;gate-keeper;24;
3847;vege_0;24;
3849;final-crs_2;24;225
3894;gate-keeper;25;
3899;frui_0;25;
3926;final-crs_4;25;1118
4233;gate-keeper;26;
4234;gate-keeper;27;
