time;ckpt;id;money
286;gate-keeper;0;
290;vege_0;0;
427;final-crs_2;0;334
657;gate-keeper;1;
658;gate-keeper;2;
660;vege_1;1;
679;final-crs_1;1;147
699;meat_1;2;
707;final-crs_3;2;1389
944;gate-keeper;3;
955;meat_0;3;
957;final-crs_7;3;256
1234;gate-keeper;4;
1235;gate-keeper;5;
1238;vege_1;4;
1240;vege_0;5;
1241;final-crs_3;4;1117
1333;final-crs_1;5;525
1506;gate-keeper;6;
1507;vege_1;6;
1574;final-crs_1;6;366
1846;gate-keeper;7;
1847;gate-keeper;8;
1849;vege_0;7;
1849;vege_1;8;
1856;final-crs_2;7;170
1858;final-crs_0;8;1476
2201;gate-keeper;9;
2202;vege_0;9;
2202;gate-keeper;10;
2212;vege_1;10;
2295;final-crs_6;9;618
2316;final-crs_0;10;934
2516;gate-keeper;11;
2522;vege_0;11;
2531;final-crs_0;11;580
2776;gate-keeper;12;
2783;frui_0;12;
2791;final-crs_6;12;237
3062;gate-keeper;13;
3063;frui_1;13;
3063;gate-keeper;14;
3068;vege_0;14;
3073;final-crs_3;13;65
3090;final-crs_7;14;1396
3283;gate-keeper;15;
3289;frui_0;15;
3319;final-crs_3;15;132
3381;gate-keeper;16;
3388;vege_0;16;
3410;final-crs_0;16;1315
3661;gate-keeper;17;
3666;vege_0;17;
3696;final-crs_5;17;282
3938;gate-keeper;18;
3940;vege_1;18;
3947;final-crs_1;18;484
4263;gate-keeper;19;
4264;gate-keeper;20;
4265;vege_0;19;
4267;vege_1;20;
4298;final-crs_3;19;199
4338;final-crs_8;20;252
4598;gate-keeper;21;
4599;gate-keeper;22;
4606;frui_0;22;
4608;final-crs_8;22;1572
4627;meat_0;21;
4656;final-crs_1;21;813
4928;gate-keeper;23;
4934;vege_1;23;
4954;final-crs_7;23;904
5204;gate-keeper;24;
5205;gate-keeper;25;
5206;vege_0;25;
5210;frui_0;24;
5236;final-crs_3;25;458
5237;final-crs_4;24;619
5479;gate-keeper;26;
5527;meat_0;26;
5586;final-crs_2;26;958
5786;gate-keeper;27;
5787;gate-keeper;28;
5790;vege_1;27;
5793;vege_0;28;
5798;final-crs_6;27;848
5805;final-crs_8;28;246
6065;gate-keeper;29;
