time;ckpt;id;money
279;gate-keeper;0;
281;frui_1;0;
426;final-crs_5;0;1349
542;gate-keeper;1;
543;gate-keeper;2;
551;vege_1;2;
552;meat_0;1;
670;final-crs_3;2;933
679;final-crs_5;1;633
793;gate-keeper;3;
797;vege_1;3;
892;final-crs_5;3;790
1030;gate-keeper;4;
1031;gate-keeper;5;
1034;vege_1;5;
1047;meat_0;4;
1137;final-crs_5;5;1509
1166;final-crs_6;4;474
1369;gate-keeper;6;
1370;gate-keeper;7;
1374;vege_1;7;
1389;final-crs_8;7;865
1413;meat_1;6;
1424;final-crs_3;6;445
1684;gate-keeper;8;
1685;frui_1;8;
1685;gate-keeper;9;
1688;vege_1;9;
1694;final-crs_2;8;1789
1849;final-crs_3;9;617
1886;gate-keeper;10;
1887;vege_0;10;
1901;final-crs_7;10;717
2018;gate-keeper;11;
2075;meat_1;11;
2082;final-crs_8;11;1456
2326;gate-keeper;12;
2327;gate-keeper;13;
2368;meat_0;12;
2379;final-crs_1;12;210
2385;meat_1;13;
2411;final-crs_7;13;198
2668;gate-keeper;14;
2669;gate-keeper;15;
2670;vege_0;15;
2692;meat_1;14;
2710;final-crs_2;15;132
2734;final-crs_6;14;381
2842;gate-keeper;16;
2846;vege_0;16;
2852;final-crs_7;16;609
2949;gate-keeper;17;
2955;vege_1;17;
2964;final-crs_6;17;1492
3198;gate-keeper;18;
3205;vege_0;18;
3265;final-crs_5;18;737
3352;gate-keeper;19;
3358;vege_0;19;
3359;final-crs_7;19;1487
3468;gate-keeper;20;
3493;meat_1;20;
3553;final-crs_4;20;1273
3800;gate-keeper;21;
3801;gate-keeper;22;
3804;frui_1;21;
3829;final-crs_1;21;560
3830;meat_1;22;
3843;final-crs_3;22;1714
4089;gate-keeper;23;
4096;vege_0;23;
4105;final-crs_3;23;138
4431;gate-keeper;24;
4432;gate-keeper;25;
4441;vege_0;24;
4441;vege_1;25;
4491;final-crs_8;24;421
4513;final-crs_0;25;262
4733;gate-keeper;26;
4734;gate-keeper;27;
4735;vege_1;26;
4735;meat_0;27;
4747;final-crs_0;26;1858
4768;final-crs_4;27;2022
5011;gate-keeper;28;
5012;gate-keeper;29;
5013;vege_1;28;
5021;vege_0;29;
5076;final-crs_1;28;437
5118;final-crs_6;29;1274
5309;gate-keeper;30;
5310;gate-keeper;31;
5314;frui_0;31;
5317;meat_0;30;
5326;final-crs_6;31;1562
5380;final-crs_3;30;865
5659;gate-keeper;32;
5660;gate-keeper;33;
5663;vege_1;32;
5667;vege_0;33;
5694;final-crs_0;32;685
5728;final-crs_1;33;1547
5844;gate-keeper;34;
5846;meat_0;34;
5847;final-crs_3;34;1087
6253;gate-keeper;35;
6254;gate-keeper;36;
6255;vege_1;36;
6258;meat_1;35;
6287;final-crs_5;36;870
6301;final-crs_3;35;190
6571;gate-keeper;37;
6572;gate-keeper;38;
6573;vege_1;38;
6599;meat_1;37;
6678;final-crs_7;38;320
6698;final-crs_4;37;1143
6871;gate-keeper;39;
6878;vege_1;39;
6917;final-crs_4;39;84
6922;gate-keeper;40;
6923;vege_1;40;
6925;final-crs_7;40;473
7145;gate-keeper;41;
7147;vege_1;41;
7150;final-crs_4;41;292
7316;gate-keeper;42;
7319;vege_0;42;
7354;final-crs_7;42;1222
7459;gate-keeper;43;
7462;meat_1;43;
7495;final-crs_6;43;72
7740;gate-keeper;44;
7743;vege_1;44;
7772;final-crs_5;44;516
7773;gate-keeper;45;
7828;meat_1;45;
7859;final-crs_0;45;245
8020;gate-keeper;46;
8058;meat_0;46;
8063;final-crs_0;46;244
8325;gate-keeper;47;
8326;vege_1;47;
8326;gate-keeper;48;
8335;vege_0;48;
8383;final-crs_2;47;1371
8386;final-crs_6;48;541
8630;gate-keeper;49;
8631;gate-keeper;50;
8638;vege_1;49;
8639;vege_0;50;
8651;final-crs_6;49;1225
8653;final-crs_1;50;659
8996;gate-keeper;51;
8997;gate-keeper;52;
8998;vege_0;51;
9005;vege_1;52;
9013;final-crs_0;51;977
9032;final-crs_8;52;142
9314;gate-keeper;53;
9323;meat_1;53;
9339;final-crs_1;53;619
9581;gate-keeper;54;
9582;vege_1;54;
9582;gate-keeper;55;
9583;final-crs_7;54;707
9588;vege_0;55;
9594;final-crs_1;55;197
9872;gate-keeper;56;
9922;meat_1;56;
9952;final-crs_8;56;1192
10180;gate-keeper;57;
10181;gate-keeper;58;
10186;vege_0;57;
10186;vege_1;58;
10193;final-crs_8;57;69
10226;final-crs_1;58;285
10249;gate-keeper;59;
10250;frui_0;59;
10283;final-crs_6;59;1417
10492;gate-keeper;60;
10494;vege_0;60;
10524;final-crs_3;60;174
10804;gate-keeper;61;
10805;gate-keeper;62;
10806;vege_1;62;
10810;final-crs_6;62;205
10816;meat_0;61;
10879;final-crs_0;61;2331
11050;gate-keeper;63;
11051;gate-keeper;64;
11053;vege_1;64;
11057;final-crs_0;64;845
11063;meat_1;63;
11120;final-crs_7;63;90
11251;gate-keeper;65;
11253;vege_0;65;
11260;final-crs_6;65;345
11587;gate-keeper;66;
11588;gate-keeper;67;
11596;vege_1;67;
11598;final-crs_7;67;514
11617;meat_1;66;
11668;final-crs_0;66;1568
11927;gate-keeper;68;
11928;gate-keeper;69;
11929;vege_0;68;
11934;vege_1;69;
11951;final-crs_3;68;2102
11951;final-crs_6;69;853
12092;gate-keeper;70;
12094;vege_1;70;
12159;final-crs_6;70;558
12476;gate-keeper;71;
12477;gate-keeper;72;
12481;meat_1;71;
12482;vege_0;72;
12488;final-crs_2;71;651
12496;final-crs_1;72;980
12816;gate-keeper;73;
12817;gate-keeper;74;
12818;meat_0;74;
12824;vege_1;73;
12865;final-crs_6;74;149
12912;final-crs_2;73;1129
13152;gate-keeper;75;
13153;gate-keeper;76;
13158;vege_0;75;
13162;vege_1;76;
13164;final-crs_2;75;2030
13166;final-crs_3;76;897
13451;gate-keeper;77;
13461;meat_1;77;
13542;final-crs_1;77;691
13766;gate-keeper;78;
13767;gate-keeper;79;
13770;vege_1;79;
13780;final-crs_6;79;1490
13788;meat_1;78;
13800;final-crs_8;78;1152
13817;gate-keeper;80;
13820;vege_0;80;
13844;final-crs_4;80;842
14020;gate-keeper;81;
14021;meat_1;81;
14042;final-crs_7;81;957
14338;gate-keeper;82;
14339;gate-keeper;83;
14344;vege_0;83;
14365;final-crs_4;83;1351
14365;meat_0;82;
14418;final-crs_0;82;398
14612;gate-keeper;84;
14621;vege_0;84;
14628;final-crs_4;84;430
14763;gate-keeper;85;
14766;vege_1;85;
14771;final-crs_8;85;1667
14961;gate-keeper;86;
14966;meat_1;86;
15027;final-crs_8;86;1854
15195;gate-keeper;87;
15219;meat_0;87;
15254;final-crs_8;87;945
15479;gate-keeper;88;
15480;gate-keeper;89;
15482;vege_0;88;
15503;meat_1;89;
15504;final-crs_8;88;1743
15510;final-crs_6;89;216
15695;gate-keeper;90;
15714;meat_0;90;
15728;final-crs_5;90;1308
15794;gate-keeper;91;
15796;vege_0;91;
15799;final-crs_7;91;372
16099;gate-keeper;92;
16101;frui_1;92;
16121;final-crs_2;92;1543
16405;gate-keeper;93;
16406;gate-keeper;94;
16408;meat_0;93;
16424;meat_1;94;
16461;final-crs_6;93;519
16464;final-crs_7;94;421
16625;gate-keeper;95;
16626;vege_1;95;
16626;gate-keeper;96;
16630;final-crs_2;95;1156
16634;meat_1;96;
16664;final-crs_3;96;262
16949;gate-keeper;97;
16950;frui_0;97;
16950;gate-keeper;98;
16951;meat_1;98;
16994;final-crs_1;97;371
17014;final-crs_5;98;1571
17273;gate-keeper;99;
17306;meat_1;99;
17344;final-crs_0;99;1182
17403;gate-keeper;100;
17405;frui_0;100;
17414;final-crs_7;100;88
17537;gate-keeper;101;
17538;vege_1;101;
17564;final-crs_0;101;2356
17851;gate-keeper;102;
17852;gate-keeper;103;
17857;vege_1;102;
17859;vege_0;103;
17899;final-crs_4;102;315
17899;final-crs_5;103;1066
18148;gate-keeper;104;
18149;gate-keeper;105;
18155;vege_0;104;
18156;vege_1;105;
18224;final-crs_1;104;1922
18240;final-crs_0;105;318
18455;gate-keeper;106;
18456;gate-keeper;107;
18457;gate-keeper;108;
18458;gate-keeper;109;
18459;gate-keeper;110;
18460;vege_1;108;
18460;gate-keeper;111;
18461;gate-keeper;112;
18462;final-crs_0;108;1514
18462;vege_0;109;
18463;frui_0;111;
18469;vege_1;112;
18473;meat_0;106;
18489;meat_1;107;
18512;final-crs_2;109;1363
18522;final-crs_3;111;1764
18526;final-crs_8;112;251
18541;meat_0;110;
18560;final-crs_5;106;976
18600;final-crs_6;107;1317
18620;final-crs_4;110;836
18749;gate-keeper;113;
18750;gate-keeper;114;
18753;vege_1;114;
18754;frui_0;113;
18762;final-crs_8;114;369
18823;final-crs_5;113;1946
19046;gate-keeper;115;
19047;vege_0;115;
19047;gate-keeper;116;
19055;vege_1;116;
19062;final-crs_4;115;1553
19143;final-crs_1;116;2060
