time;ckpt;id;money
290;gate-keeper;0;
295;frui_1;0;
420;final-crs_5;0;404
595;gate-keeper;1;
596;frui_0;1;
596;gate-keeper;2;
597;vege_1;2;
655;final-crs_5;1;848
663;final-crs_3;2;263
869;gate-keeper;3;
870;gate-keeper;4;
873;frui_0;4;
885;final-crs_5;4;1264
899;meat_1;3;
916;final-crs_2;3;1147
1182;gate-keeper;5;
1183;gate-keeper;6;
1184;vege_0;5;
1186;final-crs_4;5;401
1190;vege_1;6;
1196;final-crs_3;6;1012
1507;gate-keeper;7;
1508;gate-keeper;8;
1510;vege_0;8;
1519;meat_0;7;
1522;final-crs_1;8;554
1561;final-crs_5;7;1010
1821;gate-keeper;9;
1822;gate-keeper;10;
1825;frui_0;9;
1828;vege_1;10;
1853;final-crs_4;9;993
1861;final-crs_2;10;335
2088;gate-keeper;11;
2090;vege_0;11;
2107;final-crs_4;11;395
2366;gate-keeper;12;
2368;frui_0;12;
2383;final-crs_6;12;328
2416;gate-keeper;13;
2417;frui_0;13;
2422;final-crs_8;13;925
2609;gate-keeper;14;
2612;frui_0;14;
2620;final-crs_4;14;140
2927;gate-keeper;15;
2928;gate-keeper;16;
2929;frui_0;15;
2931;final-crs_8;15;521
2937;vege_1;16;
2947;final-crs_7;16;582
3186;gate-keeper;17;
3190;vege_1;17;
3207;final-crs_1;17;439
3232;gate-keeper;18;
3239;vege_0;18;
3293;final-crs_0;18;1301
3466;gate-keeper;19;
3470;vege_1;19;
3523;final-crs_0;19;630
3775;gate-keeper;20;
3776;gate-keeper;21;
3827;meat_1;20;
3830;meat_0;21;
3842;final-crs_3;20;441
3848;final-crs_8;21;885
4064;gate-keeper;22;
4065;gate-keeper;23;
4068;frui_0;23;
4072;final-crs_0;23;588
4118;meat_0;22;
4140;final-crs_7;22;949
4361;gate-keeper;24;
4365;vege_1;24;
4376;final-crs_7;24;968
4627;gate-keeper;25;
4628;gate-keeper;26;
4631;vege_0;25;
4632;vege_1;26;
4639;final-crs_5;25;1238
4641;final-crs_7;26;715
4994;gate-keeper;27;
4995;gate-keeper;28;
4998;vege_1;27;
5015;meat_0;28;
5040;final-crs_0;27;1756
5067;final-crs_8;28;103
5323;gate-keeper;29;
5324;gate-keeper;30;
5326;vege_0;29;
5326;vege_1;30;
5330;final-crs_7;29;1053
5359;final-crs_5;30;1696
5615;gate-keeper;31;
5616;vege_0;31;
5645;final-crs_2;31;1866
5880;gate-keeper;32;
5881;gate-keeper;33;
5883;vege_0;33;
5883;frui_1;32;
5888;final-crs_1;33;2646
5904;final-crs_2;32;1770
6237;gate-keeper;34;
6238;gate-keeper;35;
6239;frui_1;34;
6240;vege_1;35;
6258;final-crs_7;34;67
6292;final-crs_5;35;1154
6482;gate-keeper;36;
6483;gate-keeper;37;
6484;vege_1;36;
6484;frui_1;37;
6489;final-crs_0;36;201
6515;final-crs_5;37;812
6752;gate-keeper;38;
6754;frui_1;38;
6758;final-crs_7;38;80
6981;gate-keeper;39;
6982;gate-keeper;40;
6984;frui_1;39;
7014;final-crs_7;39;770
7021;meat_0;40;
7034;final-crs_5;40;146
7358;gate-keeper;41;
7359;vege_1;41;
7359;gate-keeper;42;
7389;final-crs_6;41;353
7390;meat_1;42;
7409;final-crs_0;42;954
7585;gate-keeper;43;
7589;frui_1;43;
7638;final-crs_0;43;544
7644;gate-keeper;44;
7647;frui_1;44;
7680;final-crs_4;44;643
7898;gate-keeper;45;
7902;vege_0;45;
7943;final-crs_5;45;752
8208;gate-keeper;46;
8209;gate-keeper;47;
8212;frui_0;46;
8215;frui_1;47;
8219;final-crs_1;46;90
8272;final-crs_3;47;1144
8455;gate-keeper;48;
8457;frui_1;48;
8460;final-crs_5;48;2026
8726;gate-keeper;49;
8727;gate-keeper;50;
8731;vege_1;50;
8731;frui_0;49;
8755;final-crs_3;50;1792
8765;final-crs_2;49;252
9059;gate-keeper;51;
9060;gate-keeper;52;
9062;frui_0;51;
9068;final-crs_4;51;1426
9069;meat_1;52;
9081;final-crs_7;52;1473
9292;gate-keeper;53;
9297;frui_0;53;
9302;final-crs_0;53;465
9630;gate-keeper;54;
9631;gate-keeper;55;
9633;vege_0;54;
9636;vege_1;55;
9661;final-crs_5;54;850
9705;final-crs_1;55;1674
9948;gate-keeper;56;
9949;gate-keeper;57;
9952;frui_1;56;
9954;frui_0;57;
9972;final-crs_4;56;454
9973;final-crs_2;57;673
10209;gate-keeper;58;
10210;gate-keeper;59;
10212;frui_1;59;
10214;vege_1;58;
10218;final-crs_0;59;1132
10223;final-crs_3;58;213
10486;gate-keeper;60;
10491;vege_0;60;
10527;final-crs_7;60;1062
10815;gate-keeper;61;
10816;gate-keeper;62;
10817;vege_0;62;
10818;frui_0;61;
10827;final-crs_5;62;1215
10827;gate-keeper;63;
10845;final-crs_4;61;179
10854;meat_0;63;
10878;final-crs_1;63;1896
11141;gate-keeper;64;
11146;meat_1;64;
11153;final-crs_4;64;588
11469;gate-keeper;65;
11470;gate-keeper;66;
11471;vege_0;65;
11472;vege_1;66;
11486;final-crs_7;65;665
11492;final-crs_0;66;355
11743;gate-keeper;67;
11744;gate-keeper;68;
11745;vege_0;68;
11769;final-crs_7;68;1107
11777;meat_0;67;
11794;final-crs_2;67;420
12019;gate-keeper;69;
12020;gate-keeper;70;
12024;vege_1;69;
12029;vege_0;70;
12031;final-crs_3;69;617
12036;final-crs_7;70;620
12337;gate-keeper;71;
12338;gate-keeper;72;
12340;vege_1;71;
12343;final-crs_4;71;1235
12390;meat_0;72;
12409;final-crs_8;72;285
12647;gate-keeper;73;
12648;gate-keeper;74;
12652;vege_0;73;
12654;vege_1;74;
12678;final-crs_8;73;1597
12687;final-crs_0;74;1100
12945;gate-keeper;75;
12953;vege_0;75;
12988;final-crs_3;75;380
13267;gate-keeper;76;
13268;frui_1;76;
13268;gate-keeper;77;
13269;frui_0;77;
13289;final-crs_6;76;457
13352;final-crs_4;77;121
13572;gate-keeper;78;
13573;gate-keeper;79;
13574;vege_0;78;
13575;frui_0;79;
13602;final-crs_4;78;265
13606;final-crs_0;79;489
13809;gate-keeper;80;
13835;meat_1;80;
13837;final-crs_4;80;313
13899;gate-keeper;81;
13903;vege_0;81;
13931;final-crs_3;81;689
14194;gate-keeper;82;
14195;gate-keeper;83;
14197;vege_0;82;
14201;vege_1;83;
14205;final-crs_5;82;455
14305;final-crs_6;83;935
14520;gate-keeper;84;
14521;gate-keeper;85;
14522;frui_0;84;
14533;meat_0;85;
14563;final-crs_4;84;807
14569;final-crs_6;85;192
14756;gate-keeper;86;
14757;frui_0;86;
14782;final-crs_4;86;753
14848;gate-keeper;87;
14855;vege_1;87;
14863;final-crs_3;87;1004
15181;gate-keeper;88;
15182;gate-keeper;89;
15185;frui_1;88;
15198;meat_0;89;
15273;final-crs_4;88;1245
15303;final-crs_8;89;629
15496;gate-keeper;90;
15499;vege_0;90;
15505;final-crs_1;90;1696
15725;gate-keeper;91;
15726;frui_0;91;
15726;gate-keeper;92;
15728;vege_0;92;
15741;final-crs_8;91;779
15761;final-crs_1;92;986
15844;gate-keeper;93;
15849;meat_1;93;
15855;final-crs_5;93;699
16143;gate-keeper;94;
16144;frui_1;94;
16194;final-crs_8;94;927
16415;gate-keeper;95;
16416;gate-keeper;96;
16417;frui_1;96;
16429;final-crs_8;96;560
16439;meat_1;95;
16467;final-crs_5;95;1026
16541;gate-keeper;97;
16543;frui_1;97;
16547;final-crs_0;97;610
16716;gate-keeper;98;
16722;frui_0;98;
16742;final-crs_0;98;706
17013;gate-keeper;99;
17014;gate-keeper;100;
17015;frui_0;99;
17025;final-crs_7;99;1454
17040;meat_1;100;
17074;final-crs_4;100;288
17321;gate-keeper;101;
17323;vege_1;101;
17348;final-crs_4;101;382
17491;gate-keeper;102;
17492;gate-keeper;103;
17496;frui_0;103;
17500;final-crs_7;103;1292
17500;meat_1;102;
17515;final-crs_6;102;506
17935;gate-keeper;104;
17936;gate-keeper;105;
17940;vege_0;104;
17945;vege_1;105;
18012;final-crs_6;104;1467
18023;final-crs_7;105;431
18244;gate-keeper;106;
18245;vege_0;106;
18245;gate-keeper;107;
18254;vege_1;107;
18338;final-crs_1;106;523
18344;final-crs_4;107;655
18355;gate-keeper;108;
18359;vege_1;108;
18372;final-crs_0;108;250
18508;gate-keeper;109;
18509;gate-keeper;110;
18510;gate-keeper;111;
