time;ckpt;id;money
260;gate-keeper;0;
261;vege_1;0;
289;final-crs_3;0;1162
611;gate-keeper;1;
612;gate-keeper;2;
613;gate-keeper;3;
614;vege_0;2;
614;frui_1;3;
642;meat_0;1;
651;final-crs_7;2;3207
682;final-crs_5;3;1885
687;final-crs_8;1;1806
863;gate-keeper;4;
864;vege_1;4;
900;final-crs_7;4;2207
937;gate-keeper;5;
942;vege_1;5;
945;final-crs_8;5;2632
1154;gate-keeper;6;
1155;gate-keeper;7;
1160;vege_0;6;
1160;vege_1;7;
1164;final-crs_8;6;2116
1168;final-crs_5;7;3527
1454;gate-keeper;8;
1455;vege_1;8;
1455;gate-keeper;9;
1456;meat_0;9;
1542;final-crs_3;8;1068
1602;final-crs_7;9;573
1762;gate-keeper;10;
1763;gate-keeper;11;
1765;vege_0;10;
1779;final-crs_3;10;6367
1805;meat_1;11;
1813;final-crs_7;11;958
2084;gate-keeper;12;
2085;gate-keeper;13;
2087;frui_0;12;
2088;vege_1;13;
2114;final-crs_5;12;2985
2120;final-crs_4;13;2454
2352;gate-keeper;14;
2353;gate-keeper;15;
2354;frui_0;14;
2358;vege_1;15;
2388;final-crs_0;14;467
2392;final-crs_6;15;2135
2650;gate-keeper;16;
2651;gate-keeper;17;
2655;vege_1;16;
2658;vege_0;17;
2701;final-crs_3;16;1359
2802;final-crs_6;17;2572
2958;gate-keeper;18;
2959;gate-keeper;19;
2960;vege_0;19;
2968;meat_0;18;
3007;final-crs_0;19;671
3019;final-crs_7;18;1015
3273;gate-keeper;20;
3274;frui_0;20;
3274;gate-keeper;21;
3275;frui_1;21;
3325;final-crs_2;20;997
3353;final-crs_5;21;2291
3412;gate-keeper;22;
3417;frui_1;22;
3430;final-crs_4;22;392
3837;gate-keeper;23;
3838;gate-keeper;24;
3839;gate-keeper;25;
3841;frui_1;24;
3845;vege_1;23;
3846;vege_0;25;
3865;final-crs_3;24;4971
3868;final-crs_1;23;488
3891;final-crs_8;25;1396
4182;gate-keeper;26;
4183;gate-keeper;27;
4187;vege_0;26;
4191;vege_1;27;
4237;final-crs_6;26;2259
4246;final-crs_0;27;1269
4384;gate-keeper;28;
4385;frui_0;28;
4388;final-crs_5;28;2824
4506;gate-keeper;29;
4507;vege_0;29;
4511;final-crs_7;29;2042
4808;gate-keeper;30;
4809;vege_1;30;
4809;gate-keeper;31;
4818;final-crs_3;30;1223
4818;vege_0;31;
4865;final-crs_5;31;1147
5093;gate-keeper;32;
5094;gate-keeper;33;
5095;frui_1;33;
5097;vege_1;32;
5105;final-crs_4;33;5207
5139;final-crs_0;32;1161
5201;gate-keeper;34;
5212;meat_0;34;
5217;final-crs_2;34;1669
5386;gate-keeper;35;
5393;vege_1;35;
5445;final-crs_7;35;1298
5693;gate-keeper;36;
5694;gate-keeper;37;
5695;frui_0;36;
5698;vege_1;37;
5707;final-crs_2;36;1515
5708;final-crs_7;37;3898
6001;gate-keeper;38;
6002;gate-keeper;39;
6003;gate-keeper;40;
6010;vege_1;38;
6011;vege_0;39;
6020;vege_1;40;
6026;final-crs_8;38;4159
6033;final-crs_3;39;2141
6041;final-crs_5;40;563
6192;gate-keeper;41;
6198;vege_1;41;
6208;final-crs_7;41;868
6305;gate-keeper;42;
6307;vege_0;42;
6319;final-crs_4;42;576
6480;gate-keeper;43;
6483;vege_0;43;
6543;final-crs_8;43;154
6683;gate-keeper;44;
6684;gate-keeper;45;
6687;vege_0;44;
6694;vege_1;45;
6701;final-crs_1;44;1069
6719;final-crs_2;45;3946
6985;gate-keeper;46;
6986;gate-keeper;47;
6989;frui_1;46;
6990;vege_1;47;
7032;final-crs_0;46;1526
7034;final-crs_3;47;214
7115;gate-keeper;48;
7121;vege_0;48;
7143;final-crs_7;48;1432
7240;gate-keeper;49;
7244;vege_1;49;
7257;final-crs_4;49;2436
7472;gate-keeper;50;
7477;meat_0;50;
7482;final-crs_2;50;2121
7817;gate-keeper;51;
7818;gate-keeper;52;
7819;gate-keeper;53;
7822;vege_0;51;
7822;vege_1;53;
7830;meat_1;52;
7910;final-crs_1;51;2440
7925;final-crs_7;53;1077
7938;final-crs_0;52;1843
8083;gate-keeper;54;
8122;gate-keeper;55;
8125;frui_1;55;
8125;meat_0;54;
8160;final-crs_1;55;1436
8183;final-crs_7;54;2517
8334;gate-keeper;56;
8336;frui_0;56;
8405;final-crs_1;56;1336
8670;gate-keeper;57;
8671;gate-keeper;58;
8674;vege_0;58;
8674;frui_0;57;
8680;final-crs_3;58;108
8687;final-crs_7;57;1051
8961;gate-keeper;59;
8962;gate-keeper;60;
8968;vege_1;60;
8971;final-crs_2;60;2736
8977;meat_1;59;
9017;final-crs_6;59;3134
9126;gate-keeper;61;
9133;vege_0;61;
9139;final-crs_1;61;2885
9281;gate-keeper;62;
9282;gate-keeper;63;
9286;vege_1;63;
9287;meat_0;62;
9361;final-crs_4;63;2686
9380;final-crs_0;62;2801
9552;gate-keeper;64;
9553;gate-keeper;65;
9554;vege_0;64;
9559;final-crs_1;64;704
9560;vege_1;65;
9598;final-crs_4;65;3006
9856;gate-keeper;66;
9857;gate-keeper;67;
9858;vege_1;67;
9868;final-crs_2;67;794
9886;meat_0;66;
9920;final-crs_3;66;795
10069;gate-keeper;68;
10073;vege_0;68;
10074;final-crs_4;68;1857
10140;gate-keeper;69;
10142;frui_1;69;
10147;final-crs_6;69;1416
10416;gate-keeper;70;
10417;gate-keeper;71;
10419;vege_0;70;
10420;vege_1;71;
10503;final-crs_1;70;183
10531;final-crs_4;71;1453
10730;gate-keeper;72;
10731;gate-keeper;73;
10733;vege_1;73;
10744;final-crs_7;73;1024
10750;meat_1;72;
10762;final-crs_4;72;4193
10967;gate-keeper;74;
10968;vege_0;74;
10968;gate-keeper;75;
10969;frui_1;75;
10972;final-crs_7;74;491
11036;final-crs_4;75;945
