time;ckpt;id;money
318;gate-keeper;0;
323;meat_1;0;
430;final-crs_3;0;1410
548;gate-keeper;1;
549;gate-keeper;2;
551;frui_1;1;
571;meat_0;2;
588;final-crs_2;1;869
644;final-crs_4;2;1985
807;gate-keeper;3;
822;meat_1;3;
829;final-crs_2;3;2178
1116;gate-keeper;4;
1117;gate-keeper;5;
1119;vege_0;4;
1121;meat_1;5;
1154;final-crs_3;4;527
1221;final-crs_0;5;1701
1412;gate-keeper;6;
1413;gate-keeper;7;
1414;frui_0;7;
1421;meat_1;6;
1504;final-crs_0;7;1668
1504;final-crs_2;6;845
1756;gate-keeper;8;
1757;gate-keeper;9;
1759;frui_0;9;
1769;meat_1;8;
1815;final-crs_4;9;779
1842;final-crs_3;8;708
2099;gate-keeper;10;
2100;gate-keeper;11;
2104;vege_1;10;
2112;meat_1;11;
2171;final-crs_1;10;966
2171;final-crs_2;11;766
2359;gate-keeper;12;
2362;vege_1;12;
2416;final-crs_2;12;1380
2587;gate-keeper;13;
2592;vege_0;13;
2594;final-crs_3;13;66
2745;gate-keeper;14;
2749;vege_1;14;
2767;final-crs_5;14;222
3029;gate-keeper;15;
3030;gate-keeper;16;
3033;vege_1;15;
3036;vege_0;16;
3065;final-crs_2;15;961
3077;final-crs_3;16;1068
3287;gate-keeper;17;
3314;meat_0;17;
3326;final-crs_3;17;1593
3543;gate-keeper;18;
3544;gate-keeper;19;
3559;meat_0;18;
3586;meat_1;19;
3614;final-crs_1;18;590
3633;final-crs_0;19;2079
3819;gate-keeper;20;
3836;meat_1;20;
3866;final-crs_0;20;1022
4165;gate-keeper;21;
4166;gate-keeper;22;
4167;frui_0;22;
4167;gate-keeper;23;
4172;vege_0;23;
4195;final-crs_3;22;180
4201;meat_0;21;
4202;final-crs_4;23;188
4208;final-crs_5;21;496
4461;gate-keeper;24;
4465;vege_1;24;
4495;final-crs_2;24;176
4730;gate-keeper;25;
4731;gate-keeper;26;
4735;vege_0;25;
4737;frui_1;26;
4769;final-crs_4;25;1380
4781;final-crs_0;26;536
5029;gate-keeper;27;
5032;vege_1;27;
5043;final-crs_4;27;2062
5182;gate-keeper;28;
5185;frui_1;28;
5221;final-crs_5;28;1244
5307;gate-keeper;29;
5308;vege_0;29;
5318;final-crs_3;29;550
5624;gate-keeper;30;
5625;gate-keeper;31;
5626;vege_1;30;
5630;final-crs_3;30;81
5647;meat_1;31;
5716;final-crs_2;31;1453
5897;gate-keeper;32;
5898;gate-keeper;33;
5900;vege_1;32;
5902;meat_0;33;
5942;final-crs_2;32;2328
5977;final-crs_4;33;1794
6165;gate-keeper;34;
6179;meat_1;34;
6200;final-crs_2;34;924
6471;gate-keeper;35;
6472;gate-keeper;36;
6475;frui_0;35;
6475;frui_1;36;
6496;final-crs_2;35;1130
6523;final-crs_6;36;820
6783;gate-keeper;37;
6784;gate-keeper;38;
6786;vege_0;37;
6787;vege_1;38;
6804;final-crs_1;37;433
6850;final-crs_3;38;1848
7048;gate-keeper;39;
7100;meat_1;39;
7171;final-crs_2;39;671
7396;gate-keeper;40;
7397;gate-keeper;41;
7400;vege_1;40;
7402;vege_0;41;
7484;final-crs_4;40;811
7491;final-crs_6;41;1165
7676;gate-keeper;42;
7677;gate-keeper;43;
7682;vege_0;42;
7686;vege_1;43;
7724;final-crs_4;42;1571
7731;final-crs_1;43;443
7844;gate-keeper;44;
7850;vege_0;44;
7860;final-crs_2;44;309
7988;gate-keeper;45;
8018;meat_0;45;
8023;final-crs_0;45;770
8296;gate-keeper;46;
8297;gate-keeper;47;
8340;meat_0;46;
8345;final-crs_2;46;105
8349;meat_1;47;
8419;final-crs_4;47;123
8627;gate-keeper;48;
8629;vege_1;48;
8662;final-crs_4;48;559
8917;gate-keeper;49;
8918;gate-keeper;50;
8922;vege_0;49;
8923;vege_1;50;
8937;final-crs_3;49;1543
8952;final-crs_0;50;2374
9085;gate-keeper;51;
9087;vege_0;51;
9121;final-crs_5;51;291
9224;gate-keeper;52;
9228;vege_1;52;
9315;final-crs_2;52;435
9585;gate-keeper;53;
