time;ckpt;id;money
266;gate-keeper;0;
269;vege_0;0;
408;final-crs_0;0;1236
590;gate-keeper;1;
594;vege_1;1;
598;final-crs_0;1;265
822;gate-keeper;2;
829;vege_0;2;
842;final-crs_0;2;253
943;gate-keeper;3;
959;meat_0;3;
972;final-crs_1;3;1676
1359;gate-keeper;4;
1393;meat_1;4;
1422;final-crs_5;4;1279
1624;gate-keeper;5;
1625;gate-keeper;6;
1632;vege_1;6;
1641;meat_1;5;
1653;final-crs_5;6;456
1703;final-crs_1;5;891
1935;gate-keeper;7;
1945;meat_0;7;
2016;final-crs_3;7;314
2262;gate-keeper;8;
2263;gate-keeper;9;
2264;frui_1;8;
2267;vege_1;9;
2338;final-crs_2;8;243
2340;final-crs_0;9;1619
2549;gate-keeper;10;
2578;meat_0;10;
2584;final-crs_2;10;146
2837;gate-keeper;11;
2839;vege_1;11;
3005;final-crs_3;11;202
3086;gate-keeper;12;
3109;meat_1;12;
3136;gate-keeper;13;
3140;vege_0;13;
3251;final-crs_3;12;901
3258;final-crs_2;13;777
3361;gate-keeper;14;
3367;vege_0;14;
3488;final-crs_3;14;1005
3699;gate-keeper;15;
3707;vege_0;15;
3716;final-crs_2;15;1598
3980;gate-keeper;16;
3981;gate-keeper;17;
3987;vege_1;16;
3988;vege_0;17;
4009;final-crs_3;16;985
4051;final-crs_0;17;332
4311;gate-keeper;18;
4315;frui_1;18;
4329;final-crs_0;18;774
4609;gate-keeper;19;
4655;meat_1;19;
4692;final-crs_4;19;843
4804;gate-keeper;20;
4805;gate-keeper;21;
4811;frui_1;21;
4815;vege_0;20;
4852;final-crs_1;21;803
4882;final-crs_2;20;672
5176;gate-keeper;22;
5180;vege_0;22;
5231;final-crs_4;22;1996
5493;gate-keeper;23;
5497;vege_0;23;
5560;final-crs_3;23;159
5645;gate-keeper;24;
5649;vege_0;24;
5708;final-crs_0;24;206
5784;gate-keeper;25;
5786;frui_1;25;
5788;final-crs_2;25;97
6114;gate-keeper;26;
6115;frui_0;26;
6152;final-crs_0;26;1316
6380;gate-keeper;27;
6389;vege_1;27;
6392;gate-keeper;28;
6399;vege_0;28;
6455;final-crs_5;27;1905
6457;final-crs_4;28;691
6667;gate-keeper;29;
