time;ckpt;id;money
347;gate-keeper;0;
350;meat_0;0;
425;final-crs_1;0;260
653;gate-keeper;1;
654;gate-keeper;2;
660;vege_1;1;
661;vege_0;2;
683;final-crs_1;1;505
690;final-crs_3;2;189
875;gate-keeper;3;
880;vege_0;3;
895;final-crs_3;3;855
1213;gate-keeper;4;
1216;vege_1;4;
1226;final-crs_4;4;313
1545;gate-keeper;5;
1546;vege_0;5;
1546;gate-keeper;6;
1547;frui_0;6;
1601;final-crs_5;5;123
1606;final-crs_3;6;1143
1663;gate-keeper;7;
1667;vege_0;7;
1703;final-crs_0;7;1211
1908;gate-keeper;8;
1910;vege_1;8;
1957;final-crs_0;8;458
2171;gate-keeper;9;
2172;vege_0;9;
2203;final-crs_0;9;1109
2512;gate-keeper;10;
2513;gate-keeper;11;
2514;vege_0;10;
2515;vege_1;11;
2531;final-crs_5;10;342
2535;final-crs_4;11;1064
2818;gate-keeper;12;
2821;meat_0;12;
2822;final-crs_4;12;337
3118;gate-keeper;13;
3119;gate-keeper;14;
3120;vege_1;13;
3121;meat_0;14;
3128;final-crs_2;13;1034
3138;final-crs_1;14;293
3366;gate-keeper;15;
3369;vege_1;15;
3371;final-crs_1;15;532
3580;gate-keeper;16;
3636;meat_0;16;
3673;gate-keeper;17;
3682;final-crs_5;16;465
3693;meat_1;17;
3712;final-crs_4;17;1364
3979;gate-keeper;18;
3985;vege_1;18;
4040;final-crs_1;18;506
4278;gate-keeper;19;
4279;gate-keeper;20;
4308;meat_0;19;
4328;meat_1;20;
4376;final-crs_5;19;1628
4440;final-crs_3;20;1515
4547;gate-keeper;21;
4567;meat_1;21;
4606;final-crs_5;21;1355
4838;gate-keeper;22;
4839;gate-keeper;23;
4853;meat_1;22;
4873;final-crs_0;22;1249
4878;meat_0;23;
4926;final-crs_4;23;1409
5083;gate-keeper;24;
5085;vege_0;24;
5133;final-crs_0;24;1145
5317;gate-keeper;25;
5334;meat_1;25;
5382;final-crs_0;25;1526
5662;gate-keeper;26;
5663;gate-keeper;27;
5665;vege_0;26;
5667;final-crs_1;26;585
5671;vege_1;27;
5675;final-crs_4;27;1019
5988;gate-keeper;28;
6028;meat_0;28;
6092;final-crs_1;28;771
6197;gate-keeper;29;
6198;vege_1;29;
6238;final-crs_5;29;861
6313;gate-keeper;30;
6314;vege_1;30;
6337;final-crs_0;30;1760
6613;gate-keeper;31;
6615;meat_1;31;
6712;final-crs_3;31;1125
6917;gate-keeper;32;
6918;gate-keeper;33;
6921;meat_0;32;
6921;meat_1;33;
6970;final-crs_3;32;111
6994;final-crs_2;33;1192
7122;gate-keeper;34;
7123;vege_0;34;
7192;final-crs_3;34;379
7525;gate-keeper;35;
7526;frui_1;35;
7526;gate-keeper;36;
7527;frui_0;36;
7532;final-crs_4;35;557
7549;final-crs_1;36;620
7823;gate-keeper;37;
7824;gate-keeper;38;
7826;frui_1;37;
7827;vege_1;38;
7844;final-crs_3;37;751
7962;final-crs_5;38;255
8123;gate-keeper;39;
8130;meat_0;39;
8204;final-crs_4;39;731
8424;gate-keeper;40;
8425;gate-keeper;41;
8429;vege_1;41;
8429;meat_0;40;
8439;final-crs_2;41;702
8448;final-crs_4;40;1206
8717;gate-keeper;42;
8719;vege_0;42;
8743;final-crs_1;42;1708
8875;gate-keeper;43;
8877;vege_1;43;
8889;final-crs_2;43;228
9288;gate-keeper;44;
9289;gate-keeper;45;
9290;vege_1;45;
9302;meat_1;44;
9361;final-crs_2;45;1100
9395;final-crs_4;44;381
9641;gate-keeper;46;
9643;vege_0;46;
9675;final-crs_4;46;549
9867;gate-keeper;47;
9868;gate-keeper;48;
9869;vege_0;47;
9918;meat_1;48;
9929;final-crs_4;47;1339
9978;final-crs_1;48;931
10268;gate-keeper;49;
10269;gate-keeper;50;
10272;vege_0;49;
10299;meat_0;50;
10439;final-crs_2;49;1137
10440;final-crs_4;50;579
10513;gate-keeper;51;
10514;vege_0;51;
10612;final-crs_2;51;1015
10760;gate-keeper;52;
10780;meat_0;52;
10821;final-crs_2;52;2002
11113;gate-keeper;53;
11114;vege_0;53;
11147;final-crs_1;53;134
11383;gate-keeper;54;
11384;vege_0;54;
11384;gate-keeper;55;
11388;vege_1;55;
11390;final-crs_1;54;522
11393;final-crs_0;55;463
11637;gate-keeper;56;
11669;meat_1;56;
11683;final-crs_3;56;1237
11903;gate-keeper;57;
11905;vege_1;57;
11920;final-crs_3;57;716
12184;gate-keeper;58;
12187;vege_0;58;
12271;final-crs_2;58;498
12512;gate-keeper;59;
12513;gate-keeper;60;
12514;vege_1;59;
12520;vege_0;60;
12583;final-crs_4;59;342
12630;final-crs_1;60;223
12787;gate-keeper;61;
12803;meat_0;61;
12820;final-crs_4;61;352
13061;gate-keeper;62;
13064;vege_0;62;
13087;final-crs_1;62;1514
13338;gate-keeper;63;
13339;gate-keeper;64;
13347;vege_0;63;
13348;final-crs_0;63;1605
13348;vege_1;64;
13407;final-crs_3;64;546
13639;gate-keeper;65;
13642;vege_0;65;
13651;final-crs_3;65;868
13903;gate-keeper;66;
13908;meat_0;66;
13914;final-crs_3;66;679
14175;gate-keeper;67;
14176;gate-keeper;68;
14182;vege_1;67;
14184;vege_0;68;
14221;final-crs_2;67;159
14239;final-crs_1;68;1794
14457;gate-keeper;69;
14489;meat_0;69;
14491;final-crs_2;69;760
14716;gate-keeper;70;
14717;vege_0;70;
14766;final-crs_4;70;961
14969;gate-keeper;71;
14970;gate-keeper;72;
14971;vege_0;71;
14971;vege_1;72;
14975;final-crs_5;71;2174
14977;final-crs_2;72;176
15280;gate-keeper;73;
15286;meat_0;73;
15314;final-crs_3;73;382
15573;gate-keeper;74;
15574;gate-keeper;75;
15576;vege_1;75;
15577;meat_0;74;
15605;final-crs_0;75;1578
15637;final-crs_1;74;730
15854;gate-keeper;76;
15856;frui_0;76;
15908;final-crs_5;76;1130
15966;gate-keeper;77;
15983;meat_0;77;
15990;final-crs_2;77;278
16213;gate-keeper;78;
16218;vege_1;78;
16250;final-crs_0;78;667
16477;gate-keeper;79;
16478;vege_0;79;
16494;final-crs_0;79;1701
16834;gate-keeper;80;
16835;gate-keeper;81;
16838;vege_1;81;
16852;meat_0;80;
16862;final-crs_4;81;480
16867;final-crs_1;80;310
17154;gate-keeper;82;
17156;frui_0;82;
