time;ckpt;id;money
298;gate-keeper;0;
300;meat_0;0;
470;final-crs_5;0;588
637;gate-keeper;1;
638;gate-keeper;2;
657;meat_1;1;
674;meat_0;2;
699;final-crs_5;1;1610
715;final-crs_1;2;2003
971;gate-keeper;3;
976;vege_1;3;
978;final-crs_1;3;691
1300;gate-keeper;4;
1301;frui_1;4;
1301;gate-keeper;5;
1302;final-crs_0;4;1246
1341;meat_0;5;
1355;final-crs_4;5;716
1540;gate-keeper;6;
1543;frui_0;6;
1570;final-crs_4;6;1269
1620;gate-keeper;7;
1621;vege_1;7;
1635;final-crs_5;7;992
1893;gate-keeper;8;
1948;meat_1;8;
1962;final-crs_3;8;223
2170;gate-keeper;9;
2171;gate-keeper;10;
2173;vege_0;9;
2178;vege_1;10;
2214;final-crs_3;9;658
2249;final-crs_4;10;1035
2358;gate-keeper;11;
2383;meat_1;11;
2391;final-crs_5;11;1122
2545;gate-keeper;12;
2551;vege_0;12;
2588;final-crs_1;12;639
2874;gate-keeper;13;
2875;gate-keeper;14;
2878;vege_0;13;
2880;vege_1;14;
2895;final-crs_2;13;1445
2936;final-crs_3;14;649
3180;gate-keeper;15;
3182;vege_1;15;
3220;final-crs_4;15;1971
3457;gate-keeper;16;
3458;gate-keeper;17;
3461;vege_1;17;
3465;meat_1;16;
3542;final-crs_1;17;747
3592;final-crs_0;16;1976
3764;gate-keeper;18;
3771;meat_0;18;
3800;final-crs_5;18;487
4006;gate-keeper;19;
4030;meat_0;19;
4052;final-crs_5;19;778
4103;gate-keeper;20;
4107;frui_1;20;
4129;final-crs_2;20;1009
4364;gate-keeper;21;
4394;meat_0;21;
4438;gate-keeper;22;
4445;final-crs_4;21;919
4450;meat_0;22;
4526;final-crs_0;22;516
4690;gate-keeper;23;
4691;vege_0;23;
4736;final-crs_0;23;1714
4965;gate-keeper;24;
4970;vege_0;24;
5005;final-crs_2;24;151
5112;gate-keeper;25;
5115;frui_0;25;
5118;final-crs_4;25;1978
5291;gate-keeper;26;
5292;vege_1;26;
5311;final-crs_5;26;60
5561;gate-keeper;27;
5566;vege_0;27;
5598;final-crs_3;27;1114
5852;gate-keeper;28;
5853;vege_1;28;
5888;final-crs_0;28;1252
6043;gate-keeper;29;
6101;meat_1;29;
6103;final-crs_4;29;431
6173;gate-keeper;30;
6218;meat_0;30;
6219;final-crs_2;30;739
6511;gate-keeper;31;
6512;gate-keeper;32;
6514;vege_0;31;
6514;frui_1;32;
6516;final-crs_1;31;981
6535;final-crs_3;32;850
6798;gate-keeper;33;
6802;vege_1;33;
6824;final-crs_4;33;418
6915;gate-keeper;34;
6916;vege_1;34;
6959;final-crs_3;34;1445
7105;gate-keeper;35;
7106;frui_0;35;
7116;final-crs_0;35;1503
7400;gate-keeper;36;
7403;vege_1;36;
7449;final-crs_2;36;1221
7685;gate-keeper;37;
7686;frui_0;37;
7697;final-crs_1;37;121
7841;gate-keeper;38;
7842;frui_0;38;
7892;final-crs_5;38;914
7996;gate-keeper;39;
8002;vege_1;39;
8066;final-crs_0;39;421
8287;gate-keeper;40;
8288;vege_0;40;
8305;final-crs_0;40;408
8657;gate-keeper;41;
8658;meat_0;41;
8658;gate-keeper;42;
