time;ckpt;id;money
588;gate-keeper;0;
589;vege_0;0;
589;gate-keeper;1;
590;meat_0;1;
615;final-crs_1;0;248
679;final-crs_3;1;1432
1112;gate-keeper;2;
1113;gate-keeper;3;
1121;meat_0;2;
1143;final-crs_4;2;775
1149;meat_1;3;
1166;final-crs_3;3;516
1414;gate-keeper;4;
1419;vege_1;4;
1474;final-crs_5;4;172
1648;gate-keeper;5;
1651;vege_1;5;
1673;final-crs_1;5;1736
1999;gate-keeper;6;
2003;vege_1;6;
2021;final-crs_2;6;306
2263;gate-keeper;7;
2265;vege_1;7;
2266;final-crs_2;7;152
2559;gate-keeper;8;
2564;vege_1;8;
2605;final-crs_4;8;881
2795;gate-keeper;9;
2798;vege_1;9;
2834;final-crs_4;9;330
3105;gate-keeper;10;
3134;meat_1;10;
3165;final-crs_5;10;209
3428;gate-keeper;11;
3430;frui_0;11;
3505;final-crs_3;11;1344
3659;gate-keeper;12;
3670;meat_0;12;
3744;final-crs_3;12;371
4026;gate-keeper;13;
4029;vege_1;13;
4068;final-crs_4;13;862
4337;gate-keeper;14;
4338;vege_1;14;
4342;final-crs_5;14;1328
4579;gate-keeper;15;
4606;meat_1;15;
4627;final-crs_0;15;1064
4912;gate-keeper;16;
4969;meat_1;16;
4989;final-crs_2;16;380
5150;gate-keeper;17;
5153;meat_1;17;
5237;final-crs_2;17;137
5457;gate-keeper;18;
5458;vege_1;18;
5481;final-crs_2;18;783
5776;gate-keeper;19;
5782;vege_0;19;
5853;final-crs_3;19;474
6071;gate-keeper;20;
6076;frui_0;20;
6084;final-crs_3;20;695
6395;gate-keeper;21;
6417;meat_1;21;
6422;final-crs_2;21;432
6432;gate-keeper;22;
6438;vege_1;22;
6490;final-crs_5;22;1346
6729;gate-keeper;23;
6731;vege_0;23;
6756;final-crs_5;23;1304
7339;gate-keeper;24;
7340;gate-keeper;25;
7342;vege_1;24;
7342;frui_0;25;
7363;final-crs_4;24;105
7371;final-crs_2;25;810
7691;gate-keeper;26;
7695;vege_0;26;
7741;final-crs_3;26;1110
7963;gate-keeper;27;
7967;vege_0;27;
8015;final-crs_0;27;496
8298;gate-keeper;28;
8321;meat_1;28;
