time;ckpt;id;money
279;gate-keeper;0;
280;frui_0;0;
423;final-crs_3;0;499
593;gate-keeper;1;
594;gate-keeper;2;
598;frui_1;1;
599;frui_0;2;
654;final-crs_3;1;1802
701;final-crs_2;2;1034
837;gate-keeper;3;
839;vege_0;3;
919;final-crs_3;3;1103
1034;gate-keeper;4;
1038;vege_0;4;
1122;final-crs_2;4;501
1402;gate-keeper;5;
1403;vege_1;5;
1465;final-crs_1;5;327
1708;gate-keeper;6;
1709;vege_1;6;
1712;final-crs_0;6;98
1948;gate-keeper;7;
1949;frui_0;7;
1949;gate-keeper;8;
1955;vege_0;8;
1957;final-crs_0;7;107
1983;final-crs_5;8;816
2261;gate-keeper;9;
2264;frui_1;9;
2296;final-crs_4;9;770
2555;gate-keeper;10;
2562;meat_0;10;
2575;final-crs_4;10;1488
2873;gate-keeper;11;
2874;gate-keeper;12;
2877;frui_1;11;
2878;frui_0;12;
2886;final-crs_3;11;583
2896;final-crs_0;12;940
3092;gate-keeper;13;
3099;vege_0;13;
3130;final-crs_3;13;919
3520;gate-keeper;14;
3521;gate-keeper;15;
3524;frui_1;14;
3527;frui_0;15;
3585;final-crs_1;14;327
3597;final-crs_3;15;544
3842;gate-keeper;16;
3845;frui_1;16;
3852;final-crs_5;16;1542
3945;gate-keeper;17;
3949;frui_1;17;
4000;final-crs_2;17;565
4113;gate-keeper;18;
4117;frui_1;18;
4153;final-crs_0;18;1207
4419;gate-keeper;19;
4421;vege_0;19;
4451;final-crs_2;19;512
4724;gate-keeper;20;
4725;gate-keeper;21;
4726;frui_0;21;
4727;vege_1;20;
4764;final-crs_3;21;395
4778;final-crs_1;20;1748
5012;gate-keeper;22;
5013;frui_0;22;
5036;final-crs_1;22;112
5276;gate-keeper;23;
5281;frui_1;23;
5338;final-crs_5;23;624
5582;gate-keeper;24;
5585;vege_0;24;
5639;final-crs_0;24;1672
5692;gate-keeper;25;
5696;vege_0;25;
5761;final-crs_5;25;1658
5933;gate-keeper;26;
5934;frui_1;26;
5936;final-crs_3;26;2251
6266;gate-keeper;27;
6271;vege_0;27;
6279;final-crs_1;27;183
6595;gate-keeper;28;
6596;gate-keeper;29;
6598;frui_0;28;
6603;frui_1;29;
6607;final-crs_3;28;651
6678;final-crs_4;29;223
6880;gate-keeper;30;
6881;vege_1;30;
6922;final-crs_4;30;268
7158;gate-keeper;31;
7189;meat_0;31;
7195;final-crs_4;31;606
7412;gate-keeper;32;
7413;gate-keeper;33;
7415;frui_0;32;
7415;frui_1;33;
7469;final-crs_4;32;818
7486;final-crs_1;33;1162
7696;gate-keeper;34;
7701;frui_0;34;
7726;final-crs_1;34;1512
7981;gate-keeper;35;
7983;vege_0;35;
8040;final-crs_0;35;1013
8287;gate-keeper;36;
8288;gate-keeper;37;
8292;frui_0;36;
8296;vege_1;37;
8299;final-crs_3;36;715
8302;final-crs_0;37;681
8579;gate-keeper;38;
8581;frui_0;38;
8642;final-crs_2;38;260
8910;gate-keeper;39;
8911;gate-keeper;40;
8915;meat_1;39;
8916;vege_0;40;
8930;final-crs_1;39;355
8951;final-crs_5;40;793
9176;gate-keeper;41;
9177;frui_0;41;
9179;final-crs_1;41;551
9362;gate-keeper;42;
9366;vege_0;42;
9377;final-crs_2;42;164
9822;gate-keeper;43;
9823;gate-keeper;44;
9827;vege_0;43;
9831;final-crs_4;43;288
9869;meat_1;44;
9904;final-crs_1;44;296
10114;gate-keeper;45;
10117;frui_0;45;
10130;final-crs_1;45;1344
10272;gate-keeper;46;
10274;vege_0;46;
10277;final-crs_4;46;812
10705;gate-keeper;47;
10706;gate-keeper;48;
10709;frui_1;47;
10713;final-crs_5;47;1357
10713;vege_1;48;
10732;final-crs_3;48;1473
11052;gate-keeper;49;
11054;vege_1;49;
11070;final-crs_0;49;802
11126;gate-keeper;50;
11129;vege_1;50;
11179;final-crs_2;50;72
11369;gate-keeper;51;
11402;meat_0;51;
11442;final-crs_3;51;564
11688;gate-keeper;52;
11696;vege_1;52;
11707;final-crs_5;52;1504
11992;gate-keeper;53;
11993;gate-keeper;54;
11997;frui_0;53;
12002;final-crs_0;53;150
12021;meat_1;54;
12066;final-crs_1;54;573
12322;gate-keeper;55;
12367;meat_1;55;
12416;final-crs_2;55;163
12607;gate-keeper;56;
12608;frui_1;56;
12648;final-crs_2;56;406
12897;gate-keeper;57;
12902;frui_1;57;
12911;final-crs_3;57;689
12920;gate-keeper;58;
12925;vege_1;58;
12944;final-crs_1;58;235
13181;gate-keeper;59;
13185;vege_0;59;
13190;final-crs_3;59;398
13522;gate-keeper;60;
13529;vege_1;60;
13544;final-crs_2;60;330
13716;gate-keeper;61;
13717;vege_0;61;
13728;final-crs_0;61;1452
14067;gate-keeper;62;
14068;gate-keeper;63;
14070;vege_1;62;
14074;vege_0;63;
14110;final-crs_3;62;105
14152;final-crs_5;63;797
14389;gate-keeper;64;
14393;frui_1;64;
14406;final-crs_0;64;1321
14642;gate-keeper;65;
14645;vege_0;65;
14647;final-crs_0;65;577
14676;gate-keeper;66;
14679;frui_0;66;
14696;final-crs_2;66;73
14976;gate-keeper;67;
14977;vege_0;67;
14986;final-crs_4;67;1122
15256;gate-keeper;68;
15258;frui_0;68;
15311;final-crs_3;68;870
15530;gate-keeper;69;
15531;gate-keeper;70;
15532;frui_1;70;
15538;vege_1;69;
15587;final-crs_3;70;1640
15611;final-crs_0;69;1516
15692;gate-keeper;71;
15694;vege_1;71;
15698;final-crs_4;71;1186
16134;gate-keeper;72;
16135;frui_1;72;
16135;gate-keeper;73;
16142;vege_1;73;
16148;final-crs_2;72;716
16230;final-crs_5;73;762
16433;gate-keeper;74;
16435;frui_0;74;
16443;final-crs_5;74;1228
16514;gate-keeper;75;
16518;frui_1;75;
16561;final-crs_0;75;304
16715;gate-keeper;76;
16721;vege_1;76;
16763;final-crs_3;76;1792
17030;gate-keeper;77;
17031;meat_0;77;
17046;final-crs_0;77;2080
17278;gate-keeper;78;
17279;vege_1;78;
17285;final-crs_4;78;347
17368;gate-keeper;79;
17370;vege_0;79;
17404;final-crs_1;79;1444
17854;gate-keeper;80;
17855;gate-keeper;81;
17857;vege_0;81;
17857;frui_0;80;
17878;final-crs_1;81;1066
17910;final-crs_2;80;1839
18218;gate-keeper;82;
18219;gate-keeper;83;
18223;frui_0;82;
18225;final-crs_0;82;82
18225;frui_1;83;
18235;final-crs_4;83;343
18530;gate-keeper;84;
18533;frui_0;84;
18553;final-crs_5;84;67
18879;gate-keeper;85;
18882;vege_0;85;
18914;final-crs_1;85;1547
19027;gate-keeper;86;
19028;gate-keeper;87;
19029;gate-keeper;88;
19030;gate-keeper;89;
19031;vege_0;88;
19031;frui_0;86;
19032;frui_1;87;
19042;final-crs_5;88;525
19043;final-crs_3;86;189
19045;meat_1;89;
19073;final-crs_2;87;924
19104;final-crs_1;89;1355
19222;gate-keeper;90;
19223;gate-keeper;91;
19224;gate-keeper;92;
19228;frui_1;90;
19229;vege_1;92;
19230;frui_0;91;
19254;final-crs_2;90;329
19258;final-crs_5;92;781
19327;final-crs_3;91;331
19549;gate-keeper;93;
19554;vege_0;93;
19558;final-crs_3;93;331
19847;gate-keeper;94;
19848;gate-keeper;95;
19849;gate-keeper;96;
19850;frui_1;95;
19850;gate-keeper;97;
19852;frui_0;96;
19852;meat_1;94;
19871;final-crs_1;95;557
19901;meat_0;97;
19903;final-crs_2;96;1385
19903;final-crs_4;94;919
19949;final-crs_0;97;139
19952;gate-keeper;98;
