time;ckpt;id;money
297;gate-keeper;0;
340;meat_0;0;
424;final-crs_0;0;61
594;gate-keeper;1;
595;gate-keeper;2;
629;meat_1;1;
647;meat_0;2;
675;final-crs_5;1;820
678;final-crs_0;2;1601
836;gate-keeper;3;
859;meat_1;3;
907;final-crs_5;3;311
1090;gate-keeper;4;
1091;vege_0;4;
1172;final-crs_0;4;630
1391;gate-keeper;5;
1392;vege_0;5;
1392;gate-keeper;6;
1394;vege_1;6;
1406;final-crs_2;5;727
1426;final-crs_4;6;285
1630;gate-keeper;7;
1637;vege_1;7;
1638;final-crs_5;7;335
1770;gate-keeper;8;
1772;frui_0;8;
1830;final-crs_2;8;573
2218;gate-keeper;9;
2219;gate-keeper;10;
2224;vege_0;9;
2224;vege_1;10;
2232;final-crs_6;9;62
2297;final-crs_2;10;1120
2588;gate-keeper;11;
2589;frui_0;11;
2589;gate-keeper;12;
2593;frui_1;12;
2601;final-crs_1;11;1937
2627;final-crs_4;12;887
2866;gate-keeper;13;
2876;meat_1;13;
2883;final-crs_5;13;645
3164;gate-keeper;14;
3172;vege_1;14;
3201;final-crs_3;14;1280
3468;gate-keeper;15;
3469;gate-keeper;16;
3488;meat_0;15;
3490;meat_1;16;
3551;final-crs_1;15;188
3578;final-crs_5;16;406
3783;gate-keeper;17;
3784;frui_1;17;
3784;gate-keeper;18;
3786;vege_0;18;
3793;final-crs_1;17;643
3850;final-crs_5;18;140
4082;gate-keeper;19;
4085;vege_0;19;
4092;final-crs_6;19;1013
4167;gate-keeper;20;
4171;vege_0;20;
4197;final-crs_2;20;361
4419;gate-keeper;21;
4422;vege_0;21;
4436;final-crs_2;21;2131
4697;gate-keeper;22;
4698;vege_1;22;
4726;final-crs_0;22;339
5031;gate-keeper;23;
5032;vege_1;23;
5032;gate-keeper;24;
5039;vege_0;24;
5143;final-crs_2;23;261
5163;final-crs_3;24;510
5377;gate-keeper;25;
5378;frui_1;25;
5378;gate-keeper;26;
5381;vege_0;26;
5397;final-crs_3;25;303
5419;final-crs_0;26;1315
5624;gate-keeper;27;
5636;meat_0;27;
5645;final-crs_6;27;1239
5760;gate-keeper;28;
5766;vege_0;28;
5819;final-crs_0;28;275
5907;gate-keeper;29;
5908;vege_1;29;
5911;final-crs_6;29;702
6218;gate-keeper;30;
6249;meat_0;30;
6259;final-crs_4;30;1691
6527;gate-keeper;31;
6528;gate-keeper;32;
6529;vege_0;31;
6529;vege_1;32;
6534;final-crs_3;31;258
6539;final-crs_2;32;1033
6800;gate-keeper;33;
6805;meat_1;33;
6830;final-crs_5;33;552
7060;gate-keeper;34;
7065;meat_0;34;
7093;final-crs_5;34;1148
7303;gate-keeper;35;
7304;gate-keeper;36;
7306;vege_1;36;
7314;meat_1;35;
7332;final-crs_5;36;435
7396;final-crs_6;35;1162
7678;gate-keeper;37;
7679;gate-keeper;38;
7683;vege_0;38;
7683;meat_0;37;
7688;final-crs_4;38;1101
7707;final-crs_0;37;103
7988;gate-keeper;39;
7989;gate-keeper;40;
8000;meat_1;39;
8001;final-crs_3;39;213
8019;meat_0;40;
8128;final-crs_6;40;1409
8340;gate-keeper;41;
8341;gate-keeper;42;
8384;meat_0;41;
8396;meat_1;42;
8399;final-crs_0;41;1071
8416;final-crs_3;42;111
8668;gate-keeper;43;
8670;vege_1;43;
8679;final-crs_5;43;915
8945;gate-keeper;44;
8946;gate-keeper;45;
8951;meat_1;44;
8968;meat_0;45;
9065;final-crs_6;44;1053
9079;final-crs_1;45;254
9088;gate-keeper;46;
9092;vege_0;46;
9104;final-crs_2;46;142
9519;gate-keeper;47;
9520;gate-keeper;48;
9524;vege_0;47;
9526;vege_1;48;
9576;final-crs_1;47;733
9582;final-crs_3;48;1168
9827;gate-keeper;49;
9828;gate-keeper;50;
9835;vege_0;49;
9835;vege_1;50;
9857;final-crs_0;49;459
9930;final-crs_5;50;379
10136;gate-keeper;51;
10152;meat_1;51;
10154;final-crs_5;51;485
10373;gate-keeper;52;
10374;gate-keeper;53;
10375;vege_0;52;
10398;final-crs_5;52;1176
10418;meat_0;53;
