time;ckpt;id;money
282;gate-keeper;0;
287;vege_0;0;
409;final-crs_4;0;727
614;gate-keeper;1;
615;frui_0;1;
615;gate-keeper;2;
616;vege_0;2;
644;final-crs_4;1;883
703;final-crs_6;2;736
879;gate-keeper;3;
881;vege_1;3;
921;final-crs_5;3;192
1223;gate-keeper;4;
1229;vege_0;4;
1233;final-crs_1;4;1197
1483;gate-keeper;5;
1484;gate-keeper;6;
1489;frui_1;6;
1490;meat_0;5;
1535;final-crs_1;6;1402
1545;final-crs_5;5;214
1757;gate-keeper;7;
1785;meat_0;7;
1789;final-crs_1;7;82
2088;gate-keeper;8;
2095;meat_1;8;
2196;final-crs_0;8;1403
2422;gate-keeper;9;
2423;gate-keeper;10;
2424;vege_0;10;
2435;meat_1;9;
2479;final-crs_6;10;353
2500;final-crs_3;9;803
2617;gate-keeper;11;
2618;vege_1;11;
2699;final-crs_0;11;164
3010;gate-keeper;12;
3011;gate-keeper;13;
3014;vege_1;12;
3018;vege_0;13;
3049;final-crs_4;12;1670
3087;final-crs_2;13;774
3322;gate-keeper;14;
3334;meat_1;14;
3442;final-crs_1;14;1151
3620;gate-keeper;15;
3621;gate-keeper;16;
3623;vege_1;16;
3631;meat_1;15;
3683;final-crs_1;16;945
3695;final-crs_3;15;1227
3938;gate-keeper;17;
3940;vege_0;17;
3975;final-crs_6;17;333
4229;gate-keeper;18;
4233;vege_1;18;
4292;final-crs_4;18;455
4539;gate-keeper;19;
4540;frui_1;19;
4540;gate-keeper;20;
4541;vege_0;20;
4572;final-crs_1;19;1893
4606;final-crs_3;20;444
4799;gate-keeper;21;
4803;frui_0;21;
4816;final-crs_1;21;405
5125;gate-keeper;22;
5132;vege_0;22;
5148;final-crs_0;22;801
5351;gate-keeper;23;
5355;frui_1;23;
5364;final-crs_2;23;452
5409;gate-keeper;24;
5417;vege_0;24;
5518;final-crs_5;24;1484
5673;gate-keeper;25;
5714;meat_0;25;
5787;final-crs_5;25;1461
5961;gate-keeper;26;
5969;vege_0;26;
6002;final-crs_1;26;664
6255;gate-keeper;27;
6267;meat_0;27;
6298;final-crs_3;27;440
6597;gate-keeper;28;
6598;gate-keeper;29;
6606;vege_0;29;
6606;meat_1;28;
6716;final-crs_1;29;344
6743;final-crs_5;28;1061
6911;gate-keeper;30;
6955;meat_0;30;
6987;final-crs_5;30;890
7223;gate-keeper;31;
7224;gate-keeper;32;
7270;meat_1;31;
7271;meat_0;32;
7279;final-crs_3;31;1103
7321;final-crs_4;32;527
7518;gate-keeper;33;
7520;frui_1;33;
7524;final-crs_2;33;129
7716;gate-keeper;34;
7723;vege_1;34;
7759;final-crs_2;34;420
7846;gate-keeper;35;
7858;meat_1;35;
7862;final-crs_0;35;421
8134;gate-keeper;36;
8135;frui_1;36;
8210;final-crs_1;36;103
8423;gate-keeper;37;
8428;meat_0;37;
8433;final-crs_2;37;1384
8555;gate-keeper;38;
8556;vege_0;38;
8586;final-crs_0;38;252
8765;gate-keeper;39;
8766;vege_0;39;
8783;final-crs_6;39;515
9111;gate-keeper;40;
9112;gate-keeper;41;
9113;vege_1;41;
9117;final-crs_1;41;640
9145;meat_1;40;
9200;final-crs_2;40;1241
9402;gate-keeper;42;
9404;meat_0;42;
9458;final-crs_2;42;234
9691;gate-keeper;43;
9701;meat_0;43;
9708;final-crs_6;43;240
9988;gate-keeper;44;
9999;meat_0;44;
10052;final-crs_5;44;170
10143;gate-keeper;45;
10146;vege_1;45;
10166;final-crs_2;45;890
10595;gate-keeper;46;
10596;gate-keeper;47;
10602;vege_0;46;
10602;vege_1;47;
10641;final-crs_2;46;469
10645;final-crs_6;47;1659
10934;gate-keeper;48;
10940;vege_0;48;
10953;final-crs_4;48;1255
11200;gate-keeper;49;
11201;gate-keeper;50;
11205;vege_0;49;
11217;meat_0;50;
11221;final-crs_6;49;285
11267;final-crs_1;50;771
11464;gate-keeper;51;
11491;meat_0;51;
11515;final-crs_1;51;1425
11846;gate-keeper;52;
11847;gate-keeper;53;
11848;vege_1;52;
11850;meat_1;53;
11861;final-crs_4;52;1865
11872;final-crs_6;53;497
12216;gate-keeper;54;
12219;vege_0;54;
12272;final-crs_3;54;129
12373;gate-keeper;55;
12376;vege_1;55;
12466;final-crs_1;55;1733
12527;gate-keeper;56;
12528;vege_0;56;
12544;final-crs_0;56;1259
12840;gate-keeper;57;
12866;meat_0;57;
12966;final-crs_1;57;685
13072;gate-keeper;58;
13075;vege_1;58;
13083;final-crs_5;58;828
13208;gate-keeper;59;
13221;meat_0;59;
13230;final-crs_4;59;278
13520;gate-keeper;60;
13521;gate-keeper;61;
13522;vege_1;60;
13539;final-crs_0;60;1253
13557;meat_1;61;
13600;final-crs_5;61;1413
13782;gate-keeper;62;
13783;vege_0;62;
13800;final-crs_0;62;361
14001;gate-keeper;63;
14005;frui_0;63;
14049;final-crs_0;63;538
14091;gate-keeper;64;
14093;vege_0;64;
14112;final-crs_1;64;1466
14376;gate-keeper;65;
14378;meat_1;65;
14379;final-crs_1;65;228
14663;gate-keeper;66;
14666;vege_1;66;
14708;final-crs_4;66;677
14944;gate-keeper;67;
14947;vege_0;67;
14983;final-crs_2;67;359
14997;gate-keeper;68;
14999;frui_1;68;
15000;final-crs_0;68;472
15235;gate-keeper;69;
15237;frui_1;69;
15262;final-crs_5;69;580
15564;gate-keeper;70;
15567;vege_0;70;
15575;final-crs_1;70;1062
15815;gate-keeper;71;
15816;gate-keeper;72;
15818;frui_1;71;
15838;final-crs_6;71;1640
15841;meat_0;72;
15857;final-crs_1;72;212
16118;gate-keeper;73;
16126;vege_0;73;
16145;final-crs_3;73;311
16375;gate-keeper;74;
16378;meat_0;74;
16478;final-crs_6;74;287
16648;gate-keeper;75;
16652;vege_1;75;
16718;final-crs_5;75;1791
16967;gate-keeper;76;
16968;gate-keeper;77;
16969;vege_0;76;
16974;vege_1;77;
16976;final-crs_0;76;1481
16976;final-crs_2;77;647
17327;gate-keeper;78;
17328;vege_1;78;
17438;final-crs_0;78;1121
17616;gate-keeper;79;
17617;gate-keeper;80;
17619;vege_1;79;
17625;vege_0;80;
17659;final-crs_0;79;957
17713;final-crs_4;80;1000
17903;gate-keeper;81;
17907;frui_1;81;
17929;final-crs_0;81;787
18246;gate-keeper;82;
18247;gate-keeper;83;
18251;vege_1;82;
18256;vege_0;83;
18306;final-crs_3;82;209
18376;final-crs_0;83;87
18498;gate-keeper;84;
18499;vege_0;84;
18515;final-crs_1;84;732
18800;gate-keeper;85;
18804;frui_1;85;
18820;final-crs_2;85;653
19118;gate-keeper;86;
19119;frui_0;86;
19160;final-crs_5;86;472
19432;gate-keeper;87;
19433;gate-keeper;88;
19440;vege_0;87;
19441;vege_1;88;
19447;final-crs_1;87;73
19495;final-crs_2;88;900
19605;gate-keeper;89;
19606;gate-keeper;90;
19607;gate-keeper;91;
19608;gate-keeper;92;
19609;vege_0;92;
19618;final-crs_5;92;638
19621;meat_0;89;
19624;meat_1;90;
