time;ckpt;id;money
299;gate-keeper;0;
301;vege_0;0;
430;final-crs_4;0;752
587;gate-keeper;1;
593;vege_1;1;
675;final-crs_4;1;1407
797;gate-keeper;2;
805;vege_0;2;
920;final-crs_4;2;1202
1173;gate-keeper;3;
1178;vege_1;3;
1197;final-crs_0;3;1499
1520;gate-keeper;4;
1522;frui_1;4;
1610;final-crs_2;4;1532
1682;gate-keeper;5;
1687;vege_0;5;
1778;final-crs_6;5;1196
1848;gate-keeper;6;
1849;vege_0;6;
1872;final-crs_5;6;610
2174;gate-keeper;7;
2175;vege_0;7;
2261;final-crs_2;7;338
2467;gate-keeper;8;
2472;vege_0;8;
2514;final-crs_2;8;1216
2587;gate-keeper;9;
2591;frui_1;9;
2661;final-crs_0;9;322
2749;gate-keeper;10;
2758;vege_0;10;
2794;final-crs_4;10;784
3090;gate-keeper;11;
3094;vege_0;11;
3200;final-crs_3;11;1587
3388;gate-keeper;12;
3430;meat_1;12;
3454;final-crs_0;12;1390
3551;gate-keeper;13;
3559;vege_1;13;
3681;final-crs_0;13;1037
4000;gate-keeper;14;
4003;vege_0;14;
4180;final-crs_0;14;2547
4321;gate-keeper;15;
4322;frui_0;15;
4322;gate-keeper;16;
4325;meat_0;16;
4381;final-crs_6;15;258
4404;final-crs_0;16;140
4643;gate-keeper;17;
4646;vege_0;17;
4668;final-crs_1;17;460
4931;gate-keeper;18;
4940;meat_0;18;
4974;final-crs_3;18;486
5229;gate-keeper;19;
5234;vege_0;19;
5292;final-crs_1;19;205
5322;gate-keeper;20;
5327;frui_1;20;
5362;final-crs_6;20;1321
5811;gate-keeper;21;
5812;gate-keeper;22;
5814;vege_1;21;
5819;vege_0;22;
5876;final-crs_3;21;1283
5879;final-crs_0;22;1277
6050;gate-keeper;23;
6053;vege_0;23;
6061;final-crs_5;23;1393
6320;gate-keeper;24;
6324;vege_0;24;
6385;final-crs_0;24;615
6611;gate-keeper;25;
6616;vege_0;25;
6657;final-crs_6;25;709
6912;gate-keeper;26;
6917;meat_0;26;
6942;final-crs_4;26;446
7115;gate-keeper;27;
7133;meat_1;27;
7151;final-crs_4;27;761
7246;gate-keeper;28;
7249;vege_0;28;
7296;final-crs_0;28;936
7554;gate-keeper;29;
7556;vege_1;29;
7605;final-crs_6;29;1351
7860;gate-keeper;30;
7863;vege_1;30;
7879;final-crs_6;30;1182
7990;gate-keeper;31;
7993;vege_0;31;
8019;final-crs_0;31;1778
8467;gate-keeper;32;
8468;gate-keeper;33;
8469;vege_0;33;
8471;frui_0;32;
8517;final-crs_3;33;534
8531;final-crs_0;32;1224
8753;gate-keeper;34;
8755;vege_0;34;
8780;final-crs_0;34;826
9041;gate-keeper;35;
9047;vege_1;35;
9085;final-crs_5;35;1498
9377;gate-keeper;36;
9378;gate-keeper;37;
9380;frui_1;37;
9383;vege_1;36;
9401;final-crs_1;37;671
9408;final-crs_2;36;1083
9678;gate-keeper;38;
9683;vege_0;38;
9686;final-crs_3;38;88
9990;gate-keeper;39;
9993;frui_1;39;
9998;final-crs_4;39;307
10346;gate-keeper;40;
10347;gate-keeper;41;
10351;vege_1;40;
10353;vege_0;41;
10367;final-crs_6;40;1191
