time;ckpt;id;money
314;gate-keeper;0;
326;meat_0;0;
448;final-crs_4;0;104
622;gate-keeper;1;
662;meat_0;1;
686;final-crs_4;1;1229
899;gate-keeper;2;
905;meat_0;2;
921;final-crs_2;2;872
1197;gate-keeper;3;
1207;meat_0;3;
1212;final-crs_4;3;453
1539;gate-keeper;4;
1540;gate-keeper;5;
1543;frui_0;5;
1544;meat_0;4;
1559;final-crs_1;5;357
1634;final-crs_2;4;362
1773;gate-keeper;6;
1778;vege_1;6;
1813;final-crs_1;6;334
2172;gate-keeper;7;
2177;vege_1;7;
2298;final-crs_2;7;1338
2443;gate-keeper;8;
2444;gate-keeper;9;
2446;vege_1;9;
2446;frui_0;8;
2512;final-crs_2;9;1154
2544;final-crs_1;8;1059
2793;gate-keeper;10;
2794;frui_0;10;
2794;gate-keeper;11;
2797;vege_0;11;
2839;final-crs_0;10;1582
2885;final-crs_3;11;690
3084;gate-keeper;12;
3085;vege_1;12;
3086;final-crs_0;12;1003
3286;gate-keeper;13;
3289;vege_1;13;
3342;final-crs_0;13;381
3413;gate-keeper;14;
3418;meat_0;14;
3454;final-crs_1;14;867
3708;gate-keeper;15;
3711;vege_0;15;
3729;final-crs_4;15;263
3979;gate-keeper;16;
3984;vege_0;16;
3986;final-crs_2;16;1067
4045;gate-keeper;17;
4092;meat_1;17;
4098;final-crs_3;17;192
4238;gate-keeper;18;
4278;meat_0;18;
4315;final-crs_5;18;400
4518;gate-keeper;19;
4521;frui_0;19;
4557;final-crs_5;19;558
4824;gate-keeper;20;
4827;meat_0;20;
4848;gate-keeper;21;
4853;vege_1;21;
4888;final-crs_4;20;999
4922;final-crs_0;21;1381
5087;gate-keeper;22;
5092;frui_0;22;
5135;final-crs_4;22;1179
5370;gate-keeper;23;
5374;vege_1;23;
5391;final-crs_4;23;686
5724;gate-keeper;24;
5761;meat_0;24;
5814;final-crs_4;24;1293
5987;gate-keeper;25;
6003;meat_0;25;
6072;final-crs_4;25;264
6277;gate-keeper;26;
6278;gate-keeper;27;
6279;vege_1;27;
6302;meat_1;26;
6384;final-crs_2;27;261
6401;final-crs_0;26;649
6552;gate-keeper;28;
6554;frui_1;28;
6607;final-crs_2;28;967
6913;gate-keeper;29;
6940;meat_1;29;
6946;final-crs_1;29;347
7163;gate-keeper;30;
7166;vege_1;30;
7173;final-crs_1;30;2024
7482;gate-keeper;31;
7483;gate-keeper;32;
7485;vege_0;31;
7485;vege_1;32;
7551;final-crs_4;31;498
7569;final-crs_2;32;560
7774;gate-keeper;33;
