time;ckpt;id;money
349;gate-keeper;0;
353;vege_0;0;
438;final-crs_2;0;290
642;gate-keeper;1;
644;vege_0;1;
678;final-crs_2;1;1237
851;gate-keeper;2;
853;vege_1;2;
901;final-crs_2;2;1823
942;gate-keeper;3;
948;vege_1;3;
964;final-crs_3;3;72
1258;gate-keeper;4;
1262;vege_1;4;
1382;final-crs_2;4;2139
1614;gate-keeper;5;
1615;frui_0;5;
1615;gate-keeper;6;
1618;frui_1;6;
1624;final-crs_2;5;2082
1668;final-crs_4;6;3032
1859;gate-keeper;7;
1863;vege_0;7;
1927;final-crs_3;7;2209
2232;gate-keeper;8;
2233;gate-keeper;9;
2235;vege_1;8;
2239;vege_0;9;
2250;final-crs_1;8;1062
2336;final-crs_2;9;3549
2537;gate-keeper;10;
2538;gate-keeper;11;
2542;vege_1;11;
2548;meat_0;10;
2594;final-crs_2;11;1953
2636;final-crs_4;10;1221
2768;gate-keeper;12;
2772;vege_0;12;
2850;final-crs_2;12;1847
3247;gate-keeper;13;
3248;gate-keeper;14;
3249;frui_0;13;
3256;vege_1;14;
3335;final-crs_2;13;3219
3346;final-crs_0;14;3148
3533;gate-keeper;15;
3559;meat_0;15;
3576;final-crs_2;15;175
3817;gate-keeper;16;
3819;vege_0;16;
3864;final-crs_2;16;2193
4147;gate-keeper;17;
4148;gate-keeper;18;
4153;vege_0;17;
4153;frui_1;18;
4186;final-crs_5;17;1168
4256;final-crs_1;18;436
4343;gate-keeper;19;
4348;vege_0;19;
4367;final-crs_4;19;3840
4709;gate-keeper;20;
4712;frui_1;20;
4747;final-crs_0;20;1181
5042;gate-keeper;21;
5043;gate-keeper;22;
5045;vege_0;21;
5047;vege_1;22;
5086;final-crs_4;21;1659
5130;final-crs_1;22;3182
5384;gate-keeper;23;
5388;vege_0;23;
5446;final-crs_0;23;3105
5709;gate-keeper;24;
5713;frui_1;24;
5752;final-crs_4;24;3149
5982;gate-keeper;25;
5983;gate-keeper;26;
5986;frui_1;25;
5987;vege_1;26;
6083;final-crs_1;25;1780
6101;final-crs_3;26;3128
6304;gate-keeper;27;
6307;vege_0;27;
6328;final-crs_1;27;2749
6603;gate-keeper;28;
6607;vege_0;28;
6628;final-crs_5;28;444
6857;gate-keeper;29;
6858;frui_1;29;
6867;final-crs_0;29;1009
6910;gate-keeper;30;
6918;vege_0;30;
7017;final-crs_4;30;2574
7195;gate-keeper;31;
7196;vege_0;31;
7247;final-crs_4;31;458
7556;gate-keeper;32;
7557;vege_0;32;
7557;gate-keeper;33;
7558;vege_1;33;
7605;final-crs_0;32;565
7695;final-crs_2;33;1136
7779;gate-keeper;34;
7782;frui_1;34;
7854;final-crs_0;34;748
8158;gate-keeper;35;
8159;vege_1;35;
8159;gate-keeper;36;
8163;frui_0;36;
8187;final-crs_5;35;1871
8189;final-crs_2;36;1394
8447;gate-keeper;37;
8453;vege_0;37;
8455;final-crs_3;37;2884
8712;gate-keeper;38;
8713;vege_1;38;
8725;final-crs_3;38;1427
8972;gate-keeper;39;
8979;vege_1;39;
9006;final-crs_1;39;3947
9308;gate-keeper;40;
9309;gate-keeper;41;
9316;vege_1;40;
9317;vege_0;41;
9411;final-crs_4;40;1813
9438;final-crs_2;41;877
9595;gate-keeper;42;
9596;frui_0;42;
9642;final-crs_4;42;1179
9693;gate-keeper;43;
9700;vege_1;43;
9702;final-crs_0;43;790
10238;gate-keeper;44;
10239;gate-keeper;45;
10241;vege_1;44;
10242;vege_0;45;
10345;final-crs_2;44;309
10382;final-crs_4;45;847
10460;gate-keeper;46;
10463;vege_0;46;
10464;final-crs_1;46;923
10707;gate-keeper;47;
10710;frui_0;47;
10733;final-crs_0;47;1325
10805;gate-keeper;48;
10856;meat_1;48;
10880;final-crs_4;48;3159
11143;gate-keeper;49;
11145;vege_0;49;
11213;final-crs_1;49;633
11477;gate-keeper;50;
11478;gate-keeper;51;
11480;vege_0;50;
11481;vege_1;51;
11486;final-crs_2;50;4474
11535;final-crs_4;51;218
11682;gate-keeper;52;
11684;frui_1;52;
11694;final-crs_0;52;437
12099;gate-keeper;53;
12101;frui_1;53;
12199;final-crs_2;53;2595
12390;gate-keeper;54;
12391;gate-keeper;55;
12399;vege_0;54;
12399;vege_1;55;
12422;final-crs_2;54;1219
12453;final-crs_1;55;1952
12667;gate-keeper;56;
12669;vege_1;56;
12677;final-crs_2;56;864
13056;gate-keeper;57;
13057;vege_0;57;
13057;gate-keeper;58;
13061;meat_1;58;
13116;final-crs_2;57;726
13120;final-crs_4;58;1612
13383;gate-keeper;59;
13386;vege_1;59;
13431;final-crs_1;59;1989
13534;gate-keeper;60;
13535;vege_1;60;
13551;final-crs_2;60;2128
13706;gate-keeper;61;
13710;vege_0;61;
13729;final-crs_0;61;865
14042;gate-keeper;62;
14044;vege_0;62;
14049;final-crs_2;62;2600
14341;gate-keeper;63;
14342;gate-keeper;64;
14343;vege_0;63;
14348;vege_1;64;
14349;final-crs_4;63;1412
14351;final-crs_1;64;1297
14591;gate-keeper;65;
14594;vege_1;65;
14626;final-crs_5;65;1238
14889;gate-keeper;66;
14891;vege_0;66;
14916;final-crs_0;66;3247
15204;gate-keeper;67;
15205;gate-keeper;68;
15208;vege_1;67;
15210;final-crs_2;67;136
15210;vege_0;68;
15250;final-crs_4;68;3041
15447;gate-keeper;69;
15453;vege_0;69;
15466;final-crs_4;69;1921
15768;gate-keeper;70;
15769;gate-keeper;71;
15770;frui_0;70;
15775;vege_0;71;
15814;final-crs_1;70;172
15816;final-crs_5;71;1454
16074;gate-keeper;72;
16078;vege_1;72;
16098;final-crs_0;72;2305
16411;gate-keeper;73;
16412;gate-keeper;74;
16415;meat_1;74;
16416;vege_0;73;
16463;final-crs_2;74;1565
16479;final-crs_1;73;1096
16733;gate-keeper;75;
16741;vege_0;75;
16804;final-crs_5;75;1095
17061;gate-keeper;76;
17062;vege_1;76;
17068;final-crs_4;76;262
17158;gate-keeper;77;
17164;vege_0;77;
17220;final-crs_2;77;1541
17363;gate-keeper;78;
17365;vege_1;78;
17433;final-crs_2;78;1497
17665;gate-keeper;79;
17667;vege_0;79;
17679;final-crs_2;79;2257
17950;gate-keeper;80;
17951;frui_1;80;
17988;final-crs_0;80;760
18277;gate-keeper;81;
18278;gate-keeper;82;
18279;vege_1;81;
18292;final-crs_1;81;869
18329;meat_0;82;
18365;final-crs_3;82;1362
18470;gate-keeper;83;
18482;meat_0;83;
18513;final-crs_1;83;158
