time;ckpt;id;money
513;gate-keeper;0;
514;vege_1;0;
536;final-crs_0;0;583
796;gate-keeper;1;
798;meat_1;1;
915;final-crs_4;1;900
933;gate-keeper;2;
935;frui_1;2;
956;final-crs_0;2;1009
1389;gate-keeper;3;
1393;vege_1;3;
1450;final-crs_4;3;618
1747;gate-keeper;4;
1748;gate-keeper;5;
1752;frui_1;4;
1753;frui_0;5;
1777;final-crs_1;4;618
1808;final-crs_0;5;1434
2113;gate-keeper;6;
2131;meat_1;6;
2208;final-crs_1;6;786
2447;gate-keeper;7;
2457;meat_0;7;
2477;final-crs_3;7;882
2692;gate-keeper;8;
2694;meat_0;8;
2700;final-crs_2;8;792
3055;gate-keeper;9;
3056;frui_0;9;
3099;final-crs_2;9;360
3337;gate-keeper;10;
3338;vege_1;10;
3365;final-crs_2;10;715
3597;gate-keeper;11;
3622;meat_0;11;
3660;final-crs_5;11;957
3958;gate-keeper;12;
3959;vege_1;12;
3965;final-crs_1;12;366
4237;gate-keeper;13;
4241;vege_1;13;
4279;final-crs_4;13;503
4419;gate-keeper;14;
4422;vege_1;14;
4439;final-crs_1;14;1342
4840;gate-keeper;15;
4842;frui_1;15;
4846;final-crs_1;15;247
5101;gate-keeper;16;
5102;vege_0;16;
5128;final-crs_0;16;309
5368;gate-keeper;17;
5371;frui_0;17;
5402;final-crs_3;17;1630
5658;gate-keeper;18;
5664;frui_0;18;
5701;final-crs_5;18;859
5962;gate-keeper;19;
5974;meat_0;19;
5975;final-crs_0;19;608
6281;gate-keeper;20;
6282;gate-keeper;21;
6299;meat_1;20;
6338;final-crs_3;20;378
6355;meat_0;21;
6447;final-crs_1;21;93
6608;gate-keeper;22;
6609;frui_1;22;
6682;final-crs_1;22;96
6936;gate-keeper;23;
6939;vege_0;23;
6994;final-crs_2;23;1301
7270;gate-keeper;24;
7277;vege_1;24;
7407;final-crs_1;24;1106
7464;gate-keeper;25;
7475;meat_0;25;
7479;final-crs_4;25;1033
7560;gate-keeper;26;
7565;vege_1;26;
7668;final-crs_0;26;300
7869;gate-keeper;27;
7870;vege_0;27;
7909;final-crs_0;27;740
8146;gate-keeper;28;
8148;frui_0;28;
8189;final-crs_4;28;347
8439;gate-keeper;29;
8441;vege_1;29;
8442;final-crs_4;29;132
8747;gate-keeper;30;
8748;vege_1;30;
8818;final-crs_0;30;1350
9085;gate-keeper;31;
9090;frui_1;31;
9119;final-crs_2;31;958
9429;gate-keeper;32;
9432;vege_0;32;
9447;final-crs_3;32;1236
9449;gate-keeper;33;
9450;frui_0;33;
9480;final-crs_4;33;329
10012;gate-keeper;34;
10013;frui_0;34;
10013;gate-keeper;35;
10017;frui_1;35;
10109;final-crs_2;34;1202
10135;final-crs_1;35;681
10290;gate-keeper;36;
