time;ckpt;id;money
273;gate-keeper;0;
278;vege_0;0;
432;final-crs_2;0;1810
603;gate-keeper;1;
660;meat_1;1;
669;final-crs_3;1;1587
870;gate-keeper;2;
916;meat_1;2;
929;final-crs_0;2;1543
1415;gate-keeper;3;
1419;vege_0;3;
1451;final-crs_4;3;689
1659;gate-keeper;4;
1661;vege_0;4;
1668;final-crs_4;4;1009
1720;gate-keeper;5;
1725;vege_0;5;
1780;final-crs_5;5;682
2023;gate-keeper;6;
2025;frui_0;6;
2103;final-crs_2;6;536
2513;gate-keeper;7;
2517;meat_1;7;
2555;final-crs_3;7;1370
2915;gate-keeper;8;
2916;frui_0;8;
3017;final-crs_3;8;434
3202;gate-keeper;9;
3207;vege_1;9;
3262;final-crs_3;9;571
3446;gate-keeper;10;
3453;vege_0;10;
3456;final-crs_3;10;827
3552;gate-keeper;11;
3561;vege_0;11;
3602;final-crs_0;11;496
4045;gate-keeper;12;
4047;vege_1;12;
4070;final-crs_0;12;493
4363;gate-keeper;13;
4364;vege_1;13;
4406;final-crs_3;13;1668
4412;gate-keeper;14;
4449;meat_0;14;
4480;final-crs_5;14;363
4740;gate-keeper;15;
4752;meat_0;15;
4815;final-crs_0;15;341
5070;gate-keeper;16;
5074;vege_1;16;
5099;final-crs_4;16;945
5207;gate-keeper;17;
5211;vege_0;17;
5292;final-crs_0;17;998
5646;gate-keeper;18;
5650;frui_1;18;
5667;final-crs_5;18;355
5906;gate-keeper;19;
5910;vege_1;19;
5939;final-crs_3;19;1546
6176;gate-keeper;20;
6202;meat_0;20;
6242;final-crs_5;20;260
6491;gate-keeper;21;
6492;vege_1;21;
6536;final-crs_2;21;1966
6776;gate-keeper;22;
6781;vege_0;22;
6784;final-crs_2;22;666
6974;gate-keeper;23;
6978;meat_1;23;
7013;final-crs_2;23;94
7353;gate-keeper;24;
7375;meat_0;24;
7376;final-crs_1;24;1619
7707;gate-keeper;25;
7711;meat_1;25;
7728;final-crs_5;25;68
7950;gate-keeper;26;
7956;meat_1;26;
8043;final-crs_2;26;637
8328;gate-keeper;27;
8331;vege_0;27;
8358;final-crs_3;27;117
8592;gate-keeper;28;
8599;vege_0;28;
8604;final-crs_5;28;622
8947;gate-keeper;29;
8950;vege_1;29;
8953;final-crs_2;29;767
9056;gate-keeper;30;
9059;vege_1;30;
9078;final-crs_5;30;801
9552;gate-keeper;31;
9553;gate-keeper;32;
9559;vege_0;31;
9560;meat_1;32;
9568;final-crs_4;31;1198
9570;final-crs_5;32;2185
10067;gate-keeper;33;
10071;vege_0;33;
10089;final-crs_4;33;1114
10142;gate-keeper;34;
10180;meat_1;34;
10256;final-crs_3;34;126
10763;gate-keeper;35;
10764;frui_0;35;
10764;gate-keeper;36;
10765;meat_1;36;
10784;final-crs_4;35;545
10800;final-crs_5;36;1210
11032;gate-keeper;37;
11061;meat_1;37;
11068;final-crs_0;37;2165
11375;gate-keeper;38;
11380;frui_1;38;
11433;final-crs_4;38;172
11725;gate-keeper;39;
11726;vege_0;39;
11750;final-crs_5;39;466
12004;gate-keeper;40;
12013;vege_0;40;
12072;final-crs_0;40;63
12278;gate-keeper;41;
12280;vege_0;41;
12302;final-crs_0;41;2026
12507;gate-keeper;42;
12509;vege_0;42;
12528;final-crs_0;42;542
12943;gate-keeper;43;
12973;meat_0;43;
12978;final-crs_0;43;92
13238;gate-keeper;44;
13240;frui_0;44;
13340;final-crs_4;44;1548
13545;gate-keeper;45;
13584;meat_0;45;
13644;final-crs_2;45;582
13874;gate-keeper;46;
13887;meat_1;46;
13901;final-crs_1;46;337
14209;gate-keeper;47;
14210;vege_1;47;
14234;final-crs_3;47;87
14251;gate-keeper;48;
14256;frui_0;48;
14325;final-crs_2;48;1495
14768;gate-keeper;49;
14827;meat_0;49;
14831;final-crs_1;49;1107
15029;gate-keeper;50;
15032;vege_0;50;
15079;final-crs_2;50;1933
15344;gate-keeper;51;
15348;vege_0;51;
15397;final-crs_5;51;186
15626;gate-keeper;52;
15683;meat_0;52;
15700;final-crs_0;52;133
15922;gate-keeper;53;
15923;vege_1;53;
15964;final-crs_0;53;65
16238;gate-keeper;54;
16243;vege_1;54;
16272;final-crs_1;54;1361
16537;gate-keeper;55;
16540;vege_0;55;
16578;final-crs_2;55;839
16666;gate-keeper;56;
16671;vege_0;56;
16687;final-crs_0;56;2536
17173;gate-keeper;57;
17174;gate-keeper;58;
17175;gate-keeper;59;
17177;vege_0;58;
17183;vege_1;59;
17188;meat_1;57;
17189;final-crs_0;58;1344
17248;final-crs_1;59;1577
17307;final-crs_2;57;174
17372;gate-keeper;60;
17373;gate-keeper;61;
17374;gate-keeper;62;
17376;frui_1;62;
17385;meat_0;60;
17421;meat_1;61;
17428;final-crs_0;62;1042
17430;final-crs_3;60;1040
17494;final-crs_1;61;1111
17526;gate-keeper;63;
17539;meat_1;63;
17598;final-crs_4;63;1229
17817;gate-keeper;64;
17819;vege_1;64;
17857;final-crs_5;64;1527
18118;gate-keeper;65;
18128;vege_0;65;
18153;final-crs_3;65;731
18365;gate-keeper;66;
18366;gate-keeper;67;
18367;gate-keeper;68;
18369;vege_0;66;
18369;vege_1;68;
18371;meat_1;67;
18390;final-crs_3;66;274
18405;gate-keeper;69;
18406;gate-keeper;70;
18407;vege_0;69;
18414;meat_0;70;
18416;final-crs_0;68;488
18416;final-crs_2;67;1108
18450;final-crs_1;69;77
18547;final-crs_5;70;354
18718;gate-keeper;71;
18735;meat_1;71;
18768;final-crs_5;71;527
18965;gate-keeper;72;
18976;meat_1;72;
18998;final-crs_5;72;1051
19235;gate-keeper;73;
19236;gate-keeper;74;
19237;vege_1;73;
19237;gate-keeper;75;
19241;vege_0;75;
19246;meat_0;74;
19261;final-crs_4;73;1188
19290;final-crs_3;75;117
19291;gate-keeper;76;
19292;gate-keeper;77;
19293;vege_1;76;
19297;vege_0;77;
19329;final-crs_0;74;164
19341;final-crs_2;76;2182
19389;final-crs_1;77;1216
19556;gate-keeper;78;
19557;vege_1;78;
19616;final-crs_1;78;1502
19871;gate-keeper;79;
19890;meat_1;79;
19933;final-crs_5;79;2116
20142;gate-keeper;80;
20149;vege_0;80;
20215;final-crs_3;80;1166
20464;gate-keeper;81;
20465;frui_0;81;
20494;final-crs_0;81;310
20753;gate-keeper;82;
20754;gate-keeper;83;
20755;gate-keeper;84;
20759;vege_1;82;
20772;meat_0;83;
20794;meat_1;84;
20816;final-crs_4;82;812
20856;final-crs_5;83;1850
20875;final-crs_1;84;450
20886;gate-keeper;85;
20887;gate-keeper;86;
20888;gate-keeper;87;
20889;gate-keeper;88;
20890;gate-keeper;89;
20891;frui_1;89;
20891;gate-keeper;90;
20893;vege_1;87;
20896;vege_0;88;
20901;meat_0;85;
20924;meat_1;86;
20957;final-crs_2;89;461
20961;meat_0;90;
20989;final-crs_0;87;710
21014;final-crs_3;88;860
21035;final-crs_4;85;2637
21054;gate-keeper;91;
21069;meat_0;91;
21092;final-crs_5;86;63
21136;final-crs_1;90;831
21219;final-crs_0;91;256
21335;gate-keeper;92;
21336;gate-keeper;93;
21337;gate-keeper;94;
21339;vege_0;92;
21347;vege_0;93;
21347;vege_1;94;
21352;final-crs_5;92;1130
21359;final-crs_1;93;352
21456;final-crs_0;94;651
21638;gate-keeper;95;
21639;frui_0;95;
21639;gate-keeper;96;
21640;gate-keeper;97;
21641;vege_1;97;
21674;meat_0;96;
21683;final-crs_0;95;565
21720;final-crs_2;97;2349
21758;final-crs_3;96;965
22232;gate-keeper;98;
22233;gate-keeper;99;
22237;vege_0;98;
22237;vege_1;99;
22279;final-crs_4;98;1157
22337;final-crs_5;99;1205
22503;gate-keeper;100;
22504;gate-keeper;101;
22505;gate-keeper;102;
22507;vege_0;100;
22510;vege_1;101;
22516;vege_0;102;
22525;gate-keeper;103;
22530;vege_1;103;
22579;final-crs_1;100;562
22603;final-crs_5;101;634
22676;final-crs_2;102;839
22687;final-crs_3;103;308
22832;gate-keeper;104;
22855;meat_0;104;
22915;final-crs_4;104;473
23120;gate-keeper;105;
23122;vege_0;105;
23150;final-crs_2;105;920
23446;gate-keeper;106;
23451;vege_0;106;
23467;final-crs_3;106;111
23761;gate-keeper;107;
23762;gate-keeper;108;
23763;gate-keeper;109;
23768;vege_0;107;
23768;vege_1;108;
23790;final-crs_5;107;1056
23795;meat_1;109;
23838;final-crs_2;108;613
23856;final-crs_4;109;562
24046;gate-keeper;110;
24047;gate-keeper;111;
24048;gate-keeper;112;
24049;vege_0;111;
24052;frui_1;110;
24074;meat_0;112;
24090;final-crs_4;111;1243
24098;final-crs_2;110;673
24162;final-crs_0;112;3127
24242;gate-keeper;113;
24243;gate-keeper;114;
24244;gate-keeper;115;
24245;frui_1;113;
24246;frui_0;115;
24251;meat_1;114;
24279;final-crs_5;113;137
24327;final-crs_4;115;1791
24341;final-crs_2;114;311
24349;gate-keeper;116;
24350;gate-keeper;117;
24351;gate-keeper;118;
24357;frui_0;117;
24358;vege_0;118;
24376;meat_0;116;
24453;final-crs_0;117;1558
24474;final-crs_3;118;374
24511;final-crs_1;116;1626
24947;gate-keeper;119;
24948;gate-keeper;120;
24955;vege_0;119;
24974;final-crs_5;119;721
24992;meat_0;120;
25020;final-crs_1;120;326
25203;gate-keeper;121;
25218;meat_1;121;
25277;final-crs_1;121;2078
25520;gate-keeper;122;
25521;gate-keeper;123;
25522;gate-keeper;124;
25524;vege_0;123;
25525;vege_1;124;
25528;meat_1;122;
25559;final-crs_1;123;1349
25595;final-crs_2;124;774
25641;final-crs_3;122;537
25811;gate-keeper;125;
25812;gate-keeper;126;
25813;gate-keeper;127;
25816;vege_0;125;
25816;meat_1;126;
25817;vege_1;127;
25843;final-crs_3;125;935
25846;final-crs_2;126;1646
25942;final-crs_5;127;900
26108;gate-keeper;128;
26112;vege_1;128;
26170;final-crs_5;128;1244
26428;gate-keeper;129;
26433;meat_1;129;
26465;final-crs_4;129;61
26751;gate-keeper;130;
26758;vege_1;130;
26762;final-crs_3;130;922
27068;gate-keeper;131;
27086;meat_1;131;
27087;final-crs_5;131;1374
27408;gate-keeper;132;
27411;vege_0;132;
27442;final-crs_3;132;783
27743;gate-keeper;133;
27747;vege_0;133;
27755;final-crs_1;133;114
28013;gate-keeper;134;
28016;vege_1;134;
28090;final-crs_0;134;504
28319;gate-keeper;135;
28345;meat_1;135;
28360;final-crs_0;135;1178
28584;gate-keeper;136;
28590;vege_0;136;
28607;final-crs_0;136;614
28938;gate-keeper;137;
28956;meat_1;137;
28980;final-crs_1;137;1265
29318;gate-keeper;138;
29329;meat_1;138;
29336;final-crs_0;138;850
29610;gate-keeper;139;
29613;vege_1;139;
29645;final-crs_3;139;877
29907;gate-keeper;140;
29916;vege_0;140;
29924;final-crs_2;140;815
30200;gate-keeper;141;
30212;meat_0;141;
30241;final-crs_4;141;1078
30498;gate-keeper;142;
30499;vege_1;142;
30506;final-crs_4;142;817
30720;gate-keeper;143;
30723;vege_1;143;
30752;final-crs_4;143;1462
31175;gate-keeper;144;
31179;frui_1;144;
31235;final-crs_5;144;1583
31387;gate-keeper;145;
31391;vege_0;145;
31418;final-crs_2;145;302
31705;gate-keeper;146;
31707;vege_0;146;
31774;final-crs_1;146;185
32102;gate-keeper;147;
32131;meat_1;147;
32138;final-crs_5;147;1600
32295;gate-keeper;148;
32298;vege_0;148;
32310;final-crs_1;148;1640
32529;gate-keeper;149;
32530;vege_0;149;
32537;final-crs_1;149;2048
32834;gate-keeper;150;
32840;vege_1;150;
32842;final-crs_2;150;433
33103;gate-keeper;151;
33108;vege_1;151;
33129;final-crs_3;151;795
33408;gate-keeper;152;
33436;meat_0;152;
33441;final-crs_0;152;1874
33676;gate-keeper;153;
33677;frui_0;153;
33681;final-crs_0;153;325
34040;gate-keeper;154;
34047;vege_1;154;
34122;final-crs_3;154;1221
34362;gate-keeper;155;
34370;vege_1;155;
34372;final-crs_3;155;654
34566;gate-keeper;156;
34568;vege_1;156;
34577;final-crs_3;156;764
34867;gate-keeper;157;
34870;frui_1;157;
34952;final-crs_4;157;622
35298;gate-keeper;158;
35299;gate-keeper;159;
35300;vege_1;158;
35307;meat_0;159;
35346;final-crs_0;158;578
35440;final-crs_4;159;314
35896;gate-keeper;160;
35897;gate-keeper;161;
35898;vege_0;160;
35925;final-crs_4;160;176
35930;meat_1;161;
35943;final-crs_3;161;107
36246;gate-keeper;162;
36286;meat_1;162;
36323;final-crs_0;162;786
36565;gate-keeper;163;
36577;meat_1;163;
36638;final-crs_5;163;1840
36854;gate-keeper;164;
36862;vege_1;164;
36940;final-crs_1;164;1094
37152;gate-keeper;165;
37153;gate-keeper;166;
37154;vege_0;166;
37154;gate-keeper;167;
37157;final-crs_3;166;2077
37196;meat_1;165;
37200;final-crs_1;165;529
37207;meat_0;167;
37217;final-crs_4;167;239
37494;gate-keeper;168;
37495;vege_0;168;
37495;gate-keeper;169;
37496;meat_1;169;
37496;gate-keeper;170;
37497;vege_1;170;
37527;final-crs_5;168;765
37590;final-crs_2;169;375
37650;final-crs_3;170;2227
37767;gate-keeper;171;
37770;vege_0;171;
37819;final-crs_2;171;697
38095;gate-keeper;172;
38099;vege_0;172;
