time;ckpt;id;money
305;gate-keeper;0;
306;gate-keeper;1;
307;gate-keeper;2;
308;gate-keeper;3;
311;vege_1;0;
314;vege_0;2;
344;meat_1;1;
353;meat_0;3;
420;final-crs_4;0;1872
448;final-crs_0;2;366
451;final-crs_1;1;62
479;final-crs_5;3;3510
674;gate-keeper;8;
702;meat_0;8;
721;final-crs_9;8;2699
907;gate-keeper;11;
941;meat_0;11;
956;final-crs_9;11;942
964;gate-keeper;12;
998;meat_0;12;
1022;final-crs_6;12;243
1267;gate-keeper;13;
1268;vege_0;13;
1268;gate-keeper;14;
1269;gate-keeper;15;
1270;gate-keeper;16;
1271;frui_0;14;
1273;vege_1;16;
1274;final-crs_6;13;820
1281;meat_1;15;
1303;final-crs_4;14;474
1368;final-crs_0;16;1751
1399;final-crs_2;15;324
1560;gate-keeper;18;
1561;gate-keeper;19;
1562;gate-keeper;20;
1563;frui_0;20;
1571;meat_1;18;
1574;meat_0;19;
1613;final-crs_0;20;1711
1644;final-crs_3;18;687
1669;final-crs_1;19;1788
1801;gate-keeper;22;
1802;gate-keeper;23;
1818;meat_0;22;
1831;meat_1;23;
1855;final-crs_3;22;443
1896;final-crs_2;23;717
2195;gate-keeper;27;
2196;gate-keeper;28;
2197;gate-keeper;29;
2200;vege_1;29;
2202;frui_0;28;
2210;meat_0;27;
2225;final-crs_4;29;905
2230;final-crs_8;28;833
2297;final-crs_6;27;2671
2502;gate-keeper;31;
2503;gate-keeper;32;
2504;vege_1;32;
2504;gate-keeper;33;
2505;gate-keeper;34;
2507;vege_0;33;
2510;meat_0;31;
2515;vege_1;34;
2523;final-crs_6;32;2072
2536;final-crs_3;33;1059
2577;final-crs_0;31;4286
2609;final-crs_7;34;330
2714;gate-keeper;35;
2715;gate-keeper;36;
2718;vege_1;35;
2720;vege_0;36;
2762;final-crs_3;35;662
2768;final-crs_6;36;3037
2830;gate-keeper;38;
2836;vege_0;38;
2857;final-crs_7;38;244
3150;gate-keeper;42;
3153;frui_0;42;
3187;final-crs_5;42;231
3489;gate-keeper;45;
3490;gate-keeper;46;
3492;frui_1;45;
3494;vege_1;46;
3517;final-crs_7;45;1267
3556;final-crs_0;46;262
3797;gate-keeper;50;
3821;meat_1;50;
3855;final-crs_8;50;224
4057;gate-keeper;53;
4058;vege_0;53;
4058;gate-keeper;54;
4066;vege_0;54;
4075;final-crs_2;53;2011
4091;final-crs_1;54;1284
4322;gate-keeper;58;
4329;meat_0;58;
4332;final-crs_2;58;371
4661;gate-keeper;62;
4664;vege_0;62;
4686;final-crs_6;62;4227
4938;gate-keeper;66;
4942;vege_0;66;
5021;final-crs_9;66;3234
5209;gate-keeper;70;
5215;vege_1;70;
5243;final-crs_9;70;1218
5463;gate-keeper;71;
5464;gate-keeper;72;
5465;gate-keeper;73;
5466;vege_0;72;
5467;meat_1;71;
5475;meat_0;73;
5500;final-crs_5;72;551
5507;final-crs_0;71;912
5513;final-crs_9;73;1705
5821;gate-keeper;78;
5822;vege_1;78;
5838;final-crs_2;78;1704
6075;gate-keeper;82;
6079;vege_0;82;
6105;final-crs_1;82;2559
6413;gate-keeper;85;
6414;gate-keeper;86;
6417;vege_1;85;
6418;vege_0;86;
6423;final-crs_6;85;702
6431;final-crs_0;86;2365
6652;gate-keeper;90;
6692;meat_1;90;
6714;final-crs_7;90;981
6988;gate-keeper;94;
6989;meat_1;94;
7029;final-crs_2;94;1830
7197;gate-keeper;97;
7215;meat_1;97;
7239;final-crs_7;97;1526
7510;gate-keeper;99;
7511;gate-keeper;100;
7512;gate-keeper;101;
7517;vege_1;100;
7518;meat_1;99;
7558;final-crs_2;100;1155
7561;meat_0;101;
7572;final-crs_1;99;234
7586;final-crs_6;101;568
7828;gate-keeper;103;
7829;gate-keeper;104;
7830;gate-keeper;105;
7831;vege_1;105;
7834;frui_0;104;
7845;meat_0;103;
7860;final-crs_8;105;1831
7885;final-crs_3;104;773
7885;final-crs_5;103;230
8108;gate-keeper;107;
8109;gate-keeper;108;
8110;gate-keeper;109;
8111;vege_1;107;
8113;meat_1;108;
8120;final-crs_5;107;1602
8149;meat_0;109;
8176;final-crs_9;108;1170
8223;final-crs_7;109;728
8390;gate-keeper;111;
8391;gate-keeper;112;
8392;gate-keeper;113;
8398;vege_1;111;
8400;vege_0;112;
8408;vege_1;113;
8431;final-crs_9;111;1770
8452;final-crs_7;112;726
8473;final-crs_0;113;1843
8671;gate-keeper;115;
8672;gate-keeper;116;
8673;vege_1;115;
8673;gate-keeper;117;
8674;frui_1;116;
8680;final-crs_0;115;1395
8680;vege_0;117;
8683;final-crs_7;116;721
8775;final-crs_4;117;1863
8952;gate-keeper;121;
8964;meat_1;121;
9002;final-crs_8;121;1295
9252;gate-keeper;123;
9253;gate-keeper;124;
9260;vege_1;124;
9266;final-crs_1;124;2693
9280;meat_0;123;
9282;final-crs_3;123;758
9289;gate-keeper;125;
9291;vege_0;125;
9292;final-crs_8;125;347
9558;gate-keeper;127;
9559;gate-keeper;128;
9560;vege_0;127;
9560;gate-keeper;129;
9563;frui_0;129;
9578;meat_0;128;
9626;final-crs_9;127;444
9632;final-crs_2;129;1597
9655;final-crs_7;128;946
9803;gate-keeper;131;
9804;gate-keeper;132;
9805;vege_1;131;
9813;vege_0;132;
9832;final-crs_4;131;720
9847;final-crs_2;132;278
10084;gate-keeper;135;
10085;gate-keeper;136;
10086;meat_1;135;
10090;final-crs_2;135;205
10122;meat_0;136;
10177;final-crs_7;136;1081
10363;gate-keeper;138;
10364;gate-keeper;139;
10366;vege_0;139;
10367;frui_1;138;
10425;final-crs_7;139;849
10452;final-crs_0;138;416
10670;gate-keeper;142;
10671;gate-keeper;143;
10676;vege_1;142;
10688;final-crs_8;142;1167
10732;meat_0;143;
10802;final-crs_5;143;1243
10915;gate-keeper;147;
10946;meat_0;147;
10953;final-crs_3;147;1983
11232;gate-keeper;151;
11235;frui_1;151;
11268;final-crs_9;151;1083
11813;gate-keeper;158;
11816;vege_1;158;
11837;final-crs_8;158;2344
12095;gate-keeper;162;
12096;vege_1;162;
12135;final-crs_7;162;2730
12135;gate-keeper;163;
12169;meat_1;163;
12216;final-crs_2;163;105
12376;gate-keeper;166;
12396;meat_1;166;
12411;final-crs_2;166;1328
12746;gate-keeper;171;
12751;vege_1;171;
12766;final-crs_9;171;798
13037;gate-keeper;175;
13038;vege_0;175;
13054;final-crs_8;175;756
13234;gate-keeper;176;
13235;gate-keeper;177;
13236;gate-keeper;178;
13238;frui_1;177;
13239;vege_1;176;
13239;frui_0;178;
13245;final-crs_5;177;591
13259;final-crs_4;176;2212
13271;final-crs_1;178;2209
13311;gate-keeper;179;
13344;meat_0;179;
13351;final-crs_2;179;1847
13678;gate-keeper;183;
13679;gate-keeper;184;
13682;vege_1;184;
13692;final-crs_6;184;297
13697;meat_1;183;
13714;final-crs_5;183;634
13778;gate-keeper;185;
13779;gate-keeper;186;
13785;frui_0;186;
13815;meat_1;185;
13835;final-crs_2;186;126
13880;final-crs_0;185;3013
14012;gate-keeper;188;
14013;gate-keeper;189;
14015;vege_0;188;
14016;final-crs_7;188;2993
14019;frui_1;189;
14021;final-crs_3;189;152
14104;gate-keeper;190;
14111;vege_1;190;
14122;final-crs_0;190;782
14614;gate-keeper;194;
14615;gate-keeper;195;
14616;meat_0;194;
14616;gate-keeper;196;
14618;vege_0;196;
14657;meat_1;195;
14662;final-crs_6;194;2242
14719;final-crs_7;196;2541
14725;final-crs_9;195;2906
14922;gate-keeper;198;
14923;gate-keeper;199;
14924;gate-keeper;200;
14925;gate-keeper;201;
14926;vege_1;200;
14941;final-crs_7;200;425
14961;meat_1;198;
14970;meat_0;199;
14984;final-crs_2;198;1498
14992;final-crs_8;199;1515
15027;meat_1;201;
15061;final-crs_5;201;508
15232;gate-keeper;205;
15239;vege_0;205;
15254;final-crs_8;205;1452
