time;ckpt;id;money
316;gate-keeper;0;
317;vege_1;0;
317;gate-keeper;1;
318;gate-keeper;2;
319;gate-keeper;3;
321;vege_0;1;
326;vege_1;2;
342;meat_1;3;
445;final-crs_4;0;655
454;final-crs_2;1;282
461;final-crs_5;2;1332
472;final-crs_7;3;689
1499;gate-keeper;18;
1500;gate-keeper;19;
1501;vege_0;18;
1501;gate-keeper;20;
1502;gate-keeper;21;
1503;frui_1;20;
1508;vege_1;19;
1511;vege_0;21;
1558;final-crs_2;18;149
1611;final-crs_6;20;2152
1641;final-crs_5;19;147
1657;final-crs_3;21;2600
1696;gate-keeper;23;
1697;gate-keeper;24;
1698;vege_1;24;
1698;frui_0;23;
1707;final-crs_9;24;1839
1713;final-crs_0;23;1243
1878;gate-keeper;27;
1880;vege_1;27;
1916;final-crs_8;27;865
2153;gate-keeper;31;
2155;frui_1;31;
2157;final-crs_9;31;2143
2472;gate-keeper;35;
2475;vege_1;35;
2484;final-crs_2;35;887
2565;gate-keeper;36;
2566;gate-keeper;37;
2568;vege_0;36;
2569;vege_1;37;
2592;final-crs_5;36;2083
2606;final-crs_8;37;1157
2797;gate-keeper;40;
2802;frui_1;40;
2811;final-crs_3;40;91
2971;gate-keeper;41;
2972;vege_0;41;
2972;gate-keeper;42;
2973;gate-keeper;43;
2980;vege_0;42;
2981;vege_1;43;
3007;final-crs_6;41;119
3064;final-crs_3;42;284
3077;gate-keeper;45;
3078;vege_1;45;
3086;final-crs_5;43;2215
3088;final-crs_8;45;3084
3356;gate-keeper;48;
3357;frui_1;48;
3357;gate-keeper;49;
3363;vege_1;49;
3403;final-crs_4;48;302
3407;final-crs_0;49;627
3516;gate-keeper;50;
3517;vege_1;50;
3517;gate-keeper;51;
3523;meat_0;51;
3542;final-crs_3;50;89
3545;final-crs_1;51;118
3630;gate-keeper;53;
3635;frui_1;53;
3669;final-crs_4;53;2701
3831;gate-keeper;54;
3832;gate-keeper;55;
3833;gate-keeper;56;
3837;vege_0;54;
3838;frui_1;56;
3840;vege_1;55;
3884;final-crs_7;54;1371
3886;final-crs_8;56;882
3906;final-crs_4;55;620
4140;gate-keeper;60;
4142;frui_1;60;
4144;final-crs_4;60;1388
4426;gate-keeper;61;
4427;gate-keeper;62;
4428;gate-keeper;63;
4429;gate-keeper;64;
4431;vege_0;61;
4431;vege_1;62;
4433;final-crs_7;61;3170
4439;vege_1;63;
4451;meat_1;64;
4458;final-crs_3;62;608
4459;final-crs_6;63;2551
4488;final-crs_9;64;1514
4497;gate-keeper;65;
4499;frui_0;65;
4556;final-crs_1;65;219
4765;gate-keeper;69;
4766;frui_1;69;
4812;final-crs_1;69;2111
5102;gate-keeper;74;
5103;gate-keeper;75;
5104;vege_1;74;
5105;frui_1;75;
5132;final-crs_4;74;613
5138;final-crs_7;75;1215
5374;gate-keeper;78;
5375;frui_1;78;
5379;final-crs_4;78;859
5395;gate-keeper;79;
5398;vege_0;79;
5402;final-crs_6;79;1528
5680;gate-keeper;82;
5681;gate-keeper;83;
5683;vege_0;83;
5689;meat_1;82;
5692;final-crs_5;83;1756
5708;final-crs_9;82;1363
5959;gate-keeper;87;
5966;vege_0;87;
5997;final-crs_4;87;2203
6183;gate-keeper;90;
6207;meat_0;90;
6219;gate-keeper;91;
6220;vege_0;91;
6223;final-crs_4;90;502
6287;final-crs_8;91;2511
6521;gate-keeper;95;
6522;vege_0;95;
6522;gate-keeper;96;
6527;frui_0;96;
6555;final-crs_0;95;1053
6557;final-crs_8;96;324
6796;gate-keeper;100;
6800;vege_1;100;
6817;final-crs_0;100;3315
7087;gate-keeper;104;
7091;frui_1;104;
7149;gate-keeper;105;
7151;frui_1;105;
7162;final-crs_2;104;4444
7184;final-crs_5;105;556
7580;gate-keeper;111;
7587;frui_0;111;
7619;final-crs_5;111;1614
7888;gate-keeper;114;
7889;gate-keeper;115;
7890;gate-keeper;116;
7894;vege_0;114;
7896;vege_1;115;
7905;final-crs_6;114;701
7905;vege_0;116;
