time;ckpt;id;money
341;gate-keeper;2;
344;frui_1;2;
435;final-crs_3;2;281
685;gate-keeper;5;
686;gate-keeper;6;
688;vege_0;5;
693;vege_1;6;
713;final-crs_4;5;1009
714;final-crs_7;6;1158
937;gate-keeper;9;
942;vege_0;9;
989;final-crs_6;9;376
1232;gate-keeper;12;
1233;frui_0;12;
1280;final-crs_6;12;1124
1526;gate-keeper;16;
1529;frui_0;16;
1572;final-crs_7;16;890
1898;gate-keeper;20;
1901;vege_0;20;
1909;final-crs_0;20;591
2109;gate-keeper;21;
2110;gate-keeper;22;
2111;gate-keeper;23;
2113;vege_1;22;
2113;frui_1;23;
2116;final-crs_3;22;1076
2152;meat_0;21;
2157;final-crs_0;23;210
2171;final-crs_4;21;299
2387;gate-keeper;24;
2388;gate-keeper;25;
2389;frui_0;24;
2389;gate-keeper;26;
2392;vege_0;26;
2405;final-crs_6;24;368
2407;meat_1;25;
2414;final-crs_2;26;154
2440;final-crs_0;25;189
2996;gate-keeper;32;
2997;frui_0;32;
2997;gate-keeper;33;
2998;frui_1;33;
3022;final-crs_5;32;932
3039;final-crs_7;33;617
3250;gate-keeper;34;
3251;gate-keeper;35;
3257;meat_0;34;
3268;final-crs_3;34;1051
3287;meat_1;35;
3294;final-crs_0;35;1832
3747;gate-keeper;41;
3751;vege_0;41;
3783;final-crs_1;41;817
3877;gate-keeper;42;
3881;vege_0;42;
3903;final-crs_4;42;1302
4092;gate-keeper;44;
4093;gate-keeper;45;
4096;frui_0;45;
4106;meat_1;44;
4116;final-crs_6;45;692
4156;final-crs_4;44;302
4160;gate-keeper;46;
4169;vege_1;46;
4172;final-crs_5;46;428
4451;gate-keeper;49;
4452;frui_0;49;
4468;final-crs_9;49;320
4591;gate-keeper;50;
4592;gate-keeper;51;
4598;vege_0;50;
4598;vege_1;51;
4620;final-crs_7;50;405
4622;final-crs_0;51;864
4773;gate-keeper;52;
4774;gate-keeper;53;
4775;frui_1;52;
4778;frui_0;53;
4814;final-crs_8;52;1767
4880;final-crs_7;53;1422
5108;gate-keeper;55;
5109;gate-keeper;56;
5110;vege_0;56;
5113;final-crs_6;56;102
5113;frui_0;55;
5121;final-crs_7;55;1371
5399;gate-keeper;59;
5400;frui_1;59;
5400;gate-keeper;60;
5401;final-crs_5;59;484
5402;frui_0;60;
5432;final-crs_4;60;799
5729;gate-keeper;61;
5730;meat_1;61;
5730;gate-keeper;62;
5731;gate-keeper;63;
5770;meat_0;62;
5775;final-crs_8;61;562
5775;meat_1;63;
5783;final-crs_3;62;762
5790;final-crs_7;63;804
6128;gate-keeper;68;
6133;frui_1;68;
6135;final-crs_4;68;1872
6242;gate-keeper;69;
6245;frui_0;69;
6253;final-crs_7;69;601
6697;gate-keeper;73;
6698;gate-keeper;74;
6699;frui_1;74;
6703;vege_1;73;
6713;final-crs_3;74;1887
6717;final-crs_6;73;74
6979;gate-keeper;76;
6980;gate-keeper;77;
6982;vege_0;76;
6986;final-crs_0;76;1329
7030;meat_0;77;
7053;gate-keeper;78;
7057;frui_0;78;
7114;final-crs_4;77;230
7139;final-crs_2;78;1227
7336;gate-keeper;79;
7337;vege_0;79;
7337;gate-keeper;80;
7338;frui_1;80;
7338;gate-keeper;81;
7346;vege_0;81;
7347;final-crs_4;79;1374
7371;final-crs_2;80;1214
7372;final-crs_3;81;1599
7669;gate-keeper;85;
7675;vege_1;85;
7718;final-crs_0;85;286
7764;gate-keeper;86;
7766;frui_0;86;
7778;final-crs_3;86;1215
7929;gate-keeper;87;
7930;gate-keeper;88;
7933;frui_0;87;
7936;final-crs_6;87;1387
7941;meat_1;88;
7953;final-crs_7;88;1494
8215;gate-keeper;90;
8216;frui_1;90;
8216;gate-keeper;91;
8220;vege_1;91;
8221;final-crs_9;90;107
8233;final-crs_0;91;1504
8557;gate-keeper;93;
8558;gate-keeper;94;
8559;gate-keeper;95;
8560;frui_1;94;
8562;frui_0;95;
8565;vege_1;93;
8583;final-crs_1;94;996
8680;final-crs_5;95;338
8689;final-crs_7;93;928
8811;gate-keeper;97;
8812;gate-keeper;98;
8814;meat_1;98;
8818;vege_0;97;
8870;final-crs_1;98;535
8897;final-crs_9;97;607
9145;gate-keeper;101;
9146;frui_0;101;
9155;final-crs_1;101;1006
9436;gate-keeper;104;
9437;gate-keeper;105;
9438;vege_0;105;
9440;final-crs_4;105;90
9440;frui_0;104;
9456;final-crs_9;104;408
9708;gate-keeper;108;
9709;frui_0;108;
9712;final-crs_9;108;1379
10256;gate-keeper;113;
10257;gate-keeper;114;
10298;meat_1;113;
10311;meat_0;114;
10324;final-crs_6;113;973
10328;final-crs_0;114;283
10546;gate-keeper;115;
10547;vege_0;115;
10547;gate-keeper;116;
10548;gate-keeper;117;
10552;final-crs_8;115;1382
10552;frui_1;117;
10553;vege_1;116;
10590;final-crs_5;117;870
10593;final-crs_1;116;1614
10825;gate-keeper;119;
10826;gate-keeper;120;
10830;frui_0;119;
10830;frui_1;120;
10860;final-crs_5;119;358
10876;final-crs_3;120;471
11123;gate-keeper;122;
11124;gate-keeper;123;
11125;gate-keeper;124;
11127;frui_1;123;
11129;final-crs_2;123;1185
11130;vege_1;124;
11159;final-crs_4;124;428
11169;meat_0;122;
11206;final-crs_9;122;77
11615;gate-keeper;128;
11616;gate-keeper;129;
11618;vege_0;128;
11624;vege_1;129;
11648;final-crs_9;128;377
11659;final-crs_4;129;455
11715;gate-keeper;131;
11717;frui_0;131;
11765;final-crs_5;131;675
12048;gate-keeper;134;
12050;vege_0;134;
12115;final-crs_2;134;1416
12370;gate-keeper;137;
12371;vege_1;137;
12371;gate-keeper;138;
12374;frui_0;138;
12397;final-crs_4;137;315
12423;final-crs_6;138;133
12559;gate-keeper;139;
12560;gate-keeper;140;
12564;frui_1;140;
12568;final-crs_3;140;184
12591;meat_0;139;
12595;final-crs_9;139;326
12692;gate-keeper;141;
12693;gate-keeper;142;
12694;vege_0;141;
12699;vege_1;142;
12719;final-crs_1;141;993
12727;final-crs_8;142;337
12973;gate-keeper;145;
12976;frui_1;145;
12991;final-crs_5;145;1126
13291;gate-keeper;148;
13293;frui_1;148;
13312;final-crs_9;148;634
13465;gate-keeper;149;
13466;gate-keeper;150;
13468;vege_1;149;
13474;vege_0;150;
13497;final-crs_1;149;1019
13540;final-crs_9;150;919
13920;gate-keeper;155;
13921;vege_0;155;
13967;final-crs_0;155;1287
14262;gate-keeper;159;
14265;vege_0;159;
14280;final-crs_9;159;484
14440;gate-keeper;161;
14444;vege_1;161;
14491;final-crs_0;161;447
14637;gate-keeper;162;
14638;gate-keeper;163;
14639;gate-keeper;164;
14645;vege_0;163;
14649;vege_1;164;
14656;final-crs_8;163;440
14668;meat_0;162;
14673;final-crs_1;164;675
14728;final-crs_0;162;478
14938;gate-keeper;165;
14939;gate-keeper;166;
14940;gate-keeper;167;
14941;frui_0;166;
14943;vege_0;165;
14945;vege_1;167;
14986;final-crs_0;166;241
15002;final-crs_9;165;593
15032;final-crs_2;167;1566
15445;gate-keeper;171;
15446;gate-keeper;172;
15447;vege_1;171;
15447;gate-keeper;173;
15450;vege_0;172;
15451;meat_1;173;
15460;final-crs_9;171;355
15470;final-crs_0;172;792
15474;final-crs_2;173;1819
15531;gate-keeper;174;
15535;frui_1;174;
15548;final-crs_7;174;187
16165;gate-keeper;181;
16168;frui_1;181;
16204;final-crs_7;181;515
16456;gate-keeper;184;
16458;frui_1;184;
16482;final-crs_3;184;673
16807;gate-keeper;187;
16808;vege_0;187;
16808;gate-keeper;188;
16809;vege_1;188;
16838;final-crs_5;187;805
16849;final-crs_0;188;279
17086;gate-keeper;191;
17087;vege_0;191;
17101;final-crs_5;191;902
17258;gate-keeper;192;
17259;gate-keeper;193;
17260;gate-keeper;194;
17261;gate-keeper;195;
17262;gate-keeper;196;
17263;gate-keeper;197;
17264;gate-keeper;198;
17265;vege_1;192;
17265;gate-keeper;199;
17266;vege_0;193;
17266;gate-keeper;200;
17267;gate-keeper;201;
17271;frui_1;201;
17274;vege_0;194;
17274;vege_1;195;
