time;ckpt;id;money
280;gate-keeper;0;
281;gate-keeper;1;
282;gate-keeper;2;
283;frui_1;2;
283;gate-keeper;3;
287;vege_1;0;
290;vege_0;1;
296;vege_1;3;
449;final-crs_6;2;1119
451;final-crs_8;0;361
464;final-crs_2;1;1267
469;final-crs_1;3;1301
844;gate-keeper;8;
845;gate-keeper;9;
846;gate-keeper;10;
847;gate-keeper;11;
848;vege_1;8;
851;frui_0;9;
852;frui_1;11;
854;vege_0;10;
913;final-crs_0;8;423
945;final-crs_2;9;128
945;final-crs_5;11;1154
947;final-crs_6;10;1124
1244;gate-keeper;17;
1245;vege_0;17;
1405;final-crs_0;17;1087
1726;gate-keeper;24;
1731;vege_0;24;
1743;final-crs_7;24;844
1796;gate-keeper;25;
1797;vege_0;25;
1863;final-crs_9;25;684
2057;gate-keeper;26;
2058;gate-keeper;27;
2059;frui_0;26;
2059;gate-keeper;28;
2060;gate-keeper;29;
2062;vege_0;28;
2062;vege_1;29;
2072;meat_1;27;
2101;final-crs_9;26;1253
2116;final-crs_1;28;366
2125;final-crs_3;29;767
2153;final-crs_2;27;835
2300;gate-keeper;30;
2301;gate-keeper;31;
2302;gate-keeper;32;
2303;gate-keeper;33;
2306;vege_1;30;
2307;vege_0;31;
2307;frui_0;32;
2315;vege_1;33;
2325;final-crs_0;30;524
2337;final-crs_3;31;327
2365;final-crs_9;32;268
2366;final-crs_4;33;289
2519;gate-keeper;35;
2520;gate-keeper;36;
2523;vege_1;36;
2528;meat_0;35;
2581;final-crs_9;36;1026
2582;final-crs_0;35;706
2853;gate-keeper;39;
2854;gate-keeper;40;
2855;gate-keeper;41;
2856;frui_1;41;
2857;meat_0;39;
2865;final-crs_3;41;670
2870;final-crs_1;39;1201
2910;meat_1;40;
2929;final-crs_7;40;1492
3203;gate-keeper;43;
3204;vege_1;43;
3204;gate-keeper;44;
3205;gate-keeper;45;
3213;vege_0;45;
3231;meat_0;44;
3247;final-crs_5;43;800
3290;final-crs_9;45;938
3307;final-crs_1;44;556
3692;gate-keeper;52;
3693;gate-keeper;53;
3694;vege_1;53;
3697;frui_0;52;
3736;final-crs_5;53;181
3747;final-crs_1;52;1032
4173;gate-keeper;56;
4174;gate-keeper;57;
4175;gate-keeper;58;
4176;vege_0;56;
4176;gate-keeper;59;
4177;gate-keeper;60;
4178;vege_1;57;
4178;frui_0;58;
4178;meat_0;60;
4185;vege_0;59;
4191;final-crs_3;56;578
4234;final-crs_1;57;1760
4240;final-crs_7;58;195
4261;final-crs_9;60;1475
4269;final-crs_5;59;1215
4465;gate-keeper;64;
4470;vege_1;64;
4497;final-crs_7;64;896
4548;gate-keeper;65;
4549;vege_0;65;
4551;final-crs_4;65;352
4774;gate-keeper;68;
4806;meat_1;68;
4807;final-crs_2;68;420
5087;gate-keeper;73;
5098;meat_0;73;
5102;final-crs_6;73;896
5409;gate-keeper;79;
5410;vege_1;79;
5439;final-crs_8;79;1183
5671;gate-keeper;82;
5676;vege_1;82;
5685;final-crs_9;82;1123
5736;gate-keeper;83;
5743;vege_1;83;
5784;final-crs_0;83;797
6027;gate-keeper;86;
6028;gate-keeper;87;
6033;vege_1;86;
6034;vege_0;87;
6042;final-crs_0;86;846
6116;final-crs_2;87;2468
6326;gate-keeper;90;
6327;vege_0;90;
6327;gate-keeper;91;
6330;final-crs_2;90;623
6334;vege_0;91;
6369;final-crs_3;91;1332
6605;gate-keeper;93;
6606;gate-keeper;94;
6607;gate-keeper;95;
6608;vege_1;93;
6613;final-crs_3;93;239
6613;vege_0;94;
6620;meat_1;95;
6629;gate-keeper;96;
6630;frui_1;96;
6646;final-crs_7;94;101
6663;final-crs_1;95;1850
6679;final-crs_4;96;334
6806;gate-keeper;97;
6807;gate-keeper;98;
6811;vege_1;97;
6812;vege_0;98;
6833;final-crs_7;97;131
6846;final-crs_2;98;715
6901;gate-keeper;99;
6902;vege_1;99;
6925;final-crs_4;99;417
7192;gate-keeper;102;
7193;gate-keeper;103;
7198;vege_0;102;
7198;vege_1;103;
7225;final-crs_5;102;339
7244;final-crs_6;103;412
7441;gate-keeper;107;
7443;vege_1;107;
7464;final-crs_6;107;1002
7569;gate-keeper;108;
7570;gate-keeper;109;
7571;vege_0;109;
7574;frui_0;108;
7605;final-crs_3;109;610
7621;final-crs_8;108;981
7797;gate-keeper;112;
7798;gate-keeper;113;
7813;meat_1;112;
7814;final-crs_9;112;258
7828;meat_0;113;
7858;final-crs_0;113;657
8161;gate-keeper;116;
8162;gate-keeper;117;
8163;gate-keeper;118;
8165;frui_1;116;
8166;vege_0;117;
8187;meat_0;118;
8197;final-crs_7;116;352
8198;final-crs_2;117;339
8276;final-crs_9;118;771
8436;gate-keeper;120;
8437;gate-keeper;121;
8439;vege_1;120;
8441;vege_0;121;
8459;final-crs_2;120;1059
8527;final-crs_0;121;516
8536;gate-keeper;123;
8542;vege_0;123;
8545;final-crs_8;123;426
8729;gate-keeper;124;
8730;gate-keeper;125;
8736;vege_0;124;
8738;vege_1;125;
8747;final-crs_0;124;839
8771;final-crs_8;125;424
9052;gate-keeper;130;
9063;meat_1;130;
9085;final-crs_4;130;224
9599;gate-keeper;135;
9600;gate-keeper;136;
9601;gate-keeper;137;
9602;gate-keeper;138;
9603;vege_0;136;
9603;vege_1;137;
9603;frui_1;135;
9613;vege_0;138;
9645;final-crs_2;136;531
9649;final-crs_6;137;1065
9651;final-crs_7;135;560
9678;final-crs_0;138;933
10182;gate-keeper;144;
10183;gate-keeper;145;
10184;gate-keeper;146;
10185;gate-keeper;147;
10187;vege_1;144;
10188;vege_0;146;
10196;final-crs_8;144;723
10196;vege_1;147;
10198;meat_0;145;
10206;final-crs_0;146;1609
10237;gate-keeper;148;
10242;vege_0;148;
10250;final-crs_5;147;1380
10252;final-crs_9;145;526
10282;final-crs_1;148;578
10506;gate-keeper;149;
10507;meat_1;149;
10507;gate-keeper;150;
10508;gate-keeper;151;
10509;gate-keeper;152;
10511;final-crs_5;149;543
10512;vege_1;151;
10541;final-crs_1;151;540
10556;meat_1;150;
10564;meat_0;152;
10571;final-crs_2;150;1624
10649;final-crs_8;152;282
10768;gate-keeper;155;
10769;frui_0;155;
10769;gate-keeper;156;
10775;vege_0;156;
10778;final-crs_5;155;242
10815;final-crs_1;156;1534
11049;gate-keeper;159;
11050;gate-keeper;160;
11052;frui_1;159;
11065;final-crs_2;159;596
11068;meat_1;160;
11073;gate-keeper;161;
11074;vege_0;161;
11106;final-crs_7;160;294
11120;final-crs_8;161;229
11190;gate-keeper;162;
11195;vege_0;162;
11211;final-crs_5;162;616
11323;gate-keeper;163;
11324;gate-keeper;164;
11326;vege_0;163;
11337;final-crs_7;163;431
11348;meat_1;164;
11359;final-crs_6;164;838
11610;gate-keeper;167;
11611;gate-keeper;168;
11613;vege_1;167;
11614;vege_0;168;
11647;final-crs_6;167;1086
11648;final-crs_1;168;972
11892;gate-keeper;172;
11898;vege_1;172;
11906;final-crs_1;172;240
12188;gate-keeper;176;
12192;frui_1;176;
12261;final-crs_2;176;813
12468;gate-keeper;180;
12471;vege_0;180;
12487;final-crs_2;180;1028
12746;gate-keeper;184;
12773;meat_1;184;
12774;final-crs_8;184;783
12978;gate-keeper;188;
12980;vege_1;188;
13046;gate-keeper;189;
13054;meat_1;189;
13056;final-crs_6;188;468
13088;final-crs_8;189;819
13350;gate-keeper;192;
13351;gate-keeper;193;
13353;meat_0;192;
13357;vege_1;193;
13374;final-crs_4;192;636
13384;final-crs_9;193;895
13623;gate-keeper;196;
13624;gate-keeper;197;
13630;vege_1;196;
13631;vege_0;197;
13636;final-crs_0;196;853
13644;final-crs_5;197;996
13894;gate-keeper;201;
13898;meat_1;201;
13920;final-crs_5;201;302
14146;gate-keeper;205;
14178;meat_1;205;
14205;final-crs_1;205;576
14214;gate-keeper;206;
14217;frui_1;206;
14220;final-crs_2;206;273
14513;gate-keeper;209;
14514;gate-keeper;210;
14516;vege_0;210;
14526;final-crs_4;210;698
14545;meat_0;209;
14594;final-crs_6;209;977
14807;gate-keeper;214;
14810;vege_1;214;
14849;final-crs_6;214;1028
15041;gate-keeper;218;
15045;vege_0;218;
15062;final-crs_6;218;1165
15323;gate-keeper;222;
15325;vege_1;222;
15328;final-crs_5;222;1382
15544;gate-keeper;223;
15545;gate-keeper;224;
15546;meat_1;223;
15546;gate-keeper;225;
15549;frui_0;225;
15553;final-crs_6;223;993
15572;final-crs_5;225;150
15575;gate-keeper;226;
15602;meat_0;224;
15609;meat_1;226;
15617;final-crs_3;224;723
15620;final-crs_7;226;1335
15852;gate-keeper;227;
15853;gate-keeper;228;
15854;vege_1;227;
15854;gate-keeper;229;
15855;gate-keeper;230;
15858;vege_0;229;
15865;vege_1;230;
15868;final-crs_0;227;88
15882;final-crs_2;229;631
15884;meat_0;228;
15888;final-crs_3;230;796
15895;final-crs_9;228;906
16119;gate-keeper;233;
16120;gate-keeper;234;
16123;vege_1;233;
16130;vege_0;234;
16139;final-crs_1;233;956
16145;final-crs_4;234;269
16301;gate-keeper;235;
16302;gate-keeper;236;
16306;vege_0;235;
16311;vege_1;236;
16336;final-crs_0;235;914
16342;final-crs_7;236;1381
16417;gate-keeper;237;
16418;gate-keeper;238;
16422;vege_0;237;
16425;vege_1;238;
16444;final-crs_8;237;1273
16505;final-crs_6;238;219
16705;gate-keeper;240;
16706;gate-keeper;241;
16707;gate-keeper;242;
16708;vege_0;240;
16708;gate-keeper;243;
16709;vege_1;241;
16718;vege_1;242;
16719;vege_0;243;
16739;final-crs_6;240;158
16771;final-crs_3;241;330
16790;final-crs_5;242;784
16823;final-crs_9;243;211
16943;gate-keeper;244;
16944;vege_0;244;
16944;gate-keeper;245;
16945;gate-keeper;246;
16946;vege_1;246;
16955;final-crs_8;244;476
16962;final-crs_6;246;1194
16968;meat_0;245;
17020;final-crs_3;245;146
17198;gate-keeper;250;
17200;vege_1;250;
17245;gate-keeper;251;
17247;vege_1;251;
17254;final-crs_3;250;1012
17259;final-crs_2;251;941
17610;gate-keeper;253;
17611;gate-keeper;254;
17612;gate-keeper;255;
17613;gate-keeper;256;
17617;vege_1;253;
17618;vege_0;255;
17624;final-crs_1;253;184
17625;meat_0;254;
17626;vege_1;256;
17637;final-crs_6;255;259
17667;final-crs_8;254;983
17692;final-crs_3;256;868
17818;gate-keeper;257;
17819;gate-keeper;258;
17820;vege_1;257;
17820;frui_0;258;
17820;gate-keeper;259;
17823;vege_0;259;
17896;final-crs_1;257;1403
17915;final-crs_6;258;224
17919;final-crs_8;259;805
17928;gate-keeper;260;
17931;frui_1;260;
17947;final-crs_3;260;702
18126;gate-keeper;263;
18132;vege_0;263;
18143;final-crs_8;263;221
18267;gate-keeper;264;
18268;gate-keeper;265;
18270;vege_0;265;
18285;meat_1;264;
18288;final-crs_4;265;1712
18290;final-crs_5;264;157
18890;gate-keeper;282;
18891;gate-keeper;283;
18892;frui_0;283;
18892;gate-keeper;284;
18893;vege_1;282;
18893;gate-keeper;285;
18894;gate-keeper;286;
18895;gate-keeper;287;
18896;vege_0;286;
18896;frui_1;284;
18898;final-crs_3;283;200
18913;meat_1;285;
18924;meat_0;287;
18937;final-crs_0;282;1525
18938;final-crs_2;286;1050
18940;gate-keeper;288;
18960;meat_1;288;
18973;final-crs_5;284;1266
18983;final-crs_9;285;1096
18996;final-crs_4;287;901
19015;final-crs_7;288;632
19202;gate-keeper;292;
19209;meat_1;292;
