time;ckpt;id;money
308;gate-keeper;2;
316;vege_0;2;
442;final-crs_6;2;1068
611;gate-keeper;6;
619;vege_0;6;
643;final-crs_6;6;450
876;gate-keeper;10;
879;vege_0;10;
902;final-crs_6;10;880
1192;gate-keeper;14;
1194;vege_0;14;
1207;final-crs_3;14;121
1506;gate-keeper;18;
1514;vege_1;18;
1582;final-crs_6;18;768
1819;gate-keeper;22;
1825;frui_0;22;
1827;final-crs_6;22;791
2113;gate-keeper;26;
2135;meat_1;26;
2150;final-crs_2;26;1533
2443;gate-keeper;29;
2444;vege_1;29;
2444;gate-keeper;30;
2451;vege_0;30;
2484;final-crs_4;29;344
2494;final-crs_8;30;802
2726;gate-keeper;34;
2730;vege_1;34;
2736;final-crs_8;34;501
2763;gate-keeper;35;
2775;meat_1;35;
2796;final-crs_0;35;655
3073;gate-keeper;38;
3074;gate-keeper;39;
3075;frui_1;38;
3076;frui_0;39;
3094;final-crs_7;38;88
3138;final-crs_1;39;1162
3382;gate-keeper;42;
3383;gate-keeper;43;
3385;meat_1;42;
3389;vege_0;43;
3408;final-crs_1;42;307
3419;final-crs_3;43;312
3721;gate-keeper;47;
3726;vege_0;47;
3762;final-crs_8;47;1029
3804;gate-keeper;49;
3808;vege_1;49;
3819;final-crs_0;49;195
4001;gate-keeper;51;
4024;meat_1;51;
4036;final-crs_0;51;887
4326;gate-keeper;53;
4327;vege_1;53;
4327;gate-keeper;54;
4328;gate-keeper;55;
4329;gate-keeper;56;
4330;vege_0;55;
4332;meat_1;54;
4336;final-crs_3;53;104
4337;vege_1;56;
4356;final-crs_5;55;1437
4373;final-crs_1;54;1008
4375;final-crs_6;56;300
4623;gate-keeper;57;
4624;gate-keeper;58;
4625;vege_0;58;
4625;gate-keeper;59;
4626;vege_1;59;
4670;meat_1;57;
4699;final-crs_8;58;984
4731;final-crs_4;59;83
4775;final-crs_7;57;373
4951;gate-keeper;64;
4954;vege_0;64;
4983;final-crs_9;64;614
5228;gate-keeper;65;
5229;gate-keeper;66;
5230;frui_0;65;
5230;gate-keeper;67;
5234;vege_0;66;
5234;frui_1;67;
5245;final-crs_4;65;681
5250;final-crs_9;66;945
5254;final-crs_7;67;668
5623;gate-keeper;72;
5631;vege_0;72;
5635;final-crs_1;72;506
6172;gate-keeper;76;
6173;gate-keeper;77;
6174;vege_0;76;
6174;gate-keeper;78;
6175;gate-keeper;79;
6176;vege_1;77;
6182;vege_0;78;
6184;final-crs_7;76;340
6186;vege_1;79;
6213;final-crs_4;77;403
6244;final-crs_0;78;390
6251;final-crs_9;79;809
6455;gate-keeper;81;
6456;gate-keeper;82;
6457;vege_1;81;
6457;gate-keeper;83;
6458;frui_1;82;
6462;frui_0;83;
6497;final-crs_2;81;534
6500;final-crs_0;82;507
6500;final-crs_3;83;627
6795;gate-keeper;87;
6796;vege_0;87;
6836;final-crs_1;87;140
7096;gate-keeper;88;
7097;gate-keeper;89;
7098;gate-keeper;90;
7099;gate-keeper;91;
7100;vege_1;88;
7102;frui_0;90;
7105;vege_0;91;
7110;final-crs_7;88;80
7114;meat_0;89;
7126;final-crs_4;90;502
7139;final-crs_0;91;1037
7160;final-crs_3;89;447
7455;gate-keeper;96;
7460;vege_0;96;
7477;final-crs_5;96;663
8635;gate-keeper;108;
8636;gate-keeper;109;
8637;gate-keeper;110;
8638;gate-keeper;111;
8642;frui_0;110;
8643;vege_0;108;
8643;vege_1;109;
8653;vege_1;111;
8664;final-crs_2;110;408
8676;final-crs_0;108;124
8678;final-crs_5;109;652
8684;final-crs_9;111;729
8972;gate-keeper;112;
8973;gate-keeper;113;
8974;gate-keeper;114;
8975;vege_1;112;
8975;gate-keeper;115;
8983;vege_0;113;
8984;vege_1;114;
8992;vege_0;115;
9003;final-crs_6;112;572
9026;final-crs_7;113;182
9050;final-crs_4;114;697
9130;final-crs_2;115;72
9231;gate-keeper;118;
9233;frui_0;118;
9268;final-crs_7;118;326
9396;gate-keeper;120;
9403;vege_1;120;
9408;final-crs_1;120;796
9581;gate-keeper;121;
9582;gate-keeper;122;
9583;gate-keeper;123;
9584;vege_1;122;
9591;vege_0;123;
9597;final-crs_2;122;644
9608;final-crs_3;123;436
9622;meat_0;121;
9638;final-crs_8;121;890
9883;gate-keeper;124;
9884;frui_0;124;
9884;gate-keeper;125;
9885;gate-keeper;126;
9890;vege_1;126;
