time;ckpt;id;money
324;gate-keeper;0;
325;gate-keeper;1;
329;frui_1;0;
330;frui_0;1;
438;final-crs_0;0;2917
455;final-crs_7;1;884
624;gate-keeper;2;
625;gate-keeper;3;
626;vege_0;2;
626;gate-keeper;4;
628;frui_0;4;
630;vege_1;3;
665;final-crs_0;2;1291
680;final-crs_9;4;630
689;final-crs_2;3;2260
813;gate-keeper;5;
817;vege_0;5;
893;gate-keeper;6;
896;frui_0;6;
903;final-crs_0;5;900
927;final-crs_3;6;242
1188;gate-keeper;8;
1192;meat_1;8;
1204;final-crs_2;8;996
1490;gate-keeper;10;
1491;vege_0;10;
1491;gate-keeper;11;
1534;meat_0;11;
1617;final-crs_5;10;1580
1643;final-crs_3;11;1576
1815;gate-keeper;13;
1816;vege_1;13;
1816;gate-keeper;14;
1819;vege_0;14;
1853;final-crs_3;13;2114
1882;final-crs_1;14;2940
2120;gate-keeper;16;
2121;gate-keeper;17;
2122;frui_0;16;
2124;vege_0;17;
2129;final-crs_2;16;2227
2129;final-crs_3;17;1854
2416;gate-keeper;19;
2417;vege_0;19;
2436;final-crs_9;19;1949
2515;gate-keeper;20;
2519;vege_0;20;
2617;final-crs_3;20;1920
2698;gate-keeper;22;
2702;vege_1;22;
2823;final-crs_0;22;297
2976;gate-keeper;24;
2977;vege_1;24;
3072;final-crs_0;24;1584
3536;gate-keeper;29;
3537;frui_0;29;
3580;final-crs_8;29;1732
4189;gate-keeper;35;
4195;frui_0;35;
4240;final-crs_0;35;2010
4469;gate-keeper;37;
4473;vege_1;37;
4478;final-crs_0;37;1388
4808;gate-keeper;40;
4814;vege_1;40;
4832;final-crs_2;40;1755
5302;gate-keeper;43;
5303;vege_1;43;
5303;gate-keeper;44;
5306;final-crs_7;43;1939
5309;vege_0;44;
5311;final-crs_2;44;854
6132;gate-keeper;50;
6133;frui_1;50;
6133;gate-keeper;51;
6134;vege_1;51;
6169;final-crs_1;50;874
6201;final-crs_4;51;2007
6277;gate-keeper;52;
6279;vege_0;52;
6299;final-crs_6;52;983
6666;gate-keeper;54;
6667;gate-keeper;55;
6671;vege_1;54;
6673;final-crs_1;54;2600
6674;vege_0;55;
6682;final-crs_8;55;2778
6933;gate-keeper;56;
6934;vege_0;56;
6934;gate-keeper;57;
6943;vege_0;57;
6961;final-crs_8;56;3193
6976;final-crs_7;57;955
7337;gate-keeper;60;
7338;vege_1;60;
7350;final-crs_3;60;79
7502;gate-keeper;62;
7509;vege_0;62;
7550;final-crs_2;62;2103
7654;gate-keeper;63;
7657;frui_0;63;
7669;final-crs_6;63;2280
7826;gate-keeper;64;
7827;frui_0;64;
7827;gate-keeper;65;
7829;final-crs_1;64;2272
7832;vege_0;65;
7858;final-crs_9;65;1424
8805;gate-keeper;72;
8806;gate-keeper;73;
8808;vege_0;73;
8808;frui_1;72;
8820;final-crs_6;73;1846
8820;final-crs_8;72;1750
9661;gate-keeper;80;
9666;vege_1;80;
9668;final-crs_7;80;3902
9886;gate-keeper;82;
9890;vege_0;82;
9908;final-crs_0;82;253
10170;gate-keeper;84;
10173;frui_0;84;
10183;final-crs_0;84;2318
10469;gate-keeper;86;
10470;gate-keeper;87;
10472;frui_0;86;
10475;frui_1;87;
10476;final-crs_9;86;565
10507;final-crs_4;87;699
10910;gate-keeper;90;
10913;vege_1;90;
10919;final-crs_6;90;342
11428;gate-keeper;95;
11431;vege_0;95;
11437;final-crs_8;95;433
12034;gate-keeper;101;
12036;frui_1;101;
12049;final-crs_7;101;171
12318;gate-keeper;103;
12320;frui_0;103;
12321;final-crs_6;103;590
12632;gate-keeper;105;
12633;gate-keeper;106;
12640;vege_0;105;
12640;vege_1;106;
12643;final-crs_9;105;904
12659;final-crs_0;106;231
12978;gate-keeper;108;
12979;gate-keeper;109;
12988;vege_0;109;
12988;meat_1;108;
12997;final-crs_1;109;1259
13025;final-crs_8;108;2674
13163;gate-keeper;110;
13164;frui_0;110;
13180;final-crs_0;110;1797
13291;gate-keeper;111;
13293;frui_1;111;
13318;final-crs_7;111;3162
13578;gate-keeper;113;
13579;gate-keeper;114;
13581;vege_0;113;
13587;vege_1;114;
13589;final-crs_0;113;1152
13640;final-crs_3;114;1232
13929;gate-keeper;115;
13930;gate-keeper;116;
13931;gate-keeper;117;
13932;vege_0;115;
13933;vege_1;116;
13936;final-crs_6;115;3131
13942;vege_0;117;
14001;final-crs_2;116;1644
14025;final-crs_1;117;471
14049;gate-keeper;118;
14067;meat_0;118;
14116;final-crs_8;118;839
14563;gate-keeper;123;
14587;meat_0;123;
14642;final-crs_3;123;1287
14927;gate-keeper;126;
14929;vege_1;126;
14941;final-crs_5;126;1501
15226;gate-keeper;128;
15227;gate-keeper;129;
15228;vege_1;129;
15230;frui_1;128;
15272;final-crs_8;129;2370
15319;final-crs_7;128;1167
16429;gate-keeper;139;
16430;gate-keeper;140;
16431;gate-keeper;141;
16432;vege_0;140;
16432;vege_1;141;
16432;frui_1;139;
16432;gate-keeper;142;
16433;frui_0;142;
16433;gate-keeper;143;
16434;gate-keeper;144;
16435;gate-keeper;145;
16438;frui_0;144;
16440;vege_1;143;
16443;vege_0;145;
16449;final-crs_2;140;1923
16453;final-crs_7;141;1860
16527;final-crs_0;139;3148
16540;final-crs_4;142;435
16562;final-crs_3;144;378
16565;final-crs_9;143;1978
16587;final-crs_8;145;2842
16766;gate-keeper;149;
16767;frui_1;149;
16769;final-crs_8;149;1941
17097;gate-keeper;152;
17102;vege_1;152;
17108;final-crs_2;152;3724
17388;gate-keeper;155;
17419;meat_0;155;
17448;final-crs_9;155;3753
17660;gate-keeper;157;
17667;vege_1;157;
17711;final-crs_9;157;1756
17951;gate-keeper;159;
17959;vege_1;159;
17977;final-crs_8;159;528
18257;gate-keeper;162;
18259;vege_0;162;
18261;final-crs_7;162;3128
18560;gate-keeper;165;
18574;meat_1;165;
18582;final-crs_3;165;1101
18653;gate-keeper;166;
18654;frui_1;166;
18661;final-crs_9;166;458
19438;gate-keeper;172;
19439;vege_0;172;
19439;gate-keeper;173;
19440;gate-keeper;174;
19441;gate-keeper;175;
19442;gate-keeper;176;
19443;gate-keeper;177;
19444;gate-keeper;178;
19446;vege_1;173;
19449;vege_0;174;
19455;vege_1;175;
19460;vege_0;176;
19463;vege_1;177;
19493;meat_1;178;
19506;final-crs_6;172;224
19529;final-crs_2;173;3424
19549;final-crs_1;174;879
19562;final-crs_3;175;909
19566;final-crs_5;176;1272
19572;final-crs_4;177;521
19573;final-crs_8;178;3901
20337;gate-keeper;186;
20338;gate-keeper;187;
20339;gate-keeper;188;
20344;vege_1;187;
20345;vege_0;188;
20367;final-crs_0;187;436
20387;meat_0;186;
20424;final-crs_7;188;2171
20429;final-crs_5;186;969
20640;gate-keeper;196;
20641;gate-keeper;197;
20642;gate-keeper;198;
20643;gate-keeper;199;
20644;gate-keeper;200;
20645;frui_0;197;
20645;gate-keeper;201;
20646;gate-keeper;202;
20647;vege_0;196;
20647;frui_1;201;
20649;vege_1;198;
20657;vege_0;199;
20659;final-crs_4;197;1231
20659;vege_1;200;
20670;final-crs_1;196;613
20671;meat_0;202;
20680;final-crs_5;201;1170
20702;final-crs_6;198;481
20770;final-crs_3;199;3186
20788;final-crs_8;200;1392
20795;final-crs_0;202;816
21007;gate-keeper;216;
21008;gate-keeper;217;
21009;gate-keeper;218;
21014;vege_1;216;
21016;final-crs_2;216;3355
21016;frui_0;218;
21017;vege_0;217;
21033;final-crs_0;218;2076
21043;final-crs_8;217;2065
21226;gate-keeper;226;
21227;vege_1;226;
21227;gate-keeper;227;
21228;vege_0;227;
21235;final-crs_2;226;2037
21267;gate-keeper;228;
21276;vege_0;228;
21299;final-crs_0;227;405
21351;final-crs_9;228;497
21861;gate-keeper;233;
21862;gate-keeper;234;
21863;frui_1;234;
21863;gate-keeper;235;
21864;gate-keeper;236;
21865;gate-keeper;237;
21866;vege_0;233;
21866;gate-keeper;238;
21867;gate-keeper;239;
21869;vege_1;235;
21874;final-crs_9;234;756
21876;vege_0;236;
21876;vege_1;237;
21883;final-crs_5;233;986
21885;vege_0;238;
21886;vege_1;239;
21905;final-crs_4;235;155
21935;final-crs_3;236;1666
21956;final-crs_6;237;548
21975;final-crs_2;238;1357
22012;final-crs_8;239;3216
22045;gate-keeper;240;
22046;gate-keeper;241;
22047;gate-keeper;242;
22048;gate-keeper;243;
22049;frui_0;241;
22049;gate-keeper;244;
22050;gate-keeper;245;
22051;gate-keeper;246;
22052;frui_1;245;
22054;vege_1;240;
22055;vege_0;242;
22055;frui_0;246;
22062;vege_1;243;
22065;vege_0;244;
22105;final-crs_1;241;1094
22133;final-crs_5;245;287
22143;final-crs_9;240;1417
22167;final-crs_4;242;2226
22189;gate-keeper;251;
22203;final-crs_3;246;2003
22204;final-crs_2;243;839
22205;final-crs_6;244;1735
22244;meat_1;251;
22247;final-crs_0;251;1530
22487;gate-keeper;254;
22489;meat_1;254;
22494;final-crs_0;254;87
22821;gate-keeper;257;
22825;vege_0;257;
22852;final-crs_4;257;2004
23162;gate-keeper;260;
23167;frui_1;260;
23184;final-crs_2;260;2469
23710;gate-keeper;265;
23716;vege_1;265;
23732;final-crs_8;265;822
24057;gate-keeper;268;
24058;gate-keeper;269;
24059;gate-keeper;270;
24060;frui_0;269;
24060;gate-keeper;271;
24061;meat_1;268;
24061;gate-keeper;272;
24062;vege_1;270;
24062;gate-keeper;273;
24063;gate-keeper;274;
24067;vege_0;271;
24071;final-crs_6;269;670
24072;vege_1;272;
24078;vege_0;273;
24083;vege_1;274;
24172;final-crs_3;268;1906
24185;final-crs_0;270;1296
24201;final-crs_8;271;312
24204;final-crs_7;272;1441
24221;final-crs_2;273;815
24265;final-crs_1;274;151
24356;gate-keeper;278;
24357;vege_0;278;
24357;gate-keeper;279;
24358;gate-keeper;280;
24359;frui_1;280;
24359;gate-keeper;281;
24360;gate-keeper;282;
24361;frui_0;282;
24361;gate-keeper;283;
24362;gate-keeper;284;
24366;vege_1;279;
24369;vege_0;284;
24407;meat_0;281;
24419;meat_1;283;
24422;final-crs_7;278;559
24430;final-crs_0;280;218
24437;final-crs_8;282;1755
24444;final-crs_3;279;2231
24490;gate-keeper;285;
24491;gate-keeper;286;
24492;gate-keeper;287;
24493;vege_0;285;
24495;vege_1;286;
24501;vege_0;287;
24502;final-crs_9;284;1494
24503;final-crs_2;281;2175
24504;final-crs_1;283;1300
24548;final-crs_4;285;721
24567;final-crs_6;286;982
24576;final-crs_5;287;2851
24916;gate-keeper;289;
24917;gate-keeper;290;
24918;frui_0;289;
24918;gate-keeper;291;
24923;vege_0;290;
24950;meat_1;291;
24951;final-crs_7;289;2891
24956;final-crs_8;290;2076
24997;final-crs_9;291;2540
25200;gate-keeper;293;
25201;gate-keeper;294;
25207;vege_0;293;
25207;vege_1;294;
25222;final-crs_9;293;414
25259;final-crs_2;294;627
25457;gate-keeper;295;
25458;gate-keeper;296;
25463;vege_1;295;
25467;vege_0;296;
25502;final-crs_2;295;409
25511;final-crs_1;296;347
25761;gate-keeper;297;
25762;gate-keeper;298;
25763;gate-keeper;299;
25766;vege_0;297;
25771;vege_1;298;
25775;vege_0;299;
25823;final-crs_6;297;3449
25843;final-crs_0;298;1155
25859;final-crs_4;299;2314
25912;gate-keeper;300;
25915;vege_0;300;
25964;final-crs_1;300;388
26085;gate-keeper;301;
26094;vege_0;301;
26110;final-crs_0;301;2009
26244;gate-keeper;302;
26245;gate-keeper;303;
26250;vege_1;302;
26252;final-crs_2;302;774
26253;vege_0;303;
26306;final-crs_8;303;871
26401;gate-keeper;304;
26406;vege_1;304;
26413;final-crs_0;304;829
27103;gate-keeper;310;
27105;vege_1;310;
27114;final-crs_1;310;1209
27212;gate-keeper;311;
27214;meat_1;311;
27250;final-crs_4;311;648
27435;gate-keeper;313;
27463;meat_0;313;
27513;final-crs_2;313;80
28061;gate-keeper;317;
28062;gate-keeper;318;
28063;vege_1;317;
28064;final-crs_7;317;3134
28070;vege_0;318;
28092;final-crs_3;318;154
28199;gate-keeper;319;
28202;vege_1;319;
28211;final-crs_8;319;1018
28356;gate-keeper;320;
28358;frui_0;320;
28420;final-crs_8;320;640
29148;gate-keeper;327;
29163;meat_0;327;
29217;final-crs_2;327;1511
29471;gate-keeper;330;
29475;frui_0;330;
29476;final-crs_9;330;2130
29758;gate-keeper;332;
29762;vege_1;332;
29817;final-crs_8;332;1546
30098;gate-keeper;335;
30099;vege_0;335;
30118;final-crs_2;335;115
30429;gate-keeper;337;
30430;gate-keeper;338;
30434;vege_0;337;
30438;vege_1;338;
30440;final-crs_0;337;2973
30443;final-crs_9;338;61
30771;gate-keeper;340;
30772;gate-keeper;341;
30778;vege_0;340;
30778;vege_1;341;
30790;final-crs_5;340;2751
30794;final-crs_8;341;1670
31012;gate-keeper;343;
31016;frui_0;343;
31017;final-crs_7;343;1390
31169;gate-keeper;344;
31171;vege_0;344;
31210;final-crs_4;344;1529
31665;gate-keeper;348;
31666;vege_1;348;
31703;final-crs_4;348;1163
31923;gate-keeper;350;
31924;gate-keeper;351;
31959;meat_0;350;
31965;final-crs_2;350;1162
31965;meat_1;351;
31971;final-crs_3;351;1331
32155;gate-keeper;353;
32159;vege_1;353;
32167;final-crs_0;353;1362
32270;gate-keeper;354;
32272;vege_0;354;
32321;final-crs_9;354;749
32619;gate-keeper;355;
32620;frui_1;355;
32620;gate-keeper;356;
32621;gate-keeper;357;
32623;vege_0;356;
32628;vege_1;357;
32630;final-crs_0;355;1857
32670;final-crs_8;356;1251
32671;final-crs_6;357;488
32920;gate-keeper;358;
32921;gate-keeper;359;
32925;frui_0;359;
32929;meat_0;358;
32980;final-crs_4;359;569
32983;final-crs_3;358;854
33063;gate-keeper;360;
33064;vege_1;360;
33095;final-crs_9;360;1649
33802;gate-keeper;365;
33803;frui_1;365;
33803;gate-keeper;366;
33804;gate-keeper;367;
33813;vege_0;366;
33814;vege_1;367;
33826;final-crs_8;365;173
33870;final-crs_6;366;906
33872;final-crs_1;367;2005
34167;gate-keeper;370;
34168;vege_0;370;
34177;final-crs_3;370;986
34754;gate-keeper;375;
34777;meat_1;375;
34789;final-crs_6;375;954
35662;gate-keeper;383;
35668;vege_1;383;
35691;final-crs_1;383;3284
35863;gate-keeper;384;
35864;gate-keeper;385;
35868;vege_0;384;
35873;vege_1;385;
35884;final-crs_8;384;2341
35916;final-crs_1;385;2323
36807;gate-keeper;392;
36808;gate-keeper;393;
36811;frui_1;392;
36812;frui_0;393;
36846;final-crs_5;392;433
36855;final-crs_9;393;2314
37126;gate-keeper;394;
37127;frui_1;394;
37127;gate-keeper;395;
37128;gate-keeper;396;
37130;frui_0;396;
37133;vege_0;395;
37153;final-crs_3;394;1354
37186;final-crs_2;396;3281
