time;ckpt;id;money
294;gate-keeper;0;
296;vege_0;0;
451;final-crs_3;0;556
601;gate-keeper;1;
604;frui_0;1;
673;final-crs_3;1;190
827;gate-keeper;2;
828;gate-keeper;3;
832;frui_0;2;
853;meat_1;3;
905;final-crs_2;2;188
914;final-crs_3;3;762
1141;gate-keeper;4;
1143;frui_0;4;
1149;final-crs_2;4;222
1408;gate-keeper;5;
1409;gate-keeper;6;
1411;vege_1;5;
1417;vege_0;6;
1420;final-crs_8;5;1682
1440;final-crs_1;6;314
1739;gate-keeper;7;
1743;vege_1;7;
1748;final-crs_4;7;158
1944;gate-keeper;8;
1945;vege_0;8;
1964;final-crs_5;8;780
2047;gate-keeper;9;
2053;meat_1;9;
2057;final-crs_6;9;1562
2309;gate-keeper;10;
2314;vege_0;10;
2315;final-crs_6;10;1083
2592;gate-keeper;11;
2593;gate-keeper;12;
2594;vege_0;12;
2615;final-crs_8;12;1072
2651;meat_0;11;
2654;final-crs_0;11;582
2874;gate-keeper;13;
2875;gate-keeper;14;
2876;frui_1;14;
2885;final-crs_7;14;1341
2918;meat_1;13;
2973;final-crs_4;13;728
3203;gate-keeper;15;
3209;frui_0;15;
3242;final-crs_5;15;344
3554;gate-keeper;16;
3555;gate-keeper;17;
3556;vege_1;16;
3570;meat_0;17;
3573;final-crs_1;16;455
3613;final-crs_7;17;620
3730;gate-keeper;18;
3732;vege_1;18;
3754;final-crs_2;18;1617
3804;gate-keeper;19;
3806;vege_1;19;
3902;final-crs_7;19;637
4089;gate-keeper;20;
4091;frui_1;20;
4160;final-crs_7;20;501
4171;gate-keeper;21;
4174;frui_0;21;
4200;final-crs_5;21;1914
4464;gate-keeper;22;
4465;vege_0;22;
4472;final-crs_6;22;875
4772;gate-keeper;23;
4773;gate-keeper;24;
4779;vege_0;24;
4780;meat_1;23;
4792;final-crs_0;24;578
4796;final-crs_1;23;901
5093;gate-keeper;25;
5094;gate-keeper;26;
5095;frui_1;25;
5102;final-crs_4;25;750
5119;meat_1;26;
5140;final-crs_6;26;1329
5281;gate-keeper;27;
5282;frui_1;27;
5303;final-crs_1;27;1132
5697;gate-keeper;28;
5698;gate-keeper;29;
5706;vege_0;28;
5706;vege_1;29;
5731;final-crs_8;28;677
5742;final-crs_0;29;455
5985;gate-keeper;30;
5986;vege_0;30;
5986;gate-keeper;31;
5993;vege_1;31;
6012;final-crs_2;30;230
6014;final-crs_1;31;1613
6163;gate-keeper;32;
6164;frui_0;32;
6185;final-crs_0;32;981
6648;gate-keeper;33;
6649;gate-keeper;34;
6650;vege_1;34;
6652;frui_0;33;
6682;final-crs_8;34;757
6698;final-crs_2;33;433
6934;gate-keeper;35;
6941;vege_1;35;
6963;final-crs_7;35;1552
7044;gate-keeper;36;
7047;frui_1;36;
7050;final-crs_6;36;70
7255;gate-keeper;37;
7257;frui_0;37;
7272;final-crs_1;37;384
7535;gate-keeper;38;
7536;vege_0;38;
7536;gate-keeper;39;
7540;frui_0;39;
7548;final-crs_6;38;496
7591;final-crs_7;39;225
7865;gate-keeper;40;
7866;vege_0;40;
7914;final-crs_5;40;1267
8107;gate-keeper;41;
8108;gate-keeper;42;
8134;meat_1;41;
8156;meat_0;42;
8173;final-crs_5;41;437
8191;final-crs_0;42;542
8374;gate-keeper;43;
8377;frui_1;43;
8439;final-crs_4;43;355
8680;gate-keeper;44;
8681;gate-keeper;45;
8682;frui_0;45;
8692;final-crs_4;45;371
8714;meat_1;44;
8719;final-crs_0;44;492
8974;gate-keeper;46;
8977;meat_1;46;
8995;final-crs_6;46;1580
9299;gate-keeper;47;
9300;vege_0;47;
9300;gate-keeper;48;
9303;vege_1;48;
9335;final-crs_8;47;1441
9355;final-crs_7;48;147
9545;gate-keeper;49;
9546;gate-keeper;50;
9550;vege_0;50;
9550;frui_1;49;
9636;final-crs_4;50;434
9636;final-crs_7;49;514
9709;gate-keeper;51;
9716;vege_1;51;
9738;final-crs_8;51;1792
10133;gate-keeper;52;
