time;ckpt;id;money
288;gate-keeper;0;
289;gate-keeper;1;
292;vege_1;0;
297;meat_0;1;
429;final-crs_5;0;530
444;final-crs_0;1;875
520;gate-keeper;2;
543;meat_0;2;
657;final-crs_5;2;1185
794;gate-keeper;3;
795;gate-keeper;4;
796;gate-keeper;5;
800;vege_0;3;
800;frui_1;5;
801;vege_1;4;
859;final-crs_5;3;1542
897;final-crs_4;5;139
901;final-crs_0;4;658
938;gate-keeper;6;
942;frui_1;6;
959;final-crs_2;6;1702
1079;gate-keeper;7;
1080;vege_0;7;
1109;final-crs_5;7;181
1415;gate-keeper;8;
1416;gate-keeper;9;
1417;gate-keeper;10;
1420;vege_0;10;
1421;frui_0;8;
1422;frui_1;9;
1431;final-crs_1;10;636
1442;final-crs_8;8;1555
1450;final-crs_3;9;670
1721;gate-keeper;11;
1722;gate-keeper;12;
1723;vege_0;11;
1728;frui_0;12;
1814;final-crs_4;11;290
1822;final-crs_5;12;171
1963;gate-keeper;13;
1964;gate-keeper;14;
1965;frui_0;13;
1965;frui_1;14;
1992;final-crs_3;13;68
2044;final-crs_4;14;2267
2293;gate-keeper;15;
2294;gate-keeper;16;
2295;gate-keeper;17;
2296;frui_0;15;
2298;frui_1;17;
2300;vege_0;16;
2305;final-crs_5;15;360
2313;final-crs_1;17;884
2377;final-crs_7;16;310
2595;gate-keeper;18;
2596;gate-keeper;19;
2599;frui_1;19;
2603;final-crs_7;19;1135
2609;meat_0;18;
2632;final-crs_8;18;841
2681;gate-keeper;20;
2688;vege_0;20;
2710;final-crs_4;20;620
2912;gate-keeper;21;
2913;frui_1;21;
2913;gate-keeper;22;
2919;vege_1;22;
2930;final-crs_4;21;522
2937;final-crs_0;22;683
3228;gate-keeper;23;
3229;gate-keeper;24;
3233;frui_0;24;
3234;vege_0;23;
3260;final-crs_2;24;1214
3290;final-crs_1;23;107
3535;gate-keeper;25;
3536;gate-keeper;26;
3537;gate-keeper;27;
3538;frui_1;26;
3540;vege_0;27;
3550;meat_0;25;
3554;final-crs_3;26;734
3571;final-crs_6;27;764
3597;final-crs_8;25;795
3821;gate-keeper;28;
3822;gate-keeper;29;
3824;vege_0;28;
3828;vege_1;29;
3829;final-crs_8;28;720
3900;final-crs_4;29;1505
4131;gate-keeper;30;
4132;gate-keeper;31;
4133;gate-keeper;32;
4136;frui_0;32;
4139;vege_1;30;
4154;meat_1;31;
4169;final-crs_0;32;595
4193;final-crs_8;30;2869
4206;final-crs_7;31;654
4380;gate-keeper;33;
4383;frui_1;33;
4427;final-crs_7;33;591
4537;gate-keeper;34;
4538;gate-keeper;35;
4541;vege_0;34;
4541;vege_1;35;
4549;final-crs_5;34;948
4554;final-crs_4;35;797
4698;gate-keeper;36;
4699;frui_0;36;
4738;final-crs_2;36;1870
5060;gate-keeper;37;
5061;frui_1;37;
5061;gate-keeper;38;
5062;gate-keeper;39;
5071;vege_0;38;
5071;vege_1;39;
5124;final-crs_3;37;557
5132;final-crs_0;38;724
5141;final-crs_8;39;1077
5378;gate-keeper;40;
5379;gate-keeper;41;
5380;vege_1;40;
5380;gate-keeper;42;
5381;final-crs_8;40;723
5383;vege_0;41;
5385;frui_0;42;
5430;final-crs_7;41;1110
5454;final-crs_1;42;262
5573;gate-keeper;43;
5577;frui_0;43;
5604;final-crs_8;43;238
5722;gate-keeper;44;
5723;gate-keeper;45;
5726;frui_1;45;
5729;final-crs_2;45;1546
5731;vege_0;44;
5750;final-crs_6;44;331
6010;gate-keeper;46;
6011;gate-keeper;47;
6014;frui_0;47;
6014;meat_0;46;
6032;final-crs_0;47;455
6072;final-crs_4;46;1797
6308;gate-keeper;48;
6309;gate-keeper;49;
6310;gate-keeper;50;
6311;vege_1;48;
6311;frui_0;50;
6345;final-crs_3;48;1403
6356;meat_1;49;
6364;final-crs_4;50;356
6390;final-crs_8;49;2042
6580;gate-keeper;51;
6581;gate-keeper;52;
6582;frui_0;51;
6585;final-crs_3;51;875
6586;frui_1;52;
6605;final-crs_4;52;1030
6913;gate-keeper;53;
6914;vege_1;53;
6914;gate-keeper;54;
6915;gate-keeper;55;
6916;frui_1;55;
6917;vege_0;54;
6919;final-crs_8;53;502
6937;final-crs_6;55;1546
6939;final-crs_1;54;1054
7199;gate-keeper;56;
7200;gate-keeper;57;
7207;vege_1;56;
7208;vege_0;57;
7231;final-crs_3;56;613
7251;final-crs_0;57;1523
7343;gate-keeper;58;
7348;vege_0;58;
7358;final-crs_4;58;403
7503;gate-keeper;59;
7504;gate-keeper;60;
7514;meat_1;59;
7522;meat_0;60;
7552;final-crs_4;59;641
7591;final-crs_2;60;572
7715;gate-keeper;61;
7716;gate-keeper;62;
7722;vege_1;61;
7723;final-crs_3;61;945
7723;vege_0;62;
7726;final-crs_0;62;599
8128;gate-keeper;63;
8129;frui_1;63;
8129;gate-keeper;64;
8130;gate-keeper;65;
8137;vege_0;64;
8148;final-crs_7;63;1056
8149;final-crs_1;64;780
8166;meat_0;65;
8183;final-crs_6;65;714
8277;gate-keeper;66;
8286;vege_0;66;
8324;final-crs_2;66;598
8437;gate-keeper;67;
8443;frui_0;67;
8466;final-crs_0;67;895
8799;gate-keeper;68;
8800;gate-keeper;69;
8801;frui_1;68;
8801;gate-keeper;70;
8802;vege_0;69;
8803;final-crs_6;68;323
8805;frui_0;70;
8826;final-crs_1;69;355
8835;final-crs_7;70;477
9111;gate-keeper;71;
9112;gate-keeper;72;
9113;frui_1;71;
9113;gate-keeper;73;
9115;frui_0;73;
9121;final-crs_3;71;586
9138;meat_0;72;
9164;final-crs_5;73;947
9184;final-crs_4;72;690
9406;gate-keeper;74;
9407;gate-keeper;75;
9413;vege_1;74;
9416;vege_0;75;
9442;final-crs_4;74;614
9512;final-crs_8;75;1760
9694;gate-keeper;76;
9695;gate-keeper;77;
9696;gate-keeper;78;
9700;frui_0;77;
9701;vege_0;78;
9722;final-crs_4;77;521
9734;meat_0;76;
9766;final-crs_8;78;64
9798;final-crs_1;76;1142
9839;gate-keeper;79;
9843;frui_0;79;
9848;final-crs_6;79;1299
9995;gate-keeper;80;
10001;frui_0;80;
10008;final-crs_1;80;507
10249;gate-keeper;81;
10250;gate-keeper;82;
10253;vege_0;81;
10253;frui_1;82;
10286;final-crs_6;81;715
10307;final-crs_5;82;140
10537;gate-keeper;83;
10538;gate-keeper;84;
10539;frui_0;84;
10539;gate-keeper;85;
10542;frui_1;85;
10543;final-crs_2;84;299
10549;meat_0;83;
10550;final-crs_3;85;233
10620;final-crs_7;83;587
10666;gate-keeper;86;
10668;meat_0;86;
10713;final-crs_4;86;1090
10761;gate-keeper;87;
10772;meat_0;87;
10774;final-crs_6;87;83
11107;gate-keeper;88;
11108;gate-keeper;89;
11109;frui_0;89;
11110;vege_1;88;
11165;final-crs_4;89;1128
11190;final-crs_6;88;1578
11420;gate-keeper;90;
11421;gate-keeper;91;
11422;gate-keeper;92;
11423;frui_1;90;
11429;vege_0;92;
11431;final-crs_6;90;1809
11450;final-crs_8;92;904
11456;meat_1;91;
11516;final-crs_2;91;631
11679;gate-keeper;93;
11680;vege_1;93;
11680;gate-keeper;94;
11690;final-crs_8;93;1359
11711;meat_1;94;
11742;final-crs_3;94;92
11964;gate-keeper;95;
11965;gate-keeper;96;
11966;gate-keeper;97;
11967;frui_1;97;
11972;vege_0;95;
11979;final-crs_3;97;769
11986;meat_1;96;
12023;final-crs_2;95;1008
12047;final-crs_7;96;746
12272;gate-keeper;98;
12273;gate-keeper;99;
12276;vege_0;99;
12294;meat_1;98;
12322;final-crs_6;99;936
12324;final-crs_4;98;68
12502;gate-keeper;100;
12503;gate-keeper;101;
12505;frui_0;100;
12505;meat_0;101;
12546;final-crs_4;100;1542
12567;final-crs_6;101;731
12626;gate-keeper;102;
12627;vege_0;102;
12648;final-crs_8;102;1445
12766;gate-keeper;103;
12770;vege_1;103;
12796;final-crs_7;103;191
13039;gate-keeper;104;
13040;gate-keeper;105;
13042;vege_1;104;
13043;frui_1;105;
13076;final-crs_6;104;473
13110;final-crs_8;105;444
13352;gate-keeper;106;
13353;frui_1;106;
13353;gate-keeper;107;
13354;vege_1;107;
13354;gate-keeper;108;
13368;meat_0;108;
13382;final-crs_0;106;735
13414;final-crs_3;107;994
13414;final-crs_5;108;1114
13601;gate-keeper;109;
13602;gate-keeper;110;
13604;frui_1;109;
13605;final-crs_0;109;2188
13613;meat_0;110;
13641;final-crs_3;110;889
13904;gate-keeper;111;
13905;gate-keeper;112;
13906;gate-keeper;113;
13911;vege_1;111;
13914;vege_0;112;
13917;final-crs_4;111;1016
13921;vege_1;113;
13952;final-crs_1;112;734
13988;final-crs_7;113;1300
14176;gate-keeper;114;
14177;gate-keeper;115;
14178;vege_1;114;
14186;vege_0;115;
14203;final-crs_8;114;216
14214;final-crs_1;115;860
14454;gate-keeper;116;
14455;gate-keeper;117;
14456;vege_0;117;
14467;meat_0;116;
14506;final-crs_2;117;207
14526;gate-keeper;118;
14527;final-crs_6;116;213
14530;frui_1;118;
14539;final-crs_3;118;442
14861;gate-keeper;119;
14862;gate-keeper;120;
14915;meat_0;119;
14921;meat_1;120;
14969;final-crs_3;119;133
14982;final-crs_2;120;1145
15178;gate-keeper;121;
15179;gate-keeper;122;
15180;gate-keeper;123;
15186;vege_0;121;
15194;final-crs_3;121;759
15212;meat_0;122;
15225;meat_1;123;
15238;final-crs_6;122;2240
15241;final-crs_7;123;1012
15538;gate-keeper;124;
15539;gate-keeper;125;
15540;gate-keeper;126;
15541;frui_1;124;
15543;frui_0;125;
15562;final-crs_4;124;398
15569;meat_1;126;
15577;final-crs_8;125;2009
15598;final-crs_1;126;1830
15796;gate-keeper;127;
15797;gate-keeper;128;
15802;frui_0;127;
15802;frui_1;128;
