time;ckpt;id;money
245;gate-keeper;0;
246;gate-keeper;1;
247;gate-keeper;2;
248;vege_0;0;
248;gate-keeper;3;
249;gate-keeper;4;
251;vege_1;1;
251;frui_0;2;
253;final-crs_11;0;1241
256;vege_0;3;
262;vege_1;4;
276;final-crs_6;1;1011
283;final-crs_9;2;2534
408;final-crs_2;3;2939
442;final-crs_11;4;3054
528;gate-keeper;6;
529;gate-keeper;7;
530;gate-keeper;8;
531;frui_1;7;
531;gate-keeper;9;
532;gate-keeper;10;
537;vege_0;8;
537;vege_1;10;
573;meat_0;6;
584;meat_1;9;
655;final-crs_2;7;1545
677;final-crs_3;8;2202
691;final-crs_4;10;1353
692;final-crs_11;6;558
702;final-crs_1;9;3731
860;gate-keeper;15;
861;gate-keeper;16;
862;vege_1;15;
864;vege_0;16;
893;gate-keeper;17;
902;final-crs_2;15;216
909;final-crs_4;16;4004
938;meat_0;17;
959;final-crs_1;17;738
1172;gate-keeper;19;
1173;gate-keeper;20;
1174;gate-keeper;21;
1175;gate-keeper;22;
1176;gate-keeper;23;
1177;vege_0;19;
1177;vege_1;21;
1185;vege_1;22;
1186;vege_0;23;
1209;meat_0;20;
1215;final-crs_6;19;815
1217;final-crs_1;21;147
1222;final-crs_11;22;2176
1242;final-crs_10;23;3919
1244;final-crs_0;20;2447
1475;gate-keeper;27;
1476;frui_0;27;
1476;gate-keeper;28;
1477;gate-keeper;29;
1478;vege_1;28;
1479;vege_0;29;
1494;final-crs_9;27;2967
1509;final-crs_8;28;270
1517;final-crs_0;29;2142
1707;gate-keeper;34;
1708;frui_0;34;
1718;final-crs_0;34;831
1788;gate-keeper;35;
1790;vege_1;35;
1860;final-crs_3;35;3439
2069;gate-keeper;40;
2070;gate-keeper;41;
2071;vege_1;40;
2078;final-crs_2;40;1672
2079;vege_0;41;
2085;final-crs_1;41;1086
2327;gate-keeper;45;
2328;gate-keeper;46;
2329;gate-keeper;47;
2331;vege_0;45;
2334;vege_1;46;
2340;vege_0;47;
2356;final-crs_3;45;1185
2360;final-crs_7;46;488
2371;final-crs_1;47;247
2638;gate-keeper;53;
2639;gate-keeper;54;
2643;vege_0;53;
2646;vege_1;54;
2654;final-crs_4;53;2615
2713;final-crs_11;54;2054
2941;gate-keeper;57;
2942;gate-keeper;58;
2943;gate-keeper;59;
2944;vege_1;58;
2944;gate-keeper;60;
2951;final-crs_11;58;388
2951;vege_0;59;
2952;vege_1;60;
2956;final-crs_9;59;3003
2976;meat_1;57;
2980;final-crs_10;60;3331
2982;final-crs_0;57;2764
3249;gate-keeper;64;
3250;gate-keeper;65;
3251;gate-keeper;66;
3252;frui_1;65;
3255;vege_0;66;
3280;meat_1;64;
3305;final-crs_1;65;470
3312;final-crs_3;66;3819
3353;final-crs_4;64;1416
3530;gate-keeper;70;
3531;gate-keeper;71;
3532;gate-keeper;72;
3533;vege_1;70;
3535;frui_1;71;
3537;vege_0;72;
3545;final-crs_1;70;1130
3587;final-crs_4;71;858
3602;final-crs_5;72;2133
3674;gate-keeper;74;
3675;gate-keeper;75;
3677;frui_1;75;
3686;meat_0;74;
3690;final-crs_0;75;3577
3692;final-crs_7;74;5730
3802;gate-keeper;76;
3803;gate-keeper;77;
3804;vege_1;76;
3804;gate-keeper;78;
3805;final-crs_4;76;1988
3806;frui_1;78;
3808;vege_0;77;
3826;final-crs_1;78;4479
3847;final-crs_9;77;103
4102;gate-keeper;82;
4103;vege_1;82;
4103;gate-keeper;83;
4104;gate-keeper;84;
4109;final-crs_9;82;1110
4111;vege_0;83;
4113;vege_1;84;
4116;final-crs_2;83;924
4133;final-crs_0;84;2327
4389;gate-keeper;88;
4390;gate-keeper;89;
4391;vege_1;89;
4391;gate-keeper;90;
4392;frui_0;88;
4400;final-crs_8;89;764
4416;meat_1;90;
4445;gate-keeper;91;
4450;final-crs_7;88;2244
4451;vege_1;91;
4482;final-crs_6;90;1137
4503;final-crs_3;91;2435
4666;gate-keeper;93;
4667;gate-keeper;94;
4668;gate-keeper;95;
4669;gate-keeper;96;
4670;frui_1;95;
4672;vege_0;93;
4675;vege_1;94;
4680;vege_0;96;
4708;final-crs_6;95;3259
4714;final-crs_4;93;1599
4742;final-crs_3;94;1509
4746;final-crs_10;96;1228
4988;gate-keeper;100;
4989;gate-keeper;101;
4990;gate-keeper;102;
4991;vege_1;100;
4991;gate-keeper;103;
4992;meat_0;103;
4997;vege_0;101;
5001;vege_1;102;
5015;final-crs_1;100;1109
5066;final-crs_2;103;400
5125;final-crs_11;101;1059
5130;final-crs_0;102;2285
5273;gate-keeper;108;
5274;vege_0;108;
5274;gate-keeper;109;
5277;vege_1;109;
5299;final-crs_2;108;3349
5374;final-crs_7;109;1301
5382;gate-keeper;110;
5383;gate-keeper;111;
5387;vege_1;111;
5388;frui_0;110;
5402;final-crs_4;111;4877
5413;final-crs_3;110;3190
5525;gate-keeper;112;
5526;gate-keeper;113;
5527;gate-keeper;114;
5529;vege_1;112;
5531;final-crs_2;112;1613
5531;vege_0;114;
5572;meat_0;113;
5593;final-crs_8;114;1691
5604;final-crs_0;113;3440
5817;gate-keeper;118;
5818;gate-keeper;119;
5819;gate-keeper;120;
5820;vege_0;119;
5822;frui_1;118;
5825;vege_1;120;
5839;final-crs_7;119;2283
5864;final-crs_11;118;2714
5866;final-crs_4;120;1170
6150;gate-keeper;125;
6151;gate-keeper;126;
6152;gate-keeper;127;
6155;vege_1;125;
6156;vege_0;127;
6156;frui_1;126;
6190;final-crs_9;125;2158
6208;final-crs_10;127;3598
6231;final-crs_1;126;2470
6334;gate-keeper;129;
6335;gate-keeper;130;
6336;gate-keeper;131;
6337;vege_0;129;
6337;frui_0;131;
6339;final-crs_7;129;1754
6342;final-crs_3;131;488
6347;meat_0;130;
6361;final-crs_2;130;2047
6417;gate-keeper;132;
6418;gate-keeper;133;
6420;vege_1;132;
6422;vege_0;133;
6466;final-crs_1;132;2111
6468;final-crs_10;133;916
6677;gate-keeper;135;
6678;gate-keeper;136;
6679;vege_0;136;
6679;gate-keeper;137;
6680;gate-keeper;138;
6681;gate-keeper;139;
6684;vege_1;138;
6685;final-crs_10;136;1571
6689;vege_0;139;
6705;final-crs_0;138;1146
6706;meat_0;135;
6707;meat_1;137;
6743;final-crs_11;139;123
6745;final-crs_1;135;2042
6746;final-crs_3;137;513
6875;gate-keeper;142;
6876;gate-keeper;143;
6881;vege_0;143;
6889;meat_1;142;
6913;final-crs_10;143;1026
6921;final-crs_3;142;4287
7241;gate-keeper;149;
7242;gate-keeper;150;
7243;gate-keeper;151;
7244;vege_0;149;
7244;gate-keeper;152;
7250;vege_1;150;
7254;vege_0;151;
7256;meat_1;152;
7282;gate-keeper;153;
7283;vege_0;153;
7299;final-crs_2;149;2665
7319;final-crs_7;150;1403
7325;final-crs_5;151;396
7329;final-crs_6;152;3789
7354;final-crs_8;153;3053
7846;gate-keeper;162;
7847;vege_1;162;
7847;gate-keeper;163;
7848;gate-keeper;164;
7850;final-crs_0;162;1373
7851;vege_0;163;
7856;vege_1;164;
7864;final-crs_4;163;1328
7897;final-crs_9;164;1916
8123;gate-keeper;168;
8124;meat_0;168;
8124;gate-keeper;169;
8125;gate-keeper;170;
8126;vege_1;169;
8127;vege_0;170;
8159;final-crs_3;168;3040
8168;final-crs_9;169;2643
8183;final-crs_5;170;226
8426;gate-keeper;174;
8427;gate-keeper;175;
8428;gate-keeper;176;
8429;vege_0;174;
8430;frui_0;175;
8433;frui_1;176;
8436;final-crs_11;174;2134
8437;final-crs_3;175;2943
8470;final-crs_1;176;2379
8751;gate-keeper;181;
8752;gate-keeper;182;
8753;vege_0;181;
8755;final-crs_1;181;2913
8755;vege_1;182;
8768;final-crs_10;182;2709
9059;gate-keeper;188;
9060;gate-keeper;189;
9061;gate-keeper;190;
9066;vege_0;188;
9066;vege_1;189;
9071;final-crs_6;188;1034
9076;vege_0;190;
9079;final-crs_9;189;696
9096;final-crs_2;190;2536
9365;gate-keeper;194;
9366;gate-keeper;195;
9367;gate-keeper;196;
9372;vege_0;195;
9376;vege_1;196;
9379;meat_0;194;
9387;final-crs_1;195;1836
9402;final-crs_11;196;123
9436;final-crs_5;194;3480
9678;gate-keeper;201;
9679;gate-keeper;202;
9682;vege_1;201;
9688;vege_0;202;
9706;final-crs_8;201;2968
9717;final-crs_7;202;2138
9949;gate-keeper;208;
9951;vege_1;208;
9954;final-crs_7;208;2258
10281;gate-keeper;215;
10285;vege_0;215;
10305;final-crs_4;215;2933
10426;gate-keeper;216;
10427;gate-keeper;217;
10428;vege_1;216;
10428;gate-keeper;218;
10435;vege_0;217;
10439;meat_1;218;
10488;final-crs_0;216;2060
10495;final-crs_6;217;3280
10500;final-crs_10;218;462
10600;gate-keeper;222;
10601;frui_1;222;
10608;final-crs_5;222;3687
10765;gate-keeper;223;
10766;gate-keeper;224;
10767;gate-keeper;225;
10768;vege_1;223;
10770;vege_0;224;
10773;final-crs_0;223;1436
10778;vege_1;225;
10793;final-crs_2;224;4002
10821;final-crs_1;225;1877
10916;gate-keeper;227;
10917;gate-keeper;228;
10924;vege_1;227;
10927;meat_0;228;
10999;final-crs_6;227;135
11000;final-crs_2;228;1053
11219;gate-keeper;232;
11220;vege_0;232;
11220;gate-keeper;233;
11221;gate-keeper;234;
11222;final-crs_0;232;4766
11222;vege_1;234;
11223;frui_0;233;
11232;final-crs_6;234;1875
11239;final-crs_2;233;1047
11575;gate-keeper;240;
11576;gate-keeper;241;
11577;frui_0;241;
11577;gate-keeper;242;
11581;vege_1;242;
11590;final-crs_11;241;1058
11591;final-crs_4;242;885
11603;meat_1;240;
11616;final-crs_9;240;1188
11817;gate-keeper;246;
11818;gate-keeper;247;
11821;vege_0;246;
11824;vege_1;247;
11834;final-crs_9;246;91
11840;final-crs_5;247;940
12080;gate-keeper;253;
12091;meat_0;253;
12092;final-crs_5;253;289
12360;gate-keeper;254;
12361;gate-keeper;255;
12362;gate-keeper;256;
12363;frui_1;255;
12363;gate-keeper;257;
12364;gate-keeper;258;
12365;frui_0;257;
12365;gate-keeper;259;
12368;vege_0;259;
12370;frui_1;258;
12374;final-crs_11;255;4156
12386;meat_0;254;
12391;final-crs_7;257;2144
12401;final-crs_2;259;2913
12407;meat_1;256;
12450;final-crs_6;258;1542
12478;final-crs_8;254;2265
12480;final-crs_10;256;3575
12531;gate-keeper;261;
12532;gate-keeper;262;
12533;gate-keeper;263;
12540;vege_0;261;
12541;vege_1;262;
12550;vege_1;263;
12554;final-crs_3;261;1788
12617;final-crs_11;262;1328
12627;final-crs_7;263;3684
12970;gate-keeper;271;
12971;gate-keeper;272;
12974;vege_0;271;
12976;frui_0;272;
13000;final-crs_1;271;1014
13008;final-crs_4;272;2103
13280;gate-keeper;273;
13281;gate-keeper;274;
13282;frui_1;273;
13282;gate-keeper;275;
13283;gate-keeper;276;
13284;vege_1;274;
13284;gate-keeper;277;
13285;frui_0;275;
13285;gate-keeper;278;
13286;vege_0;277;
13289;frui_1;276;
13295;vege_1;278;
13300;final-crs_11;273;4193
13306;final-crs_7;274;896
13315;final-crs_2;275;2907
13406;final-crs_6;277;2184
13428;final-crs_5;276;1162
13450;final-crs_8;278;3058
13599;gate-keeper;280;
