time;ckpt;id;money
973;gate-keeper;12;
977;vege_1;12;
1062;final-crs_2;12;123
1288;gate-keeper;14;
1289;gate-keeper;15;
1290;gate-keeper;16;
1291;frui_0;16;
1292;meat_0;14;
1297;meat_1;15;
1300;final-crs_4;16;148
1317;final-crs_2;14;827
1338;final-crs_5;15;879
1580;gate-keeper;17;
1581;vege_0;17;
1581;gate-keeper;18;
1582;gate-keeper;19;
1583;gate-keeper;20;
1585;vege_1;20;
1585;frui_1;19;
1596;final-crs_1;17;810
1602;final-crs_7;20;572
1604;meat_1;18;
1619;final-crs_3;19;1399
1635;final-crs_9;18;183
2280;gate-keeper;29;
2284;vege_0;29;
2290;final-crs_2;29;381
2642;gate-keeper;33;
2643;gate-keeper;34;
2647;vege_0;33;
2648;frui_0;34;
2650;final-crs_1;33;1627
2655;final-crs_11;34;403
2910;gate-keeper;37;
2927;meat_1;37;
2938;gate-keeper;38;
2939;frui_0;38;
3014;final-crs_0;37;630
3025;final-crs_3;38;658
3173;gate-keeper;40;
3174;gate-keeper;41;
3176;frui_1;41;
3178;vege_0;40;
3235;final-crs_3;41;1765
3241;final-crs_0;40;816
3538;gate-keeper;44;
3539;gate-keeper;45;
3540;frui_0;44;
3540;gate-keeper;46;
3545;final-crs_4;44;252
3545;vege_0;45;
3546;vege_1;46;
3549;final-crs_1;45;770
3558;final-crs_6;46;694
3839;gate-keeper;51;
3844;vege_0;51;
3868;final-crs_0;51;236
4113;gate-keeper;53;
4114;gate-keeper;54;
4115;gate-keeper;55;
4118;vege_1;54;
4118;frui_0;53;
4121;vege_0;55;
4156;final-crs_0;54;316
4160;final-crs_2;53;2149
4200;final-crs_9;55;525
4405;gate-keeper;57;
4406;vege_1;57;
4406;gate-keeper;58;
4407;gate-keeper;59;
4413;vege_0;58;
4416;vege_1;59;
4427;final-crs_0;57;351
4468;final-crs_5;58;1443
4477;final-crs_9;59;1022
4656;gate-keeper;62;
4657;gate-keeper;63;
4661;vege_0;62;
4665;vege_1;63;
4697;final-crs_5;62;754
4699;final-crs_9;63;62
4945;gate-keeper;65;
4946;gate-keeper;66;
4947;vege_0;65;
4950;vege_1;66;
4989;final-crs_0;65;2358
5004;final-crs_6;66;753
5230;gate-keeper;69;
5231;gate-keeper;70;
5237;vege_1;69;
5239;vege_0;70;
5249;final-crs_7;69;663
5250;final-crs_6;70;850
5529;gate-keeper;74;
5530;vege_1;74;
5536;final-crs_0;74;1023
5788;gate-keeper;78;
5790;frui_1;78;
5792;final-crs_0;78;1790
6131;gate-keeper;82;
6132;gate-keeper;83;
6169;meat_0;82;
6183;meat_1;83;
6200;final-crs_6;82;379
6207;final-crs_9;83;116
6257;gate-keeper;84;
6258;frui_1;84;
6258;gate-keeper;85;
6264;frui_0;85;
6284;final-crs_0;84;530
6304;final-crs_2;85;849
6416;gate-keeper;86;
6417;gate-keeper;87;
6425;vege_1;87;
6448;final-crs_9;87;884
6459;meat_1;86;
6466;final-crs_6;86;722
6698;gate-keeper;91;
6702;vege_0;91;
6760;final-crs_8;91;144
6969;gate-keeper;94;
6970;gate-keeper;95;
6973;frui_1;95;
6977;vege_0;94;
6985;final-crs_8;95;1050
7030;final-crs_5;94;551
7219;gate-keeper;99;
7220;vege_0;99;
7239;final-crs_5;99;269
7610;gate-keeper;104;
7632;meat_1;104;
7664;final-crs_8;104;170
7816;gate-keeper;105;
7817;gate-keeper;106;
7818;frui_0;105;
7818;gate-keeper;107;
7819;final-crs_7;105;62
7820;vege_0;106;
7821;vege_1;107;
7837;final-crs_2;106;1077
7846;final-crs_3;107;1093
8099;gate-keeper;111;
8100;frui_0;111;
8140;final-crs_8;111;245
8678;gate-keeper;115;
8679;vege_1;115;
8679;gate-keeper;116;
8680;vege_0;116;
8680;gate-keeper;117;
8681;gate-keeper;118;
8685;frui_1;118;
8687;vege_1;117;
8688;final-crs_1;115;1046
8707;final-crs_2;116;1926
8725;final-crs_5;118;727
8732;final-crs_0;117;289
8935;gate-keeper;120;
8936;gate-keeper;121;
8937;gate-keeper;122;
8939;vege_1;122;
8966;meat_1;120;
8976;meat_0;121;
8977;final-crs_0;122;114
8986;final-crs_2;120;1263
9008;gate-keeper;123;
9013;vege_0;123;
9027;final-crs_7;121;725
9035;final-crs_6;123;1589
9654;gate-keeper;131;
9655;gate-keeper;132;
9656;vege_0;131;
9662;vege_1;132;
9664;final-crs_1;131;863
9687;final-crs_0;132;1005
9876;gate-keeper;135;
9879;vege_0;135;
9892;final-crs_8;135;938
10835;gate-keeper;148;
10837;vege_1;148;
10883;final-crs_6;148;94
10998;gate-keeper;149;
10999;gate-keeper;150;
11000;vege_1;149;
11002;frui_1;150;
11014;final-crs_0;149;2355
11015;final-crs_11;150;1557
11120;gate-keeper;152;
11133;meat_1;152;
11135;final-crs_6;152;606
11414;gate-keeper;153;
11415;gate-keeper;154;
11416;frui_1;154;
11416;gate-keeper;155;
11417;gate-keeper;156;
11420;final-crs_2;154;1731
11420;frui_0;155;
11421;vege_1;153;
11432;final-crs_3;155;706
11451;meat_0;156;
11457;final-crs_4;153;1537
11471;final-crs_0;156;785
11980;gate-keeper;161;
11981;gate-keeper;162;
11982;frui_1;161;
11982;gate-keeper;163;
11985;vege_0;162;
11988;final-crs_10;161;750
11992;final-crs_11;162;438
12016;meat_1;163;
12020;gate-keeper;164;
12031;meat_0;164;
12032;final-crs_0;163;333
12039;final-crs_5;164;1603
12318;gate-keeper;166;
12319;gate-keeper;167;
12320;vege_1;167;
12320;gate-keeper;168;
12327;vege_0;168;
12334;final-crs_4;167;291
12346;final-crs_6;168;1064
12349;meat_1;166;
12390;final-crs_8;166;1212
12803;gate-keeper;173;
12804;gate-keeper;174;
12806;vege_0;173;
12810;final-crs_0;173;835
12818;meat_1;174;
12856;final-crs_1;174;624
12995;gate-keeper;177;
13000;vege_0;177;
13027;final-crs_5;177;745
13279;gate-keeper;181;
13284;frui_0;181;
13291;final-crs_9;181;438
13545;gate-keeper;182;
13546;vege_1;182;
13546;gate-keeper;183;
13547;frui_1;183;
13547;gate-keeper;184;
13549;frui_0;184;
13557;final-crs_9;182;187
13564;final-crs_6;183;729
13568;final-crs_1;184;1154
13690;gate-keeper;186;
13692;frui_0;186;
13732;final-crs_3;186;495
13872;gate-keeper;189;
13874;frui_0;189;
13883;final-crs_7;189;2124
14160;gate-keeper;193;
14162;frui_0;193;
14188;final-crs_3;193;1294
14473;gate-keeper;197;
14474;frui_1;197;
14480;final-crs_6;197;765
14569;gate-keeper;198;
14572;frui_1;198;
14606;final-crs_3;198;132
14609;gate-keeper;199;
14610;frui_0;199;
14627;final-crs_8;199;88
14797;gate-keeper;200;
14798;gate-keeper;201;
14799;gate-keeper;202;
14803;vege_0;200;
14811;meat_0;201;
14813;final-crs_11;200;813
14847;final-crs_3;201;919
14869;meat_1;202;
14879;final-crs_8;202;391
15136;gate-keeper;204;
15137;frui_1;204;
15137;gate-keeper;205;
15138;gate-keeper;206;
15142;vege_0;206;
15171;meat_0;205;
15216;final-crs_9;204;979
15222;final-crs_2;206;345
15222;final-crs_4;205;632
15364;gate-keeper;210;
15372;vege_1;210;
15432;final-crs_4;210;1262
16110;gate-keeper;220;
16135;meat_0;220;
16182;final-crs_11;220;345
16722;gate-keeper;228;
16738;meat_0;228;
16743;final-crs_9;228;518
17224;gate-keeper;234;
17225;gate-keeper;235;
17232;vege_1;234;
17233;vege_0;235;
17251;final-crs_0;234;810
17261;final-crs_6;235;736
17302;gate-keeper;236;
17304;frui_0;236;
17316;final-crs_7;236;474
18174;gate-keeper;246;
18175;gate-keeper;247;
18176;gate-keeper;248;
18180;frui_1;247;
18181;vege_0;246;
18183;vege_1;248;
18190;final-crs_0;247;407
18235;final-crs_9;246;1244
18238;final-crs_2;248;1518
18734;gate-keeper;265;
18735;gate-keeper;266;
18736;gate-keeper;267;
18737;vege_0;266;
18737;gate-keeper;268;
18738;frui_0;265;
18739;vege_1;268;
18739;frui_1;267;
18759;final-crs_8;266;1272
18783;gate-keeper;269;
18787;vege_0;269;
18810;final-crs_1;265;742
18814;final-crs_4;268;1344
18835;final-crs_11;267;521
18867;final-crs_10;269;1300
19081;gate-keeper;270;
19082;vege_0;270;
19082;gate-keeper;271;
19083;gate-keeper;272;
19084;final-crs_11;270;1235
19084;vege_1;271;
