time;ckpt;id;money
259;gate-keeper;3;
265;vege_0;3;
266;final-crs_2;3;652
652;gate-keeper;7;
653;vege_0;7;
653;gate-keeper;8;
654;final-crs_9;7;1613
654;meat_0;8;
664;final-crs_1;8;1105
1102;gate-keeper;11;
1103;frui_0;11;
1103;gate-keeper;12;
1104;gate-keeper;13;
1105;gate-keeper;14;
1106;frui_1;12;
1108;vege_1;14;
1110;frui_0;13;
1140;final-crs_1;11;131
1144;final-crs_9;12;468
1164;final-crs_8;14;1095
1201;final-crs_4;13;2629
1417;gate-keeper;16;
1418;gate-keeper;17;
1419;gate-keeper;18;
1420;vege_0;16;
1420;gate-keeper;19;
1421;vege_1;17;
1422;frui_1;19;
1428;vege_0;18;
1463;final-crs_11;16;787
1467;final-crs_4;17;3515
1479;final-crs_2;19;1484
1484;final-crs_0;18;606
1504;gate-keeper;20;
1510;frui_0;20;
1523;final-crs_10;20;397
1726;gate-keeper;23;
1727;gate-keeper;24;
1728;frui_1;24;
1729;vege_1;23;
1761;final-crs_10;24;162
1762;final-crs_3;23;632
1986;gate-keeper;25;
1987;gate-keeper;26;
1988;vege_1;26;
1988;gate-keeper;27;
1989;final-crs_10;26;1642
1989;gate-keeper;28;
1992;vege_0;27;
1997;vege_1;28;
2017;final-crs_3;27;1609
2020;final-crs_5;28;387
2034;meat_0;25;
2055;final-crs_1;25;1359
2409;gate-keeper;34;
2433;meat_0;34;
2471;final-crs_4;34;3361
2974;gate-keeper;42;
2979;vege_0;42;
2981;final-crs_5;42;1542
3254;gate-keeper;43;
3255;gate-keeper;44;
3256;gate-keeper;45;
3257;frui_0;45;
3257;gate-keeper;46;
3260;vege_1;43;
3262;vege_0;44;
3268;final-crs_7;45;2681
3271;vege_0;46;
3281;final-crs_6;43;2025
3283;final-crs_3;44;4211
3288;final-crs_1;46;679
3344;gate-keeper;47;
3349;vege_0;47;
3352;final-crs_11;47;974
4100;gate-keeper;56;
4101;frui_1;56;
4101;gate-keeper;57;
4102;gate-keeper;58;
4103;vege_0;57;
4105;vege_1;58;
4154;final-crs_11;56;1909
4155;final-crs_10;57;1762
4159;final-crs_9;58;331
4554;gate-keeper;64;
4558;vege_0;64;
4574;final-crs_4;64;1847
4834;gate-keeper;68;
4839;vege_0;68;
4881;final-crs_9;68;1395
4916;gate-keeper;69;
4920;frui_0;69;
4953;final-crs_2;69;881
5631;gate-keeper;76;
5632;gate-keeper;77;
5633;gate-keeper;78;
5634;gate-keeper;79;
5636;vege_0;77;
5636;frui_0;76;
5642;vege_1;78;
5645;vege_0;79;
5661;final-crs_8;77;347
5664;final-crs_11;76;2751
5696;final-crs_5;78;852
5710;final-crs_0;79;1623
5919;gate-keeper;82;
5920;gate-keeper;83;
5923;frui_0;82;
5929;vege_0;83;
5945;final-crs_5;82;288
5952;final-crs_1;83;1250
6228;gate-keeper;86;
6229;gate-keeper;87;
6230;gate-keeper;88;
6235;vege_1;86;
6236;vege_0;87;
6242;final-crs_10;86;151
6243;final-crs_6;87;1281
6245;vege_0;88;
6278;final-crs_4;88;1164
6508;gate-keeper;90;
6509;gate-keeper;91;
6510;gate-keeper;92;
6511;vege_0;90;
6511;vege_1;91;
6514;frui_1;92;
6519;final-crs_4;90;1783
6544;final-crs_0;91;953
6554;final-crs_7;92;3342
6560;gate-keeper;93;
6564;frui_0;93;
6572;final-crs_9;93;944
6818;gate-keeper;94;
6819;vege_0;94;
6819;gate-keeper;95;
6820;gate-keeper;96;
6828;vege_1;95;
6829;vege_0;96;
6830;final-crs_2;94;2117
6831;final-crs_9;95;959
6845;final-crs_5;96;579
6918;gate-keeper;98;
6920;vege_1;98;
6932;final-crs_6;98;513
7129;gate-keeper;99;
7130;gate-keeper;100;
7131;vege_1;99;
7131;gate-keeper;101;
7133;vege_0;101;
7134;meat_0;100;
7183;final-crs_6;99;2576
7200;final-crs_1;101;3160
7208;final-crs_11;100;1134
7301;gate-keeper;104;
7336;meat_1;104;
7424;final-crs_1;104;1360
7430;gate-keeper;105;
7431;vege_0;105;
7442;final-crs_11;105;1389
