time;ckpt;id;money
240;gate-keeper;0;
241;gate-keeper;1;
242;frui_0;1;
242;gate-keeper;2;
243;final-crs_11;1;2221
243;vege_0;2;
256;meat_1;0;
261;final-crs_2;2;170
270;final-crs_4;0;407
503;gate-keeper;4;
504;gate-keeper;5;
505;gate-keeper;6;
506;frui_0;5;
508;vege_0;4;
510;final-crs_4;5;895
513;vege_1;6;
524;final-crs_2;4;421
642;final-crs_10;6;146
728;gate-keeper;9;
732;vege_1;9;
735;final-crs_9;9;438
806;gate-keeper;10;
809;frui_1;10;
846;final-crs_10;10;1654
1134;gate-keeper;15;
1173;meat_0;15;
1185;final-crs_8;15;3490
1597;gate-keeper;21;
1598;frui_1;21;
1598;gate-keeper;22;
1611;meat_0;22;
1631;final-crs_9;21;1253
1635;final-crs_3;22;639
2329;gate-keeper;29;
2330;gate-keeper;30;
2331;meat_1;29;
2331;gate-keeper;31;
2332;vege_0;31;
2332;gate-keeper;32;
2333;final-crs_9;29;2076
2333;gate-keeper;33;
2334;vege_1;33;
2336;meat_0;30;
2369;final-crs_1;31;1160
2373;final-crs_7;33;798
2379;final-crs_3;30;361
2383;meat_1;32;
2425;final-crs_0;32;1594
2479;gate-keeper;35;
2482;vege_0;35;
2486;final-crs_2;35;99
2625;gate-keeper;36;
2626;gate-keeper;37;
2628;vege_0;36;
2629;vege_1;37;
2650;final-crs_0;36;1518
2685;final-crs_10;37;1698
2915;gate-keeper;38;
2916;vege_0;38;
2916;gate-keeper;39;
2917;gate-keeper;40;
2918;gate-keeper;41;
2922;meat_1;39;
2925;vege_0;40;
2925;vege_1;41;
2933;final-crs_8;38;148
2940;final-crs_10;39;252
2947;final-crs_11;40;4081
2951;final-crs_6;41;1442
3551;gate-keeper;48;
3552;gate-keeper;49;
3553;gate-keeper;50;
3555;vege_0;49;
3555;frui_0;48;
3559;vege_1;50;
3587;final-crs_9;49;2078
3612;gate-keeper;51;
3614;vege_0;51;
3633;final-crs_7;48;1422
3638;final-crs_8;50;861
3664;final-crs_6;51;2636
3898;gate-keeper;52;
3899;vege_1;52;
3899;gate-keeper;53;
3900;gate-keeper;54;
3901;gate-keeper;55;
3902;frui_1;55;
3904;final-crs_10;52;1401
3906;vege_0;53;
3907;vege_1;54;
3937;final-crs_11;55;507
3943;final-crs_2;53;762
3944;final-crs_3;54;1635
4220;gate-keeper;59;
4221;gate-keeper;60;
4222;vege_0;59;
4228;vege_1;60;
4247;final-crs_0;59;2700
4289;final-crs_9;60;2511
4412;gate-keeper;61;
4413;frui_0;61;
4413;gate-keeper;62;
4419;vege_0;62;
4422;final-crs_1;61;2470
4423;final-crs_5;62;1670
4520;gate-keeper;63;
4524;vege_1;63;
4542;final-crs_9;63;1393
4807;gate-keeper;65;
4808;gate-keeper;66;
4809;gate-keeper;67;
4811;vege_0;65;
4812;vege_1;66;
4820;vege_0;67;
4833;final-crs_7;65;378
4850;final-crs_4;66;709
4852;final-crs_6;67;3199
5080;gate-keeper;70;
5081;gate-keeper;71;
5084;vege_0;70;
5092;final-crs_3;70;207
5113;meat_0;71;
5119;final-crs_2;71;291
5365;gate-keeper;72;
5366;gate-keeper;73;
5367;gate-keeper;74;
5368;vege_1;72;
5368;gate-keeper;75;
5369;vege_0;73;
5375;final-crs_1;72;1941
5378;vege_0;74;
5378;vege_1;75;
5381;final-crs_2;73;836
5386;final-crs_0;74;1661
5413;final-crs_5;75;2062
5732;gate-keeper;80;
5733;gate-keeper;81;
5741;vege_0;80;
5741;vege_1;81;
5750;final-crs_10;80;912
5813;final-crs_3;81;215
5984;gate-keeper;84;
5990;vege_1;84;
5994;final-crs_9;84;3161
6023;gate-keeper;85;
6024;frui_0;85;
6037;final-crs_3;85;534
6305;gate-keeper;89;
6308;vege_0;89;
