time;ckpt;id;money
254;gate-keeper;0;
255;gate-keeper;1;
256;gate-keeper;2;
257;gate-keeper;3;
258;frui_0;0;
259;frui_1;1;
265;frui_0;2;
265;frui_1;3;
269;final-crs_7;0;1018
277;final-crs_4;1;219
424;final-crs_1;2;1560
435;final-crs_10;3;860
591;gate-keeper;5;
592;gate-keeper;6;
593;gate-keeper;7;
595;frui_0;6;
597;vege_1;7;
600;meat_1;5;
658;final-crs_11;6;828
674;final-crs_10;7;697
682;final-crs_2;5;212
918;gate-keeper;9;
919;gate-keeper;10;
920;gate-keeper;11;
921;frui_0;10;
921;gate-keeper;12;
922;final-crs_2;10;1424
925;vege_0;11;
947;meat_1;9;
972;final-crs_3;11;829
979;meat_0;12;
982;final-crs_5;9;161
994;final-crs_9;12;705
1165;gate-keeper;14;
1166;gate-keeper;15;
1169;vege_0;14;
1173;vege_1;15;
1197;final-crs_5;14;673
1199;final-crs_2;15;1568
1480;gate-keeper;18;
1481;gate-keeper;19;
1482;gate-keeper;20;
1484;frui_1;20;
1485;vege_0;18;
1487;vege_1;19;
1555;final-crs_1;20;1575
1571;final-crs_11;18;277
1635;final-crs_10;19;1230
1743;gate-keeper;23;
1744;gate-keeper;24;
1747;meat_1;23;
1751;meat_0;24;
1800;final-crs_1;23;213
1810;final-crs_11;24;932
2080;gate-keeper;28;
2081;vege_1;28;
2081;gate-keeper;29;
2093;final-crs_9;28;507
2097;meat_1;29;
2121;final-crs_2;29;777
2392;gate-keeper;31;
2393;gate-keeper;32;
2394;gate-keeper;33;
2395;vege_0;31;
2395;gate-keeper;34;
2396;vege_1;34;
2400;frui_0;33;
2407;final-crs_8;31;1031
2421;final-crs_6;34;1495
2432;final-crs_7;33;626
2444;meat_1;32;
2535;final-crs_1;32;619
2669;gate-keeper;35;
2670;gate-keeper;36;
2671;frui_0;36;
2671;gate-keeper;37;
2672;final-crs_8;36;594
2672;gate-keeper;38;
2674;meat_0;35;
2676;frui_1;37;
2678;frui_0;38;
2687;final-crs_0;35;294
2690;final-crs_3;37;1517
2737;gate-keeper;39;
2739;frui_1;39;
2746;final-crs_9;38;557
2779;final-crs_1;39;1043
3006;gate-keeper;40;
3007;gate-keeper;41;
3008;frui_1;41;
3008;gate-keeper;42;
3009;gate-keeper;43;
3011;vege_0;40;
3012;frui_0;43;
3015;meat_0;42;
3074;final-crs_5;41;506
3090;final-crs_2;40;471
3091;final-crs_11;43;557
3093;final-crs_4;42;94
3282;gate-keeper;45;
3283;gate-keeper;46;
3284;frui_0;45;
3284;gate-keeper;47;
3286;frui_1;46;
3290;frui_0;47;
3291;final-crs_9;45;1268
3304;final-crs_5;46;1317
3312;final-crs_4;47;719
3595;gate-keeper;50;
3596;frui_1;50;
3596;gate-keeper;51;
3597;final-crs_10;50;883
3597;gate-keeper;52;
3599;meat_1;52;
3601;frui_0;51;
3622;final-crs_8;52;1313
3639;final-crs_7;51;324
3689;gate-keeper;53;
3690;vege_1;53;
3718;final-crs_1;53;865
3916;gate-keeper;56;
3917;frui_1;56;
3936;final-crs_3;56;780
4170;gate-keeper;60;
4172;vege_1;60;
4175;final-crs_1;60;299
4514;gate-keeper;65;
4517;frui_0;65;
4524;final-crs_7;65;798
4779;gate-keeper;69;
4785;frui_0;69;
4789;final-crs_10;69;468
5116;gate-keeper;74;
5149;meat_0;74;
5169;final-crs_2;74;991
5430;gate-keeper;77;
5431;gate-keeper;78;
5432;gate-keeper;79;
5433;vege_0;77;
5433;vege_1;78;
5433;frui_1;79;
5441;final-crs_3;77;612
5449;final-crs_2;78;687
5472;final-crs_11;79;1378
5741;gate-keeper;82;
5742;gate-keeper;83;
5746;vege_1;82;
5748;final-crs_7;82;793
5748;frui_1;83;
5754;final-crs_5;83;135
6025;gate-keeper;85;
6026;gate-keeper;86;
6027;frui_1;85;
6027;gate-keeper;87;
6031;vege_1;86;
6033;vege_0;87;
6101;final-crs_0;85;1155
6102;final-crs_8;86;222
6110;final-crs_9;87;61
6319;gate-keeper;90;
6320;gate-keeper;91;
6321;vege_1;90;
6328;final-crs_9;90;959
6358;meat_1;91;
6358;gate-keeper;92;
6365;final-crs_8;91;1350
6375;meat_0;92;
6378;final-crs_11;92;177
6712;gate-keeper;95;
6713;gate-keeper;96;
6714;frui_0;95;
6714;gate-keeper;97;
6719;vege_0;96;
6725;vege_1;97;
6763;final-crs_1;95;550
6763;final-crs_7;96;178
6780;final-crs_4;97;855
7015;gate-keeper;99;
7016;gate-keeper;100;
7017;frui_1;100;
7017;gate-keeper;101;
7018;vege_1;99;
7019;final-crs_6;100;447
7021;vege_0;101;
7023;final-crs_0;99;667
7036;final-crs_9;101;324
7127;gate-keeper;103;
7130;vege_1;103;
7136;final-crs_10;103;366
7268;gate-keeper;104;
7269;gate-keeper;105;
7271;vege_0;104;
7279;final-crs_4;104;1287
7279;meat_0;105;
7280;final-crs_0;105;526
7317;gate-keeper;106;
7344;meat_0;106;
7353;final-crs_8;106;539
7623;gate-keeper;110;
7625;frui_1;110;
7636;final-crs_10;110;1537
7954;gate-keeper;115;
7957;vege_0;115;
7967;final-crs_9;115;498
8203;gate-keeper;117;
8204;gate-keeper;118;
8205;gate-keeper;119;
8206;vege_0;119;
8207;frui_1;118;
8210;final-crs_9;119;100
8215;final-crs_1;118;149
8231;meat_1;117;
8235;final-crs_11;117;727
8544;gate-keeper;121;
8545;gate-keeper;122;
8546;gate-keeper;123;
8547;vege_0;121;
8547;gate-keeper;124;
8551;vege_1;124;
