time;ckpt;id;money
264;gate-keeper;0;
268;frui_1;0;
291;final-crs_2;0;228
561;gate-keeper;1;
562;gate-keeper;2;
565;frui_0;2;
568;vege_0;1;
653;final-crs_0;2;236
660;final-crs_3;1;585
818;gate-keeper;3;
819;gate-keeper;4;
821;frui_0;4;
836;meat_1;3;
886;final-crs_0;4;559
910;final-crs_4;3;433
1153;gate-keeper;5;
1154;gate-keeper;6;
1159;vege_0;6;
1160;final-crs_9;6;670
1168;meat_0;5;
1169;final-crs_5;5;782
1435;gate-keeper;7;
1436;gate-keeper;8;
1441;vege_1;7;
1455;meat_0;8;
1459;final-crs_4;7;1042
1507;final-crs_8;8;522
1547;gate-keeper;9;
1548;vege_0;9;
1622;final-crs_9;9;163
1761;gate-keeper;10;
1812;meat_1;10;
1832;final-crs_9;10;462
2116;gate-keeper;11;
2117;gate-keeper;12;
2122;meat_0;11;
2147;final-crs_1;11;723
2169;meat_1;12;
2172;final-crs_7;12;326
2329;gate-keeper;13;
2330;gate-keeper;14;
2332;vege_0;14;
2340;meat_1;13;
2357;final-crs_5;14;259
2382;final-crs_4;13;1341
2812;gate-keeper;15;
2813;gate-keeper;16;
2815;vege_1;15;
2818;vege_0;16;
2882;final-crs_1;15;1470
2893;final-crs_8;16;1184
3118;gate-keeper;17;
3119;frui_1;17;
3119;gate-keeper;18;
3121;frui_0;18;
3130;final-crs_8;17;751
3140;final-crs_4;18;823
3317;gate-keeper;19;
3318;frui_0;19;
3318;gate-keeper;20;
3325;vege_0;20;
3347;final-crs_8;19;1972
3375;final-crs_2;20;1213
3701;gate-keeper;21;
3702;frui_0;21;
3702;gate-keeper;22;
3707;meat_0;22;
3720;final-crs_6;21;716
3723;final-crs_5;22;385
3985;gate-keeper;23;
3986;gate-keeper;24;
3987;vege_1;23;
4008;meat_1;24;
4016;final-crs_8;23;1011
4083;final-crs_7;24;70
4254;gate-keeper;25;
4259;meat_0;25;
4265;final-crs_8;25;676
4327;gate-keeper;26;
4330;frui_1;26;
4362;final-crs_4;26;1101
4467;gate-keeper;27;
4469;frui_1;27;
4510;final-crs_8;27;1162
4637;gate-keeper;28;
4638;vege_0;28;
4640;final-crs_4;28;665
4875;gate-keeper;29;
4876;gate-keeper;30;
4877;vege_0;29;
4880;vege_1;30;
4889;final-crs_5;29;1126
4895;final-crs_3;30;557
5191;gate-keeper;31;
5192;gate-keeper;32;
5194;vege_1;31;
5198;vege_0;32;
5244;final-crs_1;31;145
5247;final-crs_2;32;547
5478;gate-keeper;33;
5482;vege_0;33;
5500;final-crs_7;33;2026
5768;gate-keeper;34;
5769;frui_1;34;
5769;gate-keeper;35;
5770;vege_1;35;
5806;final-crs_5;34;440
5806;final-crs_9;35;1032
6066;gate-keeper;36;
6067;gate-keeper;37;
6069;vege_0;37;
6082;meat_0;36;
6092;final-crs_3;37;829
6093;final-crs_2;36;124
6173;gate-keeper;38;
6175;vege_0;38;
6222;final-crs_7;38;1482
6342;gate-keeper;39;
6343;vege_0;39;
6350;final-crs_0;39;620
6655;gate-keeper;40;
6656;gate-keeper;41;
6658;vege_1;40;
6660;vege_0;41;
6723;final-crs_9;40;1195
6724;final-crs_7;41;667
6958;gate-keeper;42;
6959;vege_0;42;
6959;gate-keeper;43;
6961;final-crs_8;42;751
6961;frui_0;43;
6980;final-crs_0;43;752
7267;gate-keeper;44;
7268;gate-keeper;45;
7269;frui_0;44;
7275;frui_1;45;
7304;final-crs_5;44;544
7308;final-crs_1;45;326
7614;gate-keeper;46;
7615;gate-keeper;47;
7616;frui_0;46;
7622;meat_1;47;
7649;final-crs_8;46;644
7657;final-crs_9;47;242
7940;gate-keeper;48;
7941;gate-keeper;49;
7943;vege_0;49;
7944;frui_0;48;
7959;final-crs_4;49;76
7969;final-crs_0;48;1191
8288;gate-keeper;50;
8289;gate-keeper;51;
8297;vege_1;51;
8306;final-crs_5;51;699
8316;meat_1;50;
8321;final-crs_9;50;97
8412;gate-keeper;52;
8416;frui_0;52;
8418;final-crs_4;52;974
8567;gate-keeper;53;
8574;meat_1;53;
8620;final-crs_2;53;169
8907;gate-keeper;54;
8908;vege_1;54;
8908;gate-keeper;55;
8910;frui_1;55;
8956;final-crs_7;54;674
8962;final-crs_6;55;526
9218;gate-keeper;56;
9219;gate-keeper;57;
9224;vege_1;56;
9225;final-crs_9;56;1493
9233;meat_0;57;
9263;final-crs_5;57;117
9498;gate-keeper;58;
9499;vege_1;58;
9506;final-crs_5;58;488
9780;gate-keeper;59;
9781;gate-keeper;60;
9785;vege_1;60;
9793;meat_0;59;
9819;final-crs_2;60;75
9823;final-crs_4;59;1323
10079;gate-keeper;61;
10080;gate-keeper;62;
10081;frui_1;61;
10082;final-crs_9;61;398
10085;frui_0;62;
10103;final-crs_4;62;141
10339;gate-keeper;63;
10340;gate-keeper;64;
10346;vege_1;63;
10347;vege_0;64;
10357;final-crs_4;63;1770
10370;final-crs_7;64;874
10635;gate-keeper;65;
10653;meat_0;65;
10707;final-crs_5;65;1183
10959;gate-keeper;66;
10960;frui_1;66;
10960;gate-keeper;67;
10961;vege_0;67;
10966;final-crs_2;66;1188
10984;final-crs_3;67;382
11129;gate-keeper;68;
11130;frui_1;68;
11170;final-crs_0;68;889
11264;gate-keeper;69;
11267;vege_0;69;
11269;final-crs_7;69;1493
11599;gate-keeper;70;
11600;gate-keeper;71;
11601;frui_0;71;
11602;vege_0;70;
11613;final-crs_0;71;938
11688;final-crs_2;70;1050
11891;gate-keeper;72;
11892;gate-keeper;73;
11893;frui_0;72;
11900;vege_1;73;
11932;final-crs_3;72;1048
11945;final-crs_2;73;737
11953;gate-keeper;74;
11957;frui_1;74;
11979;final-crs_8;74;1033
12207;gate-keeper;75;
12211;vege_0;75;
12220;final-crs_6;75;180
12515;gate-keeper;76;
12516;gate-keeper;77;
12519;frui_1;77;
12522;vege_0;76;
12537;final-crs_7;77;214
12545;final-crs_4;76;1208
12796;gate-keeper;78;
12797;gate-keeper;79;
12798;frui_0;78;
12800;vege_0;79;
12815;final-crs_7;78;545
12847;final-crs_0;79;829
12896;gate-keeper;80;
12900;vege_1;80;
12912;final-crs_1;80;350
13102;gate-keeper;81;
13124;meat_0;81;
13148;final-crs_8;81;533
13396;gate-keeper;82;
13397;gate-keeper;83;
13406;vege_0;83;
13422;meat_0;82;
13434;final-crs_6;83;202
13446;final-crs_4;82;394
13645;gate-keeper;84;
13652;vege_1;84;
13668;final-crs_6;84;868
13708;gate-keeper;85;
13709;vege_0;85;
13716;final-crs_9;85;855
14014;gate-keeper;86;
14015;gate-keeper;87;
14018;vege_0;87;
14019;frui_0;86;
14056;final-crs_2;87;226
14059;final-crs_1;86;1911
14287;gate-keeper;88;
14292;frui_0;88;
14296;final-crs_1;88;247
14584;gate-keeper;89;
14585;gate-keeper;90;
14589;frui_0;89;
14590;frui_1;90;
14603;final-crs_0;89;902
14608;final-crs_4;90;792
14608;gate-keeper;91;
14616;vege_0;91;
14632;final-crs_9;91;178
14888;gate-keeper;92;
14889;vege_0;92;
14893;final-crs_6;92;1288
15118;gate-keeper;93;
15119;frui_0;93;
15119;gate-keeper;94;
15124;vege_0;94;
15161;final-crs_3;93;309
15202;final-crs_7;94;514
15257;gate-keeper;95;
15258;vege_0;95;
15263;final-crs_2;95;205
15419;gate-keeper;96;
15421;frui_1;96;
15427;final-crs_3;96;266
15690;gate-keeper;97;
15695;meat_0;97;
15708;final-crs_2;97;78
15970;gate-keeper;98;
15971;frui_0;98;
15971;gate-keeper;99;
15975;vege_1;99;
15992;final-crs_1;98;621
16051;final-crs_9;99;249
16298;gate-keeper;100;
16299;gate-keeper;101;
16302;vege_1;101;
16308;final-crs_9;101;586
16338;meat_1;100;
16353;final-crs_8;100;934
16558;gate-keeper;102;
16559;gate-keeper;103;
16566;vege_0;102;
16567;vege_1;103;
16578;final-crs_8;102;211
16586;final-crs_0;103;171
16822;gate-keeper;104;
16826;vege_1;104;
16837;final-crs_0;104;1015
17125;gate-keeper;105;
17126;gate-keeper;106;
17129;vege_1;105;
17140;meat_1;106;
17175;final-crs_3;105;1943
17199;final-crs_9;106;1981
17326;gate-keeper;107;
17327;gate-keeper;108;
17329;frui_0;107;
17333;frui_1;108;
17354;final-crs_0;107;723
17379;final-crs_2;108;155
17697;gate-keeper;109;
17698;gate-keeper;110;
17704;vege_0;109;
17708;vege_1;110;
17712;final-crs_9;109;1495
17769;final-crs_4;110;1342
17984;gate-keeper;111;
17985;gate-keeper;112;
17988;vege_1;111;
17991;vege_0;112;
18043;final-crs_4;111;1202
18051;final-crs_5;112;294
18254;gate-keeper;113;
18255;vege_0;113;
18255;gate-keeper;114;
18256;gate-keeper;115;
18257;gate-keeper;116;
18258;final-crs_2;113;1901
18258;gate-keeper;117;
18263;vege_0;115;
18263;vege_1;117;
18263;meat_0;114;
18277;final-crs_4;115;900
18286;final-crs_5;117;145
18291;final-crs_7;114;261
18298;meat_1;116;
18313;final-crs_8;116;1156
18537;gate-keeper;118;
18538;gate-keeper;119;
18539;gate-keeper;120;
18540;gate-keeper;121;
18541;gate-keeper;122;
18542;vege_1;118;
18542;frui_1;119;
18544;vege_0;120;
18544;meat_1;121;
18553;vege_0;122;
18558;final-crs_5;118;70
18563;final-crs_0;119;571
18597;final-crs_7;120;465
18630;final-crs_3;121;399
18645;final-crs_1;122;532
18645;gate-keeper;123;
18646;gate-keeper;124;
18647;vege_1;124;
18647;gate-keeper;125;
18648;frui_1;125;
18648;gate-keeper;126;
18649;gate-keeper;127;
18652;final-crs_6;124;91
18652;final-crs_9;125;1291
18654;vege_0;127;
18666;meat_0;123;
18667;meat_1;126;
18695;final-crs_2;127;537
18737;final-crs_4;123;143
18745;final-crs_8;126;309
18879;gate-keeper;128;
18880;gate-keeper;129;
18882;frui_0;128;
18884;final-crs_3;128;1135
18884;frui_1;129;
18909;final-crs_2;129;1537
18978;gate-keeper;130;
18980;vege_1;130;
19022;final-crs_5;130;685
19199;gate-keeper;131;
19201;vege_1;131;
19259;final-crs_5;131;600
19470;gate-keeper;132;
19471;gate-keeper;133;
19475;vege_1;133;
19480;meat_0;132;
19501;final-crs_5;133;1643
19543;final-crs_0;132;496
19751;gate-keeper;134;
19754;frui_0;134;
19761;final-crs_5;134;522
20003;gate-keeper;135;
20004;gate-keeper;136;
20009;vege_0;135;
20013;meat_1;136;
20026;final-crs_5;135;622
20034;final-crs_7;136;195
20316;gate-keeper;137;
20317;gate-keeper;138;
20325;meat_1;137;
20331;meat_0;138;
20348;final-crs_3;137;2096
20352;final-crs_6;138;1328
20602;gate-keeper;139;
20603;gate-keeper;140;
20604;gate-keeper;141;
20605;frui_1;141;
20605;gate-keeper;142;
20606;gate-keeper;143;
20607;final-crs_9;141;1238
20607;vege_0;139;
20608;frui_0;143;
20614;vege_1;142;
20627;meat_0;140;
20651;final-crs_8;139;663
20709;final-crs_4;143;653
20725;final-crs_0;142;740
20772;final-crs_7;140;178
20921;gate-keeper;144;
20922;gate-keeper;145;
20923;gate-keeper;146;
20924;vege_1;144;
20924;frui_0;145;
20924;frui_1;146;
20924;gate-keeper;147;
20925;gate-keeper;148;
20926;vege_0;147;
20929;gate-keeper;149;
20930;frui_1;149;
20930;gate-keeper;150;
20931;gate-keeper;151;
20932;gate-keeper;152;
20933;vege_1;148;
20933;gate-keeper;153;
20935;vege_0;151;
20936;frui_0;153;
20944;final-crs_4;144;819
20976;final-crs_7;145;912
20977;meat_1;150;
20988;final-crs_0;146;208
20991;meat_0;152;
21023;final-crs_5;147;1626
21032;final-crs_1;149;752
21032;final-crs_6;148;1864
21059;final-crs_2;151;1354
21100;final-crs_9;153;819
21118;final-crs_8;150;771
21140;final-crs_3;152;648
21209;gate-keeper;154;
21210;vege_1;154;
21210;gate-keeper;155;
21211;gate-keeper;156;
21212;meat_1;155;
21212;gate-keeper;157;
21213;final-crs_7;154;1020
21213;gate-keeper;158;
21214;frui_0;158;
21215;vege_0;156;
21220;vege_1;157;
21246;final-crs_0;155;1662
21266;final-crs_1;158;881
21272;final-crs_6;156;404
21278;final-crs_2;157;323
21483;gate-keeper;159;
21484;gate-keeper;160;
21485;gate-keeper;161;
21486;gate-keeper;162;
21487;frui_0;162;
21487;gate-keeper;163;
21488;vege_0;160;
21489;meat_0;159;
21492;frui_1;163;
21510;meat_1;161;
21511;final-crs_1;162;678
21511;final-crs_6;160;533
21517;final-crs_2;159;357
21527;final-crs_5;163;1132
21573;final-crs_9;161;1407
21802;gate-keeper;164;
21803;gate-keeper;165;
21804;gate-keeper;166;
21805;vege_0;164;
21805;gate-keeper;167;
21806;gate-keeper;168;
21808;frui_1;168;
21810;vege_1;165;
21812;vege_0;166;
21818;final-crs_8;164;900
21818;vege_1;167;
21858;gate-keeper;169;
21859;gate-keeper;170;
21860;gate-keeper;171;
21861;gate-keeper;172;
21862;gate-keeper;173;
21864;final-crs_7;168;590
21865;vege_1;169;
21866;meat_1;170;
21869;vege_0;171;
21875;vege_1;172;
21877;vege_0;173;
21881;final-crs_3;165;1106
21931;final-crs_4;166;1168
21942;final-crs_0;167;532
21957;final-crs_1;169;777
21975;final-crs_6;170;733
22007;final-crs_5;171;963
22034;final-crs_2;172;635
22043;final-crs_9;173;653
22141;gate-keeper;174;
22142;gate-keeper;175;
22143;gate-keeper;176;
22144;vege_1;174;
22144;gate-keeper;177;
22145;frui_1;177;
22145;gate-keeper;178;
22146;meat_0;178;
22150;vege_0;175;
22154;vege_1;176;
22173;final-crs_0;174;1380
22173;gate-keeper;179;
22174;frui_0;179;
22174;gate-keeper;180;
22179;vege_0;180;
22192;final-crs_6;177;2289
22196;final-crs_1;178;768
22226;final-crs_5;175;246
22291;final-crs_9;176;398
22313;final-crs_2;179;1188
22322;final-crs_3;180;440
22383;gate-keeper;181;
22417;meat_1;181;
22438;final-crs_0;181;331
22671;gate-keeper;182;
22672;gate-keeper;183;
22673;meat_1;182;
22676;frui_0;183;
22677;final-crs_0;182;157
22688;final-crs_5;183;1187
22879;gate-keeper;184;
22911;meat_1;184;
22931;final-crs_6;184;599
23000;gate-keeper;185;
23001;gate-keeper;186;
23002;gate-keeper;187;
23003;gate-keeper;188;
23004;vege_1;185;
23004;gate-keeper;189;
23005;frui_0;189;
23009;vege_0;186;
23014;vege_1;188;
23019;meat_1;187;
23030;final-crs_2;185;116
23047;final-crs_3;189;1287
23103;final-crs_8;186;1924
23120;final-crs_4;188;389
23122;final-crs_0;187;386
23292;gate-keeper;190;
23293;gate-keeper;191;
23294;gate-keeper;192;
23295;gate-keeper;193;
23300;vege_0;190;
23302;vege_1;191;
23310;vege_0;192;
23312;vege_1;193;
23316;final-crs_3;190;1032
23331;final-crs_7;191;605
23351;final-crs_8;192;535
23360;final-crs_0;193;1153
23582;gate-keeper;194;
23583;gate-keeper;195;
23584;gate-keeper;196;
23585;gate-keeper;197;
23586;vege_1;194;
23586;gate-keeper;198;
23588;vege_0;195;
23589;final-crs_4;194;323
23594;vege_1;196;
23597;final-crs_6;195;266
23598;vege_0;197;
23602;vege_1;198;
23610;final-crs_8;196;194
23632;final-crs_0;197;1484
23672;final-crs_1;198;2178
23911;gate-keeper;199;
23912;gate-keeper;200;
23913;gate-keeper;201;
23914;vege_1;201;
23914;gate-keeper;202;
23917;frui_1;200;
23922;vege_0;202;
23946;meat_0;199;
23968;gate-keeper;203;
23969;frui_1;203;
23976;final-crs_9;201;659
23982;final-crs_2;200;684
23983;final-crs_5;202;380
24032;final-crs_7;199;1888
24045;final-crs_4;203;768
24173;gate-keeper;204;
24180;vege_1;204;
24213;final-crs_9;204;1381
24443;gate-keeper;205;
24444;vege_1;205;
24444;gate-keeper;206;
24450;vege_0;206;
24463;final-crs_9;205;800
24489;final-crs_5;206;481
24770;gate-keeper;207;
24771;gate-keeper;208;
24774;vege_1;208;
24783;meat_0;207;
24801;final-crs_3;208;2261
24815;final-crs_8;207;204
24883;gate-keeper;209;
24890;vege_0;209;
24906;final-crs_2;209;1247
25065;gate-keeper;210;
25074;meat_0;210;
25111;final-crs_2;210;2112
25414;gate-keeper;211;
25415;gate-keeper;212;
25416;frui_0;212;
25416;gate-keeper;213;
25417;vege_0;211;
25417;gate-keeper;214;
25418;gate-keeper;215;
25422;vege_1;213;
25422;frui_0;215;
25424;vege_0;214;
25433;final-crs_9;212;866
25438;final-crs_5;211;777
25468;final-crs_7;213;1274
25493;final-crs_3;215;385
25496;final-crs_6;214;133
25654;gate-keeper;216;
25655;vege_1;216;
25655;gate-keeper;217;
25656;gate-keeper;218;
25657;gate-keeper;219;
25658;gate-keeper;220;
25659;frui_0;217;
25660;vege_0;218;
25661;frui_1;220;
25664;vege_1;219;
25667;final-crs_5;216;1725
25678;final-crs_7;217;230
25681;final-crs_3;218;830
25689;final-crs_9;220;1582
25733;final-crs_6;219;214
25881;gate-keeper;221;
25883;vege_1;221;
25898;final-crs_4;221;489
26012;gate-keeper;222;
26016;vege_1;222;
26044;final-crs_0;222;856
26265;gate-keeper;223;
26266;gate-keeper;224;
26270;frui_0;224;
26272;vege_0;223;
26319;final-crs_1;224;1469
26319;final-crs_2;223;1061
26578;gate-keeper;225;
26584;vege_0;225;
26601;final-crs_9;225;927
26825;gate-keeper;226;
26826;gate-keeper;227;
26877;meat_1;226;
26881;meat_0;227;
26891;final-crs_6;226;1069
26928;final-crs_0;227;1664
27071;gate-keeper;228;
27076;frui_0;228;
27081;final-crs_4;228;1080
27332;gate-keeper;229;
27333;gate-keeper;230;
27335;frui_0;229;
27338;frui_1;230;
27348;final-crs_4;229;384
27356;final-crs_6;230;438
27583;gate-keeper;231;
27584;vege_1;231;
27584;gate-keeper;232;
27590;vege_0;232;
27624;final-crs_6;231;1056
27635;final-crs_7;232;357
27924;gate-keeper;233;
27925;frui_1;233;
27925;gate-keeper;234;
27926;vege_0;234;
27930;final-crs_0;233;568
27930;final-crs_9;234;494
28219;gate-keeper;235;
28220;gate-keeper;236;
28224;frui_1;236;
28230;final-crs_8;236;1152
28245;meat_1;235;
28302;final-crs_4;235;1426
28500;gate-keeper;237;
28501;frui_1;237;
28527;gate-keeper;238;
28529;vege_0;238;
28539;final-crs_4;237;482
28576;final-crs_3;238;740
28807;gate-keeper;239;
28808;vege_1;239;
28817;final-crs_6;239;402
29058;gate-keeper;240;
29059;gate-keeper;241;
29062;frui_0;241;
29080;final-crs_7;241;528
29094;meat_1;240;
29096;final-crs_5;240;120
29327;gate-keeper;242;
29328;gate-keeper;243;
29329;frui_0;242;
29331;vege_1;243;
29362;final-crs_2;242;1551
29379;final-crs_5;243;139
29581;gate-keeper;244;
29584;vege_0;244;
29597;final-crs_9;244;999
29864;gate-keeper;245;
29865;gate-keeper;246;
29871;vege_1;246;
29884;meat_0;245;
29917;final-crs_0;246;450
29947;final-crs_8;245;865
30175;gate-keeper;247;
30176;gate-keeper;248;
30181;vege_0;248;
30184;final-crs_8;248;524
30190;meat_0;247;
30228;final-crs_7;247;1906
30307;gate-keeper;249;
30311;frui_0;249;
30321;final-crs_9;249;445
30745;gate-keeper;250;
30746;gate-keeper;251;
30748;vege_1;251;
30748;frui_1;250;
30756;final-crs_3;251;443
30804;final-crs_5;250;249
31071;gate-keeper;252;
31072;gate-keeper;253;
31076;frui_0;253;
31085;final-crs_8;253;508
31098;meat_0;252;
31111;final-crs_2;252;775
31187;gate-keeper;254;
31216;meat_0;254;
31230;final-crs_3;254;553
31378;gate-keeper;255;
31396;meat_0;255;
31411;final-crs_6;255;863
31704;gate-keeper;256;
31705;gate-keeper;257;
31706;vege_0;256;
31710;meat_1;257;
31751;final-crs_3;256;991
31766;final-crs_5;257;772
31970;gate-keeper;258;
31971;gate-keeper;259;
31973;vege_1;259;
31973;frui_1;258;
32005;final-crs_3;259;326
32008;final-crs_0;258;914
32233;gate-keeper;260;
32236;frui_1;260;
32250;final-crs_3;260;633
32580;gate-keeper;261;
32581;gate-keeper;262;
32582;gate-keeper;263;
32584;vege_0;263;
32619;final-crs_7;263;778
32632;meat_1;261;
32634;meat_0;262;
32646;final-crs_6;261;1431
32702;final-crs_5;262;825
32848;gate-keeper;264;
32866;meat_1;264;
32872;final-crs_7;264;1392
32934;gate-keeper;265;
32935;vege_0;265;
32960;final-crs_4;265;624
33167;gate-keeper;266;
33170;vege_0;266;
33186;final-crs_4;266;1616
33476;gate-keeper;267;
33477;gate-keeper;268;
33479;vege_1;267;
33480;vege_0;268;
33482;final-crs_1;267;1753
33521;gate-keeper;269;
33525;vege_1;269;
33531;final-crs_7;268;243
33556;final-crs_2;269;921
33774;gate-keeper;270;
33780;vege_0;270;
33788;final-crs_5;270;651
34093;gate-keeper;271;
34094;gate-keeper;272;
34100;vege_0;272;
34116;meat_0;271;
34145;final-crs_3;272;853
34165;final-crs_0;271;303
34430;gate-keeper;273;
34431;frui_0;273;
34431;gate-keeper;274;
34432;gate-keeper;275;
34433;final-crs_1;273;245
34468;meat_0;274;
34484;meat_1;275;
34515;final-crs_2;274;162
34531;final-crs_4;275;516
34702;gate-keeper;276;
34708;vege_0;276;
34710;final-crs_7;276;1380
34893;gate-keeper;277;
34894;gate-keeper;278;
34895;vege_0;277;
34900;vege_1;278;
34926;final-crs_7;277;944
34961;final-crs_1;278;398
35314;gate-keeper;279;
35315;gate-keeper;280;
35322;vege_0;279;
35326;final-crs_4;279;261
35327;meat_0;280;
35361;final-crs_0;280;102
35618;gate-keeper;281;
35619;gate-keeper;282;
35620;frui_1;281;
35622;frui_0;282;
35625;final-crs_8;281;748
35700;final-crs_7;282;1330
35854;gate-keeper;283;
35855;gate-keeper;284;
35859;vege_0;284;
35878;meat_1;283;
35908;final-crs_7;284;894
35942;final-crs_2;283;117
36230;gate-keeper;285;
36231;gate-keeper;286;
36233;frui_0;286;
36234;vege_1;285;
36236;final-crs_1;286;772
36265;final-crs_0;285;515
36527;gate-keeper;287;
36528;gate-keeper;288;
36529;vege_0;287;
36535;vege_1;288;
