time;ckpt;id;money
354;gate-keeper;0;
355;gate-keeper;1;
358;vege_0;0;
363;vege_1;1;
430;final-crs_4;0;3941
454;final-crs_6;1;366
537;gate-keeper;2;
551;meat_0;2;
672;final-crs_4;2;1180
815;gate-keeper;3;
816;gate-keeper;4;
819;frui_0;3;
822;vege_0;4;
924;final-crs_4;3;2319
930;final-crs_8;4;2132
1161;gate-keeper;5;
1162;vege_1;5;
1162;gate-keeper;6;
1164;vege_0;6;
1168;final-crs_5;5;957
1177;final-crs_1;6;2441
1490;gate-keeper;7;
1491;gate-keeper;8;
1493;vege_0;7;
1495;vege_1;8;
1499;final-crs_2;7;1375
1502;final-crs_3;8;936
1778;gate-keeper;9;
1779;gate-keeper;10;
1782;vege_1;9;
1785;vege_0;10;
1834;final-crs_4;9;3004
1869;final-crs_8;10;2067
2103;gate-keeper;11;
2104;gate-keeper;12;
2108;frui_0;12;
2110;vege_0;11;
2160;final-crs_7;12;4282
2163;final-crs_1;11;2672
2401;gate-keeper;13;
2406;vege_1;13;
2441;final-crs_0;13;277
2715;gate-keeper;14;
2716;gate-keeper;15;
2717;frui_0;14;
2718;final-crs_9;14;2384
2723;vege_1;15;
2740;final-crs_3;15;3762
2810;gate-keeper;16;
2811;vege_0;16;
2861;final-crs_7;16;3041
2953;gate-keeper;17;
2954;meat_1;17;
3005;final-crs_9;17;534
3124;gate-keeper;18;
3137;meat_1;18;
3141;final-crs_8;18;643
3272;gate-keeper;19;
3278;vege_0;19;
3289;final-crs_7;19;67
3619;gate-keeper;20;
3620;gate-keeper;21;
3621;vege_0;20;
3627;final-crs_6;20;1381
3658;meat_1;21;
3661;final-crs_5;21;1746
3911;gate-keeper;22;
3912;vege_1;22;
3912;gate-keeper;23;
3914;vege_0;23;
3923;final-crs_5;22;432
3929;final-crs_6;23;3232
4279;gate-keeper;24;
4280;frui_1;24;
4280;gate-keeper;25;
4282;vege_1;25;
4308;final-crs_2;24;815
4313;final-crs_7;25;4388
4572;gate-keeper;26;
4573;gate-keeper;27;
4574;frui_0;27;
4581;meat_0;26;
4583;final-crs_1;27;3949
4643;final-crs_5;26;1022
4874;gate-keeper;28;
4875;frui_1;28;
4879;final-crs_5;28;2781
5182;gate-keeper;29;
5183;gate-keeper;30;
5185;frui_1;30;
5188;vege_1;29;
5210;final-crs_7;30;607
5219;final-crs_6;29;1034
5433;gate-keeper;31;
5434;gate-keeper;32;
5436;frui_0;31;
5442;vege_0;32;
5453;final-crs_7;31;3114
5491;final-crs_6;32;3418
5740;gate-keeper;33;
5741;gate-keeper;34;
5743;frui_0;34;
5744;vege_1;33;
5747;final-crs_0;34;1800
5771;final-crs_5;33;4119
6006;gate-keeper;35;
6052;meat_1;35;
6105;final-crs_1;35;2966
6332;gate-keeper;36;
6333;gate-keeper;37;
6334;gate-keeper;38;
6337;vege_0;36;
6341;vege_1;37;
6342;final-crs_1;36;2635
6345;final-crs_7;37;1223
6347;vege_0;38;
6359;final-crs_3;38;740
6682;gate-keeper;39;
6683;gate-keeper;40;
6684;vege_0;40;
6686;final-crs_8;40;3159
6708;meat_0;39;
6711;final-crs_5;39;517
6934;gate-keeper;41;
6935;frui_0;41;
6935;gate-keeper;42;
6938;frui_1;42;
6974;final-crs_5;41;2314
6995;final-crs_2;42;3654
7271;gate-keeper;43;
7272;gate-keeper;44;
7274;vege_0;43;
7274;vege_1;44;
7286;final-crs_0;43;2618
7300;final-crs_1;44;2118
7647;gate-keeper;45;
7648;gate-keeper;46;
7651;vege_1;45;
7655;vege_0;46;
7683;final-crs_2;45;1497
7693;final-crs_0;46;1858
7969;gate-keeper;47;
7970;gate-keeper;48;
7972;frui_1;48;
7974;vege_1;47;
8008;final-crs_9;48;391
8026;final-crs_7;47;767
8159;gate-keeper;49;
8160;gate-keeper;50;
8163;vege_0;49;
8164;vege_1;50;
8169;final-crs_8;49;2367
8171;final-crs_6;50;2365
8525;gate-keeper;51;
8526;gate-keeper;52;
8527;vege_1;51;
8529;vege_0;52;
8534;final-crs_3;51;3603
8572;final-crs_4;52;641
8781;gate-keeper;53;
8782;vege_0;53;
8782;gate-keeper;54;
8787;vege_1;54;
8792;final-crs_4;53;309
8857;final-crs_5;54;611
8886;gate-keeper;55;
8887;vege_0;55;
8889;final-crs_0;55;1242
9138;gate-keeper;56;
9143;vege_1;56;
9153;final-crs_6;56;1849
9437;gate-keeper;57;
9438;gate-keeper;58;
9443;vege_0;57;
9443;vege_1;58;
9454;final-crs_9;57;790
9525;final-crs_1;58;1793
9705;gate-keeper;59;
9706;gate-keeper;60;
9707;vege_0;59;
9718;meat_0;60;
9738;final-crs_0;59;1253
9799;final-crs_4;60;197
10064;gate-keeper;61;
10065;gate-keeper;62;
10066;frui_0;61;
10071;vege_0;62;
10075;final-crs_5;61;3467
10078;final-crs_3;62;1005
10358;gate-keeper;63;
10359;gate-keeper;64;
10363;frui_0;64;
10376;final-crs_9;64;2897
10379;meat_0;63;
10396;final-crs_6;63;4162
10600;gate-keeper;65;
10601;frui_0;65;
10601;gate-keeper;66;
10603;vege_1;66;
10609;final-crs_7;65;987
10613;final-crs_9;66;380
10996;gate-keeper;67;
10997;gate-keeper;68;
11002;vege_0;67;
11005;vege_1;68;
11009;final-crs_4;67;2573
11042;final-crs_1;68;2390
11324;gate-keeper;69;
11325;gate-keeper;70;
11327;vege_0;69;
11327;frui_0;70;
11354;final-crs_7;69;1861
11357;final-crs_8;70;1268
11576;gate-keeper;71;
11577;gate-keeper;72;
11582;vege_0;71;
11584;vege_1;72;
11595;final-crs_2;71;374
11627;final-crs_7;72;3584
11929;gate-keeper;73;
11930;gate-keeper;74;
11931;vege_0;73;
11934;vege_1;74;
11942;final-crs_6;73;1672
11962;final-crs_4;74;540
12301;gate-keeper;75;
12302;vege_0;75;
12302;gate-keeper;76;
12306;frui_0;76;
12323;final-crs_7;75;2372
12334;final-crs_8;76;1178
12594;gate-keeper;77;
12595;vege_0;77;
12595;gate-keeper;78;
12603;vege_1;78;
12619;final-crs_2;77;2393
12627;final-crs_6;78;4716
12962;gate-keeper;79;
12963;gate-keeper;80;
12964;gate-keeper;81;
12968;vege_1;79;
12969;vege_0;80;
12978;vege_0;81;
13017;final-crs_0;79;1458
13021;final-crs_3;80;336
13025;final-crs_8;81;517
13262;gate-keeper;82;
13263;vege_0;82;
13263;gate-keeper;83;
13267;final-crs_9;82;1481
13269;frui_0;83;
13277;final-crs_3;83;2825
13470;gate-keeper;84;
13471;gate-keeper;85;
13474;vege_0;84;
13479;vege_1;85;
13489;final-crs_8;84;1854
13558;final-crs_6;85;896
13890;gate-keeper;86;
13891;vege_0;86;
13891;gate-keeper;87;
13892;vege_1;87;
13897;final-crs_1;86;1945
13962;final-crs_3;87;798
14153;gate-keeper;88;
14154;gate-keeper;89;
14163;vege_0;88;
14163;vege_1;89;
14219;final-crs_2;88;673
14225;final-crs_4;89;2316
14451;gate-keeper;90;
14452;gate-keeper;91;
14457;vege_0;90;
14458;vege_1;91;
14473;final-crs_2;90;1468
14473;final-crs_9;91;2121
14747;gate-keeper;92;
14748;vege_1;92;
14748;gate-keeper;93;
14772;meat_0;93;
14784;final-crs_8;92;1992
14786;final-crs_6;93;3388
15035;gate-keeper;94;
15039;frui_1;94;
15058;final-crs_0;94;1668
15282;gate-keeper;95;
15283;gate-keeper;96;
15284;vege_0;95;
15291;vege_1;96;
15317;final-crs_8;95;2081
15339;final-crs_4;96;3932
15665;gate-keeper;97;
15666;gate-keeper;98;
15667;frui_0;97;
15670;final-crs_1;97;723
15683;meat_1;98;
15707;final-crs_9;98;1437
15941;gate-keeper;99;
15942;vege_1;99;
15942;gate-keeper;100;
15943;gate-keeper;101;
15944;gate-keeper;102;
