time;ckpt;id;money
352;gate-keeper;0;
354;vege_1;0;
411;final-crs_5;0;1473
635;gate-keeper;1;
636;vege_1;1;
636;gate-keeper;2;
647;meat_0;2;
655;final-crs_5;1;2013
675;final-crs_9;2;2447
902;gate-keeper;3;
904;meat_0;3;
933;final-crs_4;3;2318
1172;gate-keeper;4;
1174;vege_1;4;
1176;final-crs_1;4;845
1513;gate-keeper;5;
1519;frui_0;5;
1580;final-crs_4;5;514
1737;gate-keeper;6;
1755;meat_0;6;
1826;final-crs_4;6;1380
1957;gate-keeper;7;
1962;vege_1;7;
2040;final-crs_4;7;2104
2084;gate-keeper;8;
2085;frui_1;8;
2096;final-crs_6;8;2220
2396;gate-keeper;9;
2398;frui_0;9;
2410;final-crs_7;9;683
2707;gate-keeper;10;
2714;vege_0;10;
2780;final-crs_4;10;1578
2939;gate-keeper;11;
2942;vege_1;11;
2947;final-crs_7;11;1562
2984;gate-keeper;12;
2987;frui_0;12;
3031;final-crs_5;12;1095
3273;gate-keeper;13;
3274;vege_0;13;
3290;final-crs_0;13;341
3601;gate-keeper;14;
3606;vege_0;14;
3617;final-crs_3;14;683
3701;gate-keeper;15;
3702;vege_1;15;
3742;final-crs_1;15;1023
3944;gate-keeper;16;
3950;vege_0;16;
3985;final-crs_1;16;562
4230;gate-keeper;17;
4232;vege_1;17;
4239;final-crs_4;17;559
4498;gate-keeper;18;
4502;vege_1;18;
4515;final-crs_6;18;1169
4751;gate-keeper;19;
4752;vege_0;19;
4774;final-crs_6;19;1580
5024;gate-keeper;20;
5030;meat_1;20;
5040;final-crs_7;20;2450
5356;gate-keeper;21;
5357;gate-keeper;22;
5359;vege_0;21;
5363;vege_1;22;
5386;final-crs_1;21;3104
5431;final-crs_5;22;3089
5530;gate-keeper;23;
5533;vege_0;23;
5547;final-crs_7;23;708
5978;gate-keeper;24;
5998;meat_0;24;
6007;final-crs_6;24;1146
6271;gate-keeper;25;
6272;gate-keeper;26;
6290;meat_0;25;
