time;ckpt;id;money
606;gate-keeper;7;
623;meat_1;7;
655;final-crs_9;7;865
918;gate-keeper;11;
919;gate-keeper;12;
921;vege_1;12;
923;final-crs_7;12;531
926;meat_0;11;
931;final-crs_10;11;967
1205;gate-keeper;15;
1206;gate-keeper;16;
1207;vege_1;15;
1209;frui_1;16;
1212;final-crs_2;15;658
1234;final-crs_11;16;545
1515;gate-keeper;20;
1520;frui_1;20;
1623;final-crs_3;20;461
1764;gate-keeper;24;
1770;vege_1;24;
1877;final-crs_9;24;1173
1894;gate-keeper;25;
1895;gate-keeper;26;
1897;frui_0;25;
1899;frui_1;26;
1918;final-crs_5;25;474
1921;final-crs_4;26;477
2001;gate-keeper;27;
2005;frui_1;27;
2077;final-crs_8;27;584
2279;gate-keeper;29;
2280;gate-keeper;30;
2281;gate-keeper;31;
2282;gate-keeper;32;
2283;vege_0;31;
2283;frui_1;29;
2289;vege_1;32;
2306;meat_1;30;
2346;final-crs_9;31;298
2351;final-crs_2;29;77
2359;final-crs_7;32;239
2372;final-crs_8;30;920
2708;gate-keeper;37;
2711;vege_1;37;
2738;final-crs_1;37;785
2842;gate-keeper;38;
2843;gate-keeper;39;
2845;frui_1;38;
2846;vege_1;39;
2854;final-crs_9;38;756
2859;final-crs_11;39;539
3123;gate-keeper;41;
3124;gate-keeper;42;
3125;vege_0;41;
3125;gate-keeper;43;
3126;final-crs_0;41;1176
3133;vege_0;42;
3138;final-crs_3;42;481
3168;meat_0;43;
3195;final-crs_1;43;199
3596;gate-keeper;50;
3599;meat_0;50;
3602;final-crs_0;50;909
3775;gate-keeper;51;
3776;gate-keeper;52;
3780;frui_0;52;
3795;meat_1;51;
3825;final-crs_9;52;115
3831;final-crs_0;51;1116
4100;gate-keeper;57;
4106;frui_0;57;
4127;final-crs_5;57;1128
4403;gate-keeper;61;
4427;meat_0;61;
4430;final-crs_2;61;617
4434;gate-keeper;62;
4456;meat_1;62;
4526;final-crs_4;62;1226
4725;gate-keeper;65;
4726;gate-keeper;66;
4727;frui_1;65;
4729;vege_1;66;
4734;final-crs_3;65;896
4765;final-crs_6;66;616
5012;gate-keeper;70;
5013;gate-keeper;71;
5018;vege_1;70;
5021;vege_0;71;
5033;final-crs_6;70;1292
5051;final-crs_10;71;1071
5329;gate-keeper;75;
5330;vege_0;75;
5332;final-crs_10;75;1480
5576;gate-keeper;79;
5617;meat_1;79;
5633;final-crs_1;79;93
5890;gate-keeper;83;
5895;vege_1;83;
5909;final-crs_5;83;805
6124;gate-keeper;86;
6129;vege_1;86;
6133;final-crs_7;86;121
6199;gate-keeper;87;
6201;frui_1;87;
6237;final-crs_9;87;82
6511;gate-keeper;90;
6512;gate-keeper;91;
6513;gate-keeper;92;
6515;vege_1;90;
6516;final-crs_1;90;743
6517;vege_0;92;
6555;meat_1;91;
6566;final-crs_11;92;809
6573;final-crs_6;91;274
6745;gate-keeper;94;
6746;gate-keeper;95;
6748;vege_0;94;
6748;vege_1;95;
6759;final-crs_10;94;262
6765;final-crs_1;95;520
7097;gate-keeper;100;
7102;vege_0;100;
7144;final-crs_9;100;1269
7666;gate-keeper;108;
7667;vege_1;108;
7668;final-crs_10;108;654
7859;gate-keeper;109;
7860;gate-keeper;110;
7861;meat_0;109;
7861;gate-keeper;111;
7862;frui_0;111;
7866;vege_1;110;
7874;final-crs_2;109;1415
7875;final-crs_5;111;947
7899;final-crs_10;110;1906
8008;gate-keeper;113;
8009;gate-keeper;114;
8010;frui_0;114;
8027;meat_0;113;
8062;final-crs_3;114;195
8073;final-crs_6;113;179
8165;gate-keeper;115;
8166;gate-keeper;116;
8167;vege_0;116;
8207;final-crs_7;116;1014
8212;meat_0;115;
8228;final-crs_1;115;624
8455;gate-keeper;118;
8456;gate-keeper;119;
8457;vege_0;118;
8457;gate-keeper;120;
8458;vege_1;119;
8458;frui_1;120;
8466;final-crs_11;118;949
8479;final-crs_7;119;1318
