time;ckpt;id;money
306;gate-keeper;4;
307;vege_1;4;
424;final-crs_10;4;66
647;gate-keeper;9;
648;gate-keeper;10;
650;vege_0;9;
650;vege_1;10;
689;final-crs_7;9;589
700;final-crs_9;10;1320
904;gate-keeper;15;
924;meat_1;15;
940;final-crs_7;15;1106
970;gate-keeper;16;
972;vege_0;16;
975;final-crs_4;16;138
1284;gate-keeper;20;
1285;gate-keeper;21;
1286;gate-keeper;22;
1288;vege_1;21;
1289;frui_1;20;
1291;vege_0;22;
1300;final-crs_10;21;789
1329;final-crs_2;20;1010
1401;final-crs_6;22;1023
1594;gate-keeper;25;
1595;gate-keeper;26;
1596;vege_0;25;
1596;gate-keeper;27;
1598;vege_1;26;
1606;vege_0;27;
1635;final-crs_6;25;256
1641;final-crs_1;26;1995
1677;final-crs_3;27;1549
1899;gate-keeper;31;
1900;gate-keeper;32;
1901;gate-keeper;33;
1902;frui_0;31;
1919;meat_1;32;
1933;final-crs_3;31;1399
1949;final-crs_8;32;919
1953;meat_0;33;
1957;final-crs_11;33;637
2012;gate-keeper;34;
2013;gate-keeper;35;
2015;meat_0;34;
2030;final-crs_10;34;979
2056;meat_1;35;
2089;final-crs_6;35;1161
2219;gate-keeper;36;
2220;frui_0;36;
2220;gate-keeper;37;
2221;gate-keeper;38;
2222;final-crs_9;36;181
2227;vege_1;38;
2230;meat_1;37;
2249;final-crs_10;38;156
2250;final-crs_0;37;471
2486;gate-keeper;41;
2487;gate-keeper;42;
2488;gate-keeper;43;
2493;vege_0;41;
2494;vege_1;42;
2502;vege_0;43;
2519;final-crs_5;41;1187
2563;final-crs_6;42;334
2608;final-crs_7;43;807
2785;gate-keeper;46;
2786;gate-keeper;47;
2787;gate-keeper;48;
2794;vege_0;47;
2817;meat_0;46;
2818;final-crs_7;47;1036
2845;meat_1;48;
2848;final-crs_1;46;1409
2854;final-crs_6;48;308
2908;gate-keeper;49;
2909;gate-keeper;50;
2918;vege_1;49;
2919;vege_0;50;
2933;final-crs_9;49;350
2971;final-crs_10;50;814
3118;gate-keeper;52;
3119;gate-keeper;53;
3120;meat_1;52;
3120;gate-keeper;54;
3121;final-crs_8;52;957
3121;vege_0;53;
3126;final-crs_0;53;1088
3160;meat_0;54;
3162;final-crs_4;54;452
3603;gate-keeper;63;
3611;vege_1;63;
3616;final-crs_3;63;296
3759;gate-keeper;64;
3760;gate-keeper;65;
3761;vege_0;64;
3761;gate-keeper;66;
3768;vege_1;65;
3769;vege_0;66;
3773;final-crs_1;64;1360
3782;final-crs_7;65;1074
3813;final-crs_11;66;1527
3906;gate-keeper;68;
3911;vege_1;68;
3933;gate-keeper;69;
3937;vege_0;69;
3948;final-crs_10;68;776
3997;final-crs_1;69;1557
4216;gate-keeper;74;
4221;vege_0;74;
4226;final-crs_2;74;129
4550;gate-keeper;80;
4552;vege_0;80;
4563;final-crs_8;80;132
4757;gate-keeper;81;
4758;gate-keeper;82;
4759;vege_1;81;
4759;gate-keeper;83;
4760;frui_1;82;
4760;gate-keeper;84;
4765;vege_0;83;
4769;vege_1;84;
4779;final-crs_1;81;351
4788;final-crs_7;82;1766
4795;final-crs_9;83;1096
4796;final-crs_8;84;145
5157;gate-keeper;91;
5158;vege_1;91;
5162;final-crs_9;91;551
5506;gate-keeper;97;
5508;frui_0;97;
5549;final-crs_0;97;465
5769;gate-keeper;102;
5770;frui_1;102;
5797;final-crs_0;102;1234
5830;gate-keeper;103;
5831;vege_0;103;
5881;final-crs_7;103;747
6176;gate-keeper;109;
6179;vege_0;109;
6210;final-crs_6;109;287
6492;gate-keeper;112;
6493;frui_1;112;
6493;gate-keeper;113;
6494;gate-keeper;114;
6495;gate-keeper;115;
6496;frui_0;115;
6502;final-crs_0;112;1506
6505;meat_0;113;
6509;meat_1;114;
6575;final-crs_8;115;821
6613;final-crs_7;113;354
6616;final-crs_4;114;525
6627;gate-keeper;116;
6628;gate-keeper;117;
6629;vege_1;116;
6631;final-crs_9;116;798
6667;meat_0;117;
6678;final-crs_11;117;304
6827;gate-keeper;118;
6828;gate-keeper;119;
6829;gate-keeper;120;
6832;vege_0;118;
6844;final-crs_10;118;68
6848;meat_0;119;
6866;final-crs_6;119;633
6866;meat_1;120;
