time;ckpt;id;money
316;gate-keeper;3;
318;vege_1;3;
397;final-crs_6;3;924
648;gate-keeper;7;
655;vege_0;7;
678;final-crs_10;7;814
934;gate-keeper;11;
947;gate-keeper;12;
977;meat_0;11;
979;meat_1;12;
982;final-crs_2;11;1558
996;final-crs_3;12;232
1444;gate-keeper;16;
1445;frui_1;16;
1445;gate-keeper;17;
1446;gate-keeper;18;
1447;gate-keeper;19;
1452;vege_0;17;
1455;final-crs_2;16;257
1456;vege_1;18;
1461;vege_0;19;
1472;final-crs_8;17;720
1474;final-crs_3;18;800
1478;final-crs_9;19;1179
1718;gate-keeper;20;
1719;gate-keeper;21;
1720;gate-keeper;22;
1721;gate-keeper;23;
1722;vege_1;21;
1729;vege_0;22;
1760;meat_0;20;
1774;meat_1;23;
1778;final-crs_11;21;285
1807;final-crs_1;22;1020
1842;final-crs_0;20;1996
1863;final-crs_10;23;273
2113;gate-keeper;28;
2114;vege_0;28;
2123;final-crs_0;28;2546
2474;gate-keeper;33;
2497;meat_1;33;
2525;final-crs_1;33;1576
2668;gate-keeper;34;
2669;vege_0;34;
2669;gate-keeper;35;
2670;gate-keeper;36;
2672;final-crs_9;34;1331
2672;vege_1;36;
2691;meat_1;35;
2737;final-crs_8;36;126
2761;final-crs_3;35;685
3248;gate-keeper;41;
3249;gate-keeper;42;
3250;gate-keeper;43;
3251;gate-keeper;44;
3252;gate-keeper;45;
3255;vege_0;42;
3255;vege_1;43;
3260;meat_1;41;
3267;final-crs_3;42;1200
3267;meat_0;44;
3293;final-crs_10;43;2386
3315;meat_1;45;
3327;final-crs_2;41;1978
3337;final-crs_5;44;1502
3346;final-crs_6;45;520
3352;gate-keeper;46;
3377;meat_1;46;
3402;final-crs_7;46;386
3513;gate-keeper;47;
3514;vege_0;47;
3514;gate-keeper;48;
3515;frui_0;48;
3515;gate-keeper;49;
3536;final-crs_3;47;866
3542;meat_1;49;
3549;final-crs_10;48;1160
3551;final-crs_5;49;833
3838;gate-keeper;52;
3839;gate-keeper;53;
3846;vege_1;52;
3850;final-crs_4;52;2776
3876;meat_0;53;
3924;final-crs_8;53;1662
3974;gate-keeper;55;
3977;vege_1;55;
4032;final-crs_5;55;1088
4126;gate-keeper;56;
4127;gate-keeper;57;
4132;vege_1;57;
4132;meat_1;56;
4144;final-crs_2;57;1399
4156;final-crs_3;56;970
4156;gate-keeper;58;
4157;frui_1;58;
4169;final-crs_1;58;1738
4936;gate-keeper;67;
4937;vege_1;67;
4937;gate-keeper;68;
4938;gate-keeper;69;
4939;vege_0;68;
4942;final-crs_5;67;186
4971;final-crs_10;68;2586
4996;meat_0;69;
5005;final-crs_11;69;133
5377;gate-keeper;75;
5415;meat_0;75;
5422;final-crs_4;75;834
5686;gate-keeper;79;
5709;meat_0;79;
5744;final-crs_11;79;732
5885;gate-keeper;80;
5886;gate-keeper;81;
5887;gate-keeper;82;
5888;frui_0;81;
5893;vege_0;80;
5894;vege_1;82;
5895;final-crs_8;81;659
5899;final-crs_10;80;1213
5906;final-crs_3;82;575
5994;gate-keeper;84;
5996;frui_1;84;
6049;final-crs_2;84;1175
6263;gate-keeper;88;
6266;vege_0;88;
6277;final-crs_6;88;341
6609;gate-keeper;92;
6610;gate-keeper;93;
6618;vege_0;92;
6619;vege_1;93;
6622;final-crs_3;92;254
6636;final-crs_0;93;449
6764;gate-keeper;94;
6765;gate-keeper;95;
6771;vege_0;95;
6798;meat_0;94;
6813;final-crs_9;95;1034
6817;final-crs_2;94;325
7261;gate-keeper;101;
7262;gate-keeper;102;
7266;vege_0;101;
7267;final-crs_1;101;488
7268;vege_1;102;
7273;final-crs_9;102;868
7543;gate-keeper;105;
7544;gate-keeper;106;
7548;meat_0;105;
7549;vege_1;106;
7574;gate-keeper;107;
7589;final-crs_8;105;758
7597;meat_1;107;
7598;final-crs_5;106;1284
7611;final-crs_3;107;1111
7826;gate-keeper;110;
7865;meat_0;110;
7877;final-crs_4;110;559
8133;gate-keeper;114;
8134;gate-keeper;115;
8142;vege_1;115;
8152;meat_1;114;
8179;final-crs_0;115;174
8196;final-crs_1;114;283
8366;gate-keeper;118;
8370;frui_1;118;
8377;final-crs_0;118;1377
8446;gate-keeper;119;
8449;vege_0;119;
8457;final-crs_1;119;490
8790;gate-keeper;122;
8791;gate-keeper;123;
8792;vege_0;123;
8792;gate-keeper;124;
8799;final-crs_2;123;466
8806;meat_1;122;
8808;final-crs_3;122;1272
8832;meat_0;124;
8837;final-crs_4;124;2290
9052;gate-keeper;126;
9053;gate-keeper;127;
9057;frui_1;126;
9059;final-crs_0;126;556
9064;meat_0;127;
9129;final-crs_10;127;218
9324;gate-keeper;130;
9325;vege_0;130;
9325;gate-keeper;131;
9334;vege_0;131;
9367;final-crs_10;130;275
9386;gate-keeper;132;
9393;vege_1;132;
9409;final-crs_1;131;1346
9460;final-crs_9;132;974
9589;gate-keeper;134;
9590;gate-keeper;135;
9591;vege_0;135;
9594;final-crs_10;135;1349
9625;meat_0;134;
9704;final-crs_9;134;742
9888;gate-keeper;138;
9889;gate-keeper;139;
9896;vege_0;138;
9934;final-crs_11;138;169
9939;meat_0;139;
9963;final-crs_9;139;518
10134;gate-keeper;141;
10135;gate-keeper;142;
10136;frui_0;141;
10169;final-crs_11;141;704
10179;meat_0;142;
10187;final-crs_3;142;405
10225;gate-keeper;143;
10233;meat_1;143;
10237;final-crs_9;143;193
10756;gate-keeper;151;
10761;vege_0;151;
10764;final-crs_8;151;1274
11029;gate-keeper;154;
11030;gate-keeper;155;
11048;meat_0;154;
11058;final-crs_1;154;1196
11076;gate-keeper;156;
11077;meat_1;155;
11094;final-crs_4;155;356
11118;meat_0;156;
11130;final-crs_11;156;787
11333;gate-keeper;159;
11336;frui_1;159;
11351;final-crs_4;159;608
11635;gate-keeper;164;
11638;vege_1;164;
11647;final-crs_3;164;1084
11957;gate-keeper;169;
11960;vege_0;169;
11974;final-crs_9;169;236
12262;gate-keeper;173;
12265;frui_1;173;
12301;final-crs_5;173;1770
12492;gate-keeper;176;
12494;vege_1;176;
12505;final-crs_6;176;1213
12778;gate-keeper;177;
12779;gate-keeper;178;
12780;gate-keeper;179;
12781;vege_1;177;
12781;gate-keeper;180;
12784;vege_0;178;
12791;vege_1;179;
12793;vege_0;180;
12823;final-crs_4;177;2061
12823;final-crs_11;178;620
12838;final-crs_7;179;496
12895;final-crs_8;180;1000
13080;gate-keeper;182;
13081;gate-keeper;183;
13082;gate-keeper;184;
13083;meat_1;182;
13083;gate-keeper;185;
13084;vege_1;183;
13091;vege_0;184;
13092;vege_1;185;
13094;final-crs_4;182;69
13144;final-crs_8;183;72
13152;final-crs_3;184;1422
13164;final-crs_6;185;289
13332;gate-keeper;187;
13333;gate-keeper;188;
13334;meat_0;187;
13335;vege_1;188;
13339;final-crs_4;187;866
13363;final-crs_8;188;642
13613;gate-keeper;189;
13614;gate-keeper;190;
13615;gate-keeper;191;
13616;gate-keeper;192;
13619;vege_0;189;
13620;frui_0;191;
13621;vege_1;190;
13628;vege_0;192;
13638;final-crs_8;189;1034
13643;final-crs_2;191;631
13648;final-crs_1;190;1297
13655;final-crs_10;192;1168
13893;gate-keeper;194;
13894;gate-keeper;195;
13895;gate-keeper;196;
13900;vege_1;194;
13902;vege_0;195;
13910;final-crs_9;194;838
13910;vege_1;196;
13945;final-crs_0;195;1699
13955;final-crs_5;196;899
14164;gate-keeper;199;
14165;gate-keeper;200;
14170;frui_0;200;
14189;meat_1;199;
14216;final-crs_5;200;911
14221;final-crs_11;199;346
14478;gate-keeper;203;
14479;gate-keeper;204;
14482;vege_0;203;
14484;frui_1;204;
14488;final-crs_7;203;1094
14538;final-crs_2;204;454
14827;gate-keeper;208;
14828;gate-keeper;209;
14833;vege_1;209;
14839;final-crs_3;209;178
14862;meat_1;208;
14872;final-crs_4;208;1107
15087;gate-keeper;213;
15090;frui_1;213;
15092;final-crs_2;213;2343
15442;gate-keeper;217;
15443;gate-keeper;218;
15448;vege_0;217;
15451;vege_1;218;
15490;final-crs_6;217;1650
15532;final-crs_1;218;520
15735;gate-keeper;221;
15736;gate-keeper;222;
15737;vege_0;221;
15746;final-crs_1;221;1715
15756;meat_1;222;
15789;final-crs_2;222;548
16024;gate-keeper;225;
16025;gate-keeper;226;
16062;meat_1;225;
16066;final-crs_4;225;522
16076;meat_0;226;
16089;final-crs_0;226;1114
16310;gate-keeper;228;
16311;gate-keeper;229;
16312;vege_0;228;
16312;gate-keeper;230;
16315;vege_1;230;
16329;final-crs_11;228;1623
16330;final-crs_0;230;1507
16343;meat_1;229;
16348;final-crs_7;229;926
16433;gate-keeper;231;
16435;vege_1;231;
16471;final-crs_1;231;570
16651;gate-keeper;235;
16668;meat_0;235;
16675;final-crs_1;235;237
16978;gate-keeper;237;
16979;gate-keeper;238;
16980;gate-keeper;239;
16982;vege_0;238;
16982;vege_1;239;
16986;final-crs_8;238;889
16989;meat_0;237;
16990;final-crs_2;239;271
16996;final-crs_3;237;872
17319;gate-keeper;242;
17320;gate-keeper;243;
17321;gate-keeper;244;
17323;vege_1;242;
17327;vege_0;243;
17330;vege_1;244;
17336;final-crs_1;242;1273
17369;final-crs_6;243;550
17407;gate-keeper;246;
17413;vege_0;246;
17420;final-crs_0;244;1047
17431;final-crs_4;246;1332
17627;gate-keeper;248;
17628;gate-keeper;249;
17637;vege_1;249;
17641;final-crs_6;249;1487
17656;meat_0;248;
17663;final-crs_4;248;987
17945;gate-keeper;252;
17946;gate-keeper;253;
17952;vege_1;252;
17961;final-crs_3;252;78
18002;meat_1;253;
18033;final-crs_11;253;461
18193;gate-keeper;255;
18194;gate-keeper;256;
18197;vege_0;256;
18215;final-crs_7;256;813
18234;meat_0;255;
18258;final-crs_11;255;1257
18258;gate-keeper;257;
18260;vege_0;257;
18282;final-crs_8;257;1218
18591;gate-keeper;262;
18594;frui_1;262;
18603;final-crs_10;262;888
18936;gate-keeper;267;
18964;meat_0;267;
18987;final-crs_5;267;1338
19249;gate-keeper;268;
19250;gate-keeper;269;
19251;gate-keeper;270;
19252;gate-keeper;271;
19253;gate-keeper;272;
19254;vege_0;268;
19257;vege_1;269;
19262;vege_0;270;
19265;vege_1;271;
19269;final-crs_8;268;63
19272;vege_0;272;
19289;final-crs_11;269;889
19298;final-crs_9;270;1254
19308;final-crs_10;271;1007
19310;final-crs_2;272;750
19611;gate-keeper;289;
19612;frui_0;289;
19632;final-crs_0;289;1345
19927;gate-keeper;302;
19928;gate-keeper;303;
19929;gate-keeper;304;
19930;vege_0;302;
19930;gate-keeper;305;
19931;gate-keeper;306;
19932;vege_1;306;
19932;gate-keeper;307;
19933;frui_1;303;
19933;gate-keeper;308;
19934;frui_0;304;
19934;gate-keeper;309;
19935;gate-keeper;310;
19936;gate-keeper;311;
19937;gate-keeper;312;
19938;gate-keeper;313;
19940;vege_0;308;
19940;frui_0;305;
19942;final-crs_8;302;1921
19942;vege_1;310;
19942;meat_0;307;
19947;final-crs_7;306;1554
19949;vege_0;311;
19952;vege_1;312;
19956;meat_1;309;
19959;vege_0;313;
20017;final-crs_11;303;861
20018;final-crs_9;304;686
20026;final-crs_1;308;1302
20049;final-crs_10;305;1744
20063;final-crs_2;310;1592
20074;final-crs_0;307;764
20074;final-crs_4;311;905
20081;final-crs_5;312;409
20089;final-crs_6;309;1214
20122;final-crs_3;313;336
20177;gate-keeper;326;
20178;vege_0;326;
20178;gate-keeper;327;
20179;gate-keeper;328;
20180;gate-keeper;329;
20181;gate-keeper;330;
20182;gate-keeper;331;
20183;gate-keeper;332;
20184;frui_0;331;
20184;gate-keeper;333;
20185;gate-keeper;334;
20186;gate-keeper;335;
20187;gate-keeper;336;
20188;vege_1;327;
20188;meat_1;329;
20189;vege_0;328;
20196;vege_0;332;
20196;vege_1;335;
20221;final-crs_1;326;372
20221;meat_0;330;
20236;gate-keeper;337;
20239;final-crs_11;331;1676
20247;meat_1;333;
20278;meat_0;334;
20281;final-crs_2;327;631
20286;final-crs_9;329;1675
20286;final-crs_10;328;1194
20304;meat_1;336;
20319;final-crs_6;332;491
20322;final-crs_5;335;563
20326;meat_0;337;
20332;final-crs_0;330;1560
20335;final-crs_4;333;336
20342;final-crs_3;334;162
20422;final-crs_7;336;1819
20428;final-crs_8;337;969
20519;gate-keeper;340;
20520;frui_0;340;
20520;gate-keeper;341;
20521;gate-keeper;342;
20522;vege_0;341;
20522;gate-keeper;343;
20523;gate-keeper;344;
20524;vege_1;343;
20524;gate-keeper;345;
20525;gate-keeper;346;
20526;gate-keeper;347;
20527;frui_0;346;
20527;gate-keeper;348;
20528;gate-keeper;349;
20529;gate-keeper;350;
20530;gate-keeper;351;
20531;vege_0;345;
20531;frui_1;347;
20534;vege_1;348;
20541;vege_0;350;
20543;vege_1;351;
20543;meat_0;342;
20547;final-crs_6;340;1521
20549;final-crs_9;341;421
20551;final-crs_2;343;1083
20557;final-crs_3;346;1700
20561;meat_1;344;
20566;final-crs_0;345;316
20577;final-crs_4;347;1536
20599;meat_0;349;
20614;final-crs_8;348;1728
20650;final-crs_7;350;387
20682;final-crs_11;351;342
20713;final-crs_10;342;726
20722;final-crs_1;344;1334
20750;final-crs_6;349;1347
20833;gate-keeper;357;
20834;gate-keeper;358;
20835;vege_0;357;
20842;final-crs_0;357;1215
20849;meat_0;358;
20876;final-crs_4;358;398
21072;gate-keeper;362;
21076;vege_1;362;
21092;final-crs_4;362;2538
21168;gate-keeper;363;
21225;meat_0;363;
21231;final-crs_5;363;1077
21459;gate-keeper;366;
21460;gate-keeper;367;
21461;gate-keeper;368;
21462;vege_1;368;
21462;gate-keeper;369;
21463;gate-keeper;370;
21464;gate-keeper;371;
21465;gate-keeper;372;
21466;gate-keeper;373;
21467;final-crs_6;368;105
21467;vege_0;370;
21467;meat_1;366;
21467;gate-keeper;374;
21468;gate-keeper;375;
21469;gate-keeper;376;
21470;gate-keeper;377;
21471;final-crs_9;370;1872
21471;vege_1;372;
21471;meat_0;367;
21477;vege_0;373;
21481;final-crs_3;366;395
21482;vege_1;374;
21486;vege_0;376;
21492;vege_1;377;
21524;meat_0;369;
21526;meat_1;371;
21535;final-crs_8;372;1434
21538;final-crs_0;367;778
21571;final-crs_4;373;510
21584;meat_0;375;
21585;final-crs_1;374;717
21624;final-crs_10;376;1073
21644;final-crs_7;377;143
21646;final-crs_5;369;1178
21679;final-crs_11;371;401
21693;final-crs_6;375;1761
21762;gate-keeper;390;
21763;gate-keeper;391;
21764;gate-keeper;392;
21765;vege_0;390;
21765;gate-keeper;393;
21766;vege_1;393;
21766;frui_1;391;
21766;gate-keeper;394;
21767;gate-keeper;395;
21768;gate-keeper;396;
21769;gate-keeper;397;
21772;final-crs_8;390;1373
21772;frui_1;395;
21774;vege_0;397;
21776;final-crs_4;393;909
21776;meat_0;392;
21784;final-crs_0;391;966
21820;final-crs_10;395;1217
21828;meat_1;394;
21837;meat_0;396;
21860;final-crs_1;397;1837
21884;final-crs_7;392;1005
21904;final-crs_5;394;194
21920;final-crs_6;396;936
21955;gate-keeper;410;
21956;gate-keeper;411;
21957;gate-keeper;412;
21958;gate-keeper;413;
21959;frui_1;413;
21962;meat_0;410;
21964;vege_0;411;
21979;final-crs_9;413;711
22009;meat_1;412;
22030;final-crs_10;410;1233
22032;final-crs_8;411;841
22039;final-crs_0;412;1301
22044;gate-keeper;414;
22049;vege_1;414;
22077;final-crs_1;414;2178
22327;gate-keeper;417;
22328;gate-keeper;418;
22331;frui_1;417;
22332;vege_1;418;
22407;final-crs_5;417;2035
22408;final-crs_11;418;635
22632;gate-keeper;421;
22633;gate-keeper;422;
22636;frui_0;422;
22638;vege_0;421;
22654;final-crs_7;422;1295
22662;final-crs_11;421;99
22677;gate-keeper;423;
22679;meat_0;423;
22683;final-crs_6;423;1343
22909;gate-keeper;425;
22910;gate-keeper;426;
22912;vege_0;426;
22918;meat_0;425;
22919;final-crs_11;426;434
22925;final-crs_3;425;313
23573;gate-keeper;443;
23574;gate-keeper;444;
23575;gate-keeper;445;
23576;gate-keeper;446;
23577;gate-keeper;447;
23578;gate-keeper;448;
23579;frui_1;443;
23580;vege_1;444;
23580;frui_0;446;
23584;vege_0;445;
23588;vege_1;447;
23589;final-crs_2;443;978
23591;meat_0;448;
23602;gate-keeper;449;
23603;final-crs_5;444;1010
23607;vege_1;449;
23609;final-crs_6;446;144
23615;final-crs_1;445;390
23628;final-crs_11;447;723
23630;final-crs_3;448;1120
23667;final-crs_0;449;529
23954;gate-keeper;452;
23955;gate-keeper;453;
23956;gate-keeper;454;
23960;vege_1;453;
23961;vege_0;454;
23969;final-crs_4;453;742
23981;final-crs_2;454;873
23985;meat_1;452;
23997;final-crs_3;452;1236
24246;gate-keeper;457;
24247;gate-keeper;458;
24248;vege_1;458;
24265;meat_0;457;
24272;final-crs_3;458;381
24288;final-crs_5;457;940
24512;gate-keeper;471;
24513;gate-keeper;472;
24514;vege_0;472;
24514;gate-keeper;473;
24515;meat_0;471;
24515;gate-keeper;474;
24516;gate-keeper;475;
24521;frui_0;474;
24523;vege_1;475;
24556;final-crs_5;472;1659
24570;final-crs_1;471;1597
24575;meat_1;473;
24578;final-crs_11;474;984
24616;final-crs_0;475;573
24630;final-crs_4;473;1214
24794;gate-keeper;478;
24795;gate-keeper;479;
24796;frui_1;478;
24808;final-crs_1;478;1719
24817;meat_1;479;
24850;final-crs_8;479;1266
25113;gate-keeper;483;
25116;vege_1;483;
25132;final-crs_9;483;587
25390;gate-keeper;487;
25395;vege_1;487;
25419;final-crs_10;487;337
25502;gate-keeper;488;
25503;gate-keeper;489;
25507;vege_1;489;
25519;final-crs_5;489;589
25537;meat_1;488;
25543;final-crs_1;488;337
25721;gate-keeper;491;
25722;gate-keeper;492;
25727;vege_1;491;
25756;final-crs_5;491;374
25774;meat_0;492;
25802;final-crs_11;492;1131
25999;gate-keeper;496;
26011;meat_1;496;
26014;final-crs_11;496;386
26289;gate-keeper;500;
26294;vege_0;500;
26297;final-crs_8;500;434
26494;gate-keeper;501;
26495;gate-keeper;502;
26496;gate-keeper;503;
26502;vege_0;501;
26504;final-crs_0;501;1439
26514;meat_1;502;
26531;final-crs_1;502;709
26550;meat_0;503;
26560;final-crs_6;503;979
26589;gate-keeper;505;
26591;vege_0;505;
26596;final-crs_3;505;755
26900;gate-keeper;509;
26901;vege_1;509;
26901;gate-keeper;510;
26907;frui_0;510;
26964;final-crs_5;509;560
26971;final-crs_1;510;1665
27198;gate-keeper;513;
27199;gate-keeper;514;
27202;frui_0;513;
27210;final-crs_5;513;1561
27229;meat_1;514;
27240;final-crs_9;514;1419
27499;gate-keeper;517;
27500;gate-keeper;518;
27506;vege_1;517;
27508;final-crs_0;517;594
27508;vege_0;518;
27512;final-crs_9;518;119
27530;gate-keeper;519;
27580;meat_0;519;
27589;final-crs_3;519;749
27827;gate-keeper;522;
27828;gate-keeper;523;
27829;frui_0;523;
27831;vege_1;522;
27865;final-crs_7;523;111
27917;final-crs_2;522;1055
28122;gate-keeper;526;
28123;gate-keeper;527;
28126;vege_0;527;
28128;meat_0;526;
28180;final-crs_2;527;891
28192;final-crs_1;526;753
28447;gate-keeper;532;
28470;meat_1;532;
28483;final-crs_3;532;99
28531;gate-keeper;533;
28568;meat_0;533;
28569;final-crs_7;533;145
28751;gate-keeper;535;
28752;gate-keeper;536;
28760;vege_0;535;
28788;final-crs_6;535;339
28789;meat_0;536;
28808;final-crs_9;536;319
29065;gate-keeper;540;
29066;gate-keeper;541;
29077;meat_0;540;
29099;final-crs_7;540;1133
29123;meat_1;541;
29124;final-crs_11;541;1034
29382;gate-keeper;544;
29383;gate-keeper;545;
29385;vege_0;544;
29388;final-crs_2;544;1883
29392;vege_1;545;
29395;final-crs_11;545;1030
29422;gate-keeper;546;
29424;vege_0;546;
29431;final-crs_5;546;1350
29693;gate-keeper;547;
29694;gate-keeper;548;
29695;vege_1;547;
29695;gate-keeper;549;
29696;meat_1;548;
29696;gate-keeper;550;
29698;vege_0;550;
29735;meat_0;549;
29739;final-crs_9;547;361
29743;final-crs_10;548;206
29748;final-crs_6;550;149
29829;final-crs_7;549;742
29989;gate-keeper;552;
29990;vege_1;552;
29990;gate-keeper;553;
29991;gate-keeper;554;
29995;final-crs_6;552;439
29996;vege_0;553;
30009;meat_0;554;
30057;final-crs_2;553;1817
30072;final-crs_7;554;236
30593;gate-keeper;560;
30594;gate-keeper;561;
30595;gate-keeper;562;
30608;meat_1;560;
30636;meat_0;561;
30646;final-crs_0;560;402
30652;final-crs_11;561;1665
30672;meat_1;562;
30678;final-crs_4;562;1661
30880;gate-keeper;564;
30881;gate-keeper;565;
30882;vege_1;564;
30882;gate-keeper;566;
30883;final-crs_11;564;304
30907;meat_0;565;
30911;final-crs_4;565;1757
30935;meat_1;566;
30983;final-crs_6;566;1336
31245;gate-keeper;572;
31247;vege_0;572;
31253;final-crs_1;572;767
32199;gate-keeper;584;
32200;frui_1;584;
32200;gate-keeper;585;
32221;meat_1;585;
32243;final-crs_9;584;1062
32262;final-crs_3;585;2107
32287;gate-keeper;586;
32296;vege_0;586;
32299;final-crs_10;586;2027
32412;gate-keeper;588;
32424;meat_0;588;
32427;final-crs_2;588;246
32741;gate-keeper;592;
32763;meat_0;592;
32773;final-crs_10;592;712
33042;gate-keeper;597;
33059;meat_0;597;
33091;final-crs_2;597;2364
33331;gate-keeper;600;
33332;frui_1;600;
33344;final-crs_9;600;1264
33890;gate-keeper;605;
33891;gate-keeper;606;
33892;gate-keeper;607;
33893;gate-keeper;608;
33894;frui_0;608;
33895;vege_1;605;
