time;ckpt;id;money
261;gate-keeper;0;
262;gate-keeper;1;
263;gate-keeper;2;
264;frui_0;2;
264;gate-keeper;3;
265;vege_0;0;
265;vege_1;1;
266;final-crs_4;2;2438
266;frui_1;3;
270;final-crs_1;0;517
396;final-crs_0;1;3953
455;final-crs_2;3;1484
525;gate-keeper;4;
526;gate-keeper;5;
527;vege_1;4;
527;gate-keeper;6;
528;gate-keeper;7;
535;vege_0;5;
536;vege_1;6;
544;vege_0;7;
675;final-crs_9;4;1167
677;final-crs_0;5;858
697;final-crs_7;6;2010
705;final-crs_10;7;3103
806;gate-keeper;9;
807;gate-keeper;10;
808;gate-keeper;11;
809;frui_0;9;
810;vege_1;11;
836;meat_0;10;
893;final-crs_8;9;1314
900;final-crs_9;11;2577
931;final-crs_10;10;2226
1142;gate-keeper;15;
1143;gate-keeper;16;
1145;frui_0;15;
1148;vege_0;16;
1178;final-crs_10;15;555
1180;final-crs_0;16;1505
1436;gate-keeper;20;
1437;vege_1;20;
1437;gate-keeper;21;
1444;final-crs_4;20;294
1444;vege_0;21;
1467;final-crs_6;21;749
1712;gate-keeper;24;
1713;gate-keeper;25;
1714;frui_0;24;
1715;frui_1;25;
1723;final-crs_6;24;1089
1733;final-crs_5;25;2362
1816;gate-keeper;26;
1817;vege_1;26;
1817;gate-keeper;27;
1820;vege_0;27;
1834;final-crs_8;26;174
1854;final-crs_10;27;1600
2005;gate-keeper;29;
2006;gate-keeper;30;
2011;vege_1;29;
2018;final-crs_9;29;1103
2032;meat_1;30;
2041;final-crs_2;30;1949
2348;gate-keeper;33;
2349;gate-keeper;34;
2350;frui_0;33;
2350;gate-keeper;35;
2352;vege_0;34;
2353;vege_1;35;
2379;final-crs_10;33;562
2428;final-crs_4;34;2078
2445;final-crs_7;35;2106
2627;gate-keeper;39;
2634;vege_0;39;
2653;final-crs_6;39;2425
2803;gate-keeper;40;
2804;gate-keeper;41;
2805;gate-keeper;42;
2810;vege_1;40;
2811;vege_0;41;
2820;vege_1;42;
2838;final-crs_0;40;2469
2842;final-crs_10;41;1999
2896;final-crs_3;42;491
2914;gate-keeper;43;
2915;gate-keeper;44;
2918;vege_0;43;
2918;frui_1;44;
2944;final-crs_11;43;3424
2951;final-crs_1;44;2956
3224;gate-keeper;48;
3227;vege_0;48;
3255;final-crs_8;48;793
3557;gate-keeper;53;
3558;gate-keeper;54;
3559;vege_0;53;
3561;vege_1;54;
3580;final-crs_10;53;1762
3585;final-crs_3;54;727
3658;gate-keeper;55;
3659;gate-keeper;56;
3667;vege_1;55;
3668;vege_0;56;
3671;final-crs_7;55;1021
3691;final-crs_5;56;2177
3795;gate-keeper;58;
3798;frui_1;58;
3832;final-crs_3;58;1841
3849;gate-keeper;59;
3852;frui_1;59;
3855;final-crs_10;59;809
4076;gate-keeper;62;
4079;vege_1;62;
4093;final-crs_10;62;1141
4415;gate-keeper;67;
4416;gate-keeper;68;
4421;vege_0;68;
4421;frui_0;67;
4424;final-crs_1;68;677
4427;final-crs_2;67;479
4644;gate-keeper;72;
4650;vege_0;72;
4654;final-crs_8;72;1561
4737;gate-keeper;73;
4738;gate-keeper;74;
4742;vege_0;73;
4745;vege_1;74;
4812;final-crs_3;73;921
4841;final-crs_10;74;489
5007;gate-keeper;76;
5008;vege_1;76;
5008;gate-keeper;77;
5009;gate-keeper;78;
5011;final-crs_6;76;1540
5016;vege_1;77;
5017;vege_0;78;
5052;final-crs_3;77;473
5081;final-crs_10;78;521
5272;gate-keeper;81;
5273;gate-keeper;82;
5275;vege_0;81;
5280;vege_1;82;
5298;final-crs_3;81;2635
5313;final-crs_10;82;1914
5479;gate-keeper;85;
5501;meat_0;85;
5526;final-crs_3;85;3446
5594;gate-keeper;87;
5596;vege_1;87;
5618;final-crs_9;87;1342
5901;gate-keeper;91;
5903;vege_0;91;
5905;final-crs_7;91;1489
6265;gate-keeper;97;
6280;meat_1;97;
6286;final-crs_11;97;1564
6463;gate-keeper;100;
6464;vege_1;100;
6501;final-crs_6;100;713
6542;gate-keeper;101;
6544;vege_0;101;
6545;final-crs_0;101;3244
6838;gate-keeper;105;
6839;gate-keeper;106;
6841;vege_1;105;
6846;vege_0;106;
6849;final-crs_8;105;1585
6875;final-crs_4;106;1918
7181;gate-keeper;111;
7187;frui_1;111;
7242;final-crs_6;111;1807
7348;gate-keeper;114;
7349;vege_1;114;
7359;final-crs_4;114;1405
7387;gate-keeper;115;
7394;vege_1;115;
7418;final-crs_3;115;268
7521;gate-keeper;116;
7522;gate-keeper;117;
7525;vege_0;116;
7529;vege_1;117;
7544;final-crs_11;116;844
7560;final-crs_0;117;2536
7802;gate-keeper;119;
7803;gate-keeper;120;
7804;frui_0;120;
7804;gate-keeper;121;
7807;vege_1;119;
7812;vege_0;121;
7817;final-crs_10;120;1974
7850;final-crs_8;119;2698
7870;final-crs_4;121;2239
8056;gate-keeper;123;
8057;gate-keeper;124;
8058;gate-keeper;125;
8066;vege_0;124;
8066;meat_1;123;
8068;vege_1;125;
8075;final-crs_10;124;1741
8077;final-crs_4;123;1687
8091;final-crs_5;125;3203
8363;gate-keeper;128;
8364;gate-keeper;129;
8365;gate-keeper;130;
8367;vege_0;128;
8368;vege_1;130;
8369;frui_0;129;
8378;final-crs_6;128;1429
8391;final-crs_7;130;2956
8392;final-crs_11;129;1019
8686;gate-keeper;133;
8687;gate-keeper;134;
8688;gate-keeper;135;
8689;vege_1;134;
8691;frui_0;133;
8696;vege_0;135;
8732;final-crs_0;134;1786
8785;final-crs_10;133;1830
8796;final-crs_4;135;2602
8975;gate-keeper;137;
8976;gate-keeper;138;
8977;gate-keeper;139;
8985;vege_0;137;
8986;vege_1;138;
8994;vege_0;139;
9036;final-crs_4;137;1892
9037;final-crs_3;138;1239
9046;final-crs_10;139;818
9252;gate-keeper;143;
9253;gate-keeper;144;
9255;frui_1;143;
9267;meat_1;144;
9287;final-crs_8;143;352
9293;final-crs_1;144;3258
9530;gate-keeper;149;
9537;vege_0;149;
9544;final-crs_3;149;1784
10109;gate-keeper;158;
10111;vege_1;158;
10131;final-crs_2;158;442
10219;gate-keeper;159;
10220;frui_1;159;
10220;gate-keeper;160;
10221;vege_0;160;
10284;final-crs_11;159;67
10290;final-crs_1;160;285
10405;gate-keeper;163;
10407;vege_0;163;
10408;final-crs_7;163;411
10522;gate-keeper;164;
10524;vege_0;164;
10543;final-crs_5;164;2624
10666;gate-keeper;167;
10669;vege_1;167;
10688;final-crs_8;167;1851
11207;gate-keeper;172;
11208;gate-keeper;173;
11209;gate-keeper;174;
11210;gate-keeper;175;
11211;vege_0;172;
11215;vege_1;173;
11220;vege_0;175;
11241;final-crs_4;172;1424
11250;final-crs_11;173;1745
11262;final-crs_1;175;2437
11262;meat_1;174;
11263;gate-keeper;176;
11268;vege_1;176;
11314;final-crs_9;174;901
11343;final-crs_7;176;2882
11879;gate-keeper;184;
11880;gate-keeper;185;
11881;gate-keeper;186;
11883;vege_1;185;
11884;frui_0;184;
11885;frui_1;186;
11924;final-crs_5;185;1157
11941;final-crs_6;184;536
11951;final-crs_1;186;2901
12149;gate-keeper;188;
12150;gate-keeper;189;
12151;gate-keeper;190;
12153;frui_0;190;
12159;vege_0;188;
12159;vege_1;189;
12165;final-crs_1;190;2002
12165;final-crs_5;188;687
12165;final-crs_6;189;1529
12427;gate-keeper;192;
12428;gate-keeper;193;
12429;gate-keeper;194;
12430;gate-keeper;195;
12431;meat_0;192;
12432;vege_1;193;
12433;vege_0;194;
12440;vege_1;195;
12457;final-crs_11;192;614
12498;final-crs_0;193;1446
12503;final-crs_8;194;2281
12518;final-crs_10;195;67
13015;gate-keeper;201;
13016;frui_1;201;
13016;gate-keeper;202;
13017;gate-keeper;203;
13018;vege_1;203;
13018;frui_0;202;
13018;gate-keeper;204;
13024;final-crs_0;201;1646
13025;vege_0;204;
13028;final-crs_4;203;3220
13078;final-crs_6;202;1472
13102;gate-keeper;205;
13107;vege_1;205;
13117;final-crs_5;204;306
13124;final-crs_9;205;489
