time;ckpt;id;money
361;gate-keeper;6;
362;gate-keeper;7;
364;vege_0;6;
370;vege_1;7;
422;final-crs_6;6;2888
439;final-crs_4;7;1756
637;gate-keeper;12;
638;gate-keeper;13;
681;meat_1;12;
690;final-crs_10;12;1267
696;meat_0;13;
703;final-crs_5;13;1602
838;gate-keeper;17;
841;vege_0;17;
889;gate-keeper;18;
890;vege_1;18;
905;final-crs_1;17;2004
924;final-crs_4;18;682
1167;gate-keeper;19;
1168;frui_0;19;
1168;gate-keeper;20;
1169;gate-keeper;21;
1170;gate-keeper;22;
1171;gate-keeper;23;
1172;gate-keeper;24;
1173;vege_0;20;
1173;vege_1;21;
1182;vege_1;22;
1183;vege_0;24;
1184;meat_0;23;
1202;final-crs_8;19;1220
1208;final-crs_11;20;686
1209;final-crs_2;21;355
1225;final-crs_3;22;2045
1228;final-crs_7;24;1689
1233;final-crs_6;23;3695
1460;gate-keeper;26;
1461;gate-keeper;27;
1462;gate-keeper;28;
1463;vege_0;27;
1463;gate-keeper;29;
1465;meat_0;26;
1467;vege_1;28;
1491;meat_1;29;
1520;final-crs_1;27;985
1535;final-crs_0;26;955
1590;final-crs_4;28;586
1602;final-crs_5;29;2885
1602;gate-keeper;32;
1609;meat_1;32;
1632;final-crs_10;32;1316
1742;gate-keeper;33;
1743;gate-keeper;34;
1744;gate-keeper;35;
1745;vege_0;34;
1745;frui_0;35;
1757;final-crs_1;34;4369
1762;final-crs_3;35;3173
1780;meat_1;33;
1832;final-crs_5;33;1764
1997;gate-keeper;38;
1998;gate-keeper;39;
1999;gate-keeper;40;
2002;vege_1;40;
2004;final-crs_0;40;1541
2010;meat_1;38;
2040;meat_0;39;
2059;final-crs_4;38;116
2062;final-crs_3;39;4503
2317;gate-keeper;44;
2318;gate-keeper;45;
2319;gate-keeper;46;
2322;vege_1;45;
2325;final-crs_8;45;509
2327;vege_0;46;
2348;meat_0;44;
2366;final-crs_10;46;2270
2397;final-crs_9;44;3619
2585;gate-keeper;51;
2586;gate-keeper;52;
2595;vege_0;51;
2618;final-crs_7;51;5201
2633;meat_0;52;
2634;final-crs_9;52;395
2850;gate-keeper;58;
2858;vege_1;58;
2869;final-crs_7;58;2621
3132;gate-keeper;63;
3133;gate-keeper;64;
3134;vege_0;64;
3135;frui_0;63;
3153;final-crs_9;64;482
3178;gate-keeper;65;
3179;final-crs_2;63;1342
3185;meat_1;65;
3223;final-crs_0;65;1431
3388;gate-keeper;69;
3391;vege_1;69;
3430;final-crs_0;69;465
3524;gate-keeper;70;
3525;gate-keeper;71;
3526;gate-keeper;72;
3528;vege_1;71;
3538;meat_0;70;
3550;final-crs_4;71;1929
3556;meat_1;72;
3567;final-crs_10;70;504
3576;final-crs_6;72;1039
3718;gate-keeper;75;
3719;gate-keeper;76;
3720;vege_0;76;
3722;meat_1;75;
3727;final-crs_5;76;3921
3738;final-crs_3;75;1521
3973;gate-keeper;82;
3976;frui_0;82;
3982;final-crs_5;82;3100
4252;gate-keeper;88;
4254;frui_1;88;
4264;final-crs_10;88;1328
4489;gate-keeper;89;
4490;vege_0;89;
4490;gate-keeper;90;
4491;gate-keeper;91;
4492;gate-keeper;92;
4493;gate-keeper;93;
4497;vege_1;90;
4497;meat_0;92;
4500;vege_0;91;
4507;vege_1;93;
4533;final-crs_6;89;807
4538;final-crs_4;90;1585
4597;gate-keeper;95;
4598;final-crs_7;92;1025
4606;meat_0;95;
4610;final-crs_9;91;2256
4617;final-crs_11;93;2100
4664;final-crs_5;95;1843
4776;gate-keeper;96;
4777;gate-keeper;97;
4778;gate-keeper;98;
4779;gate-keeper;99;
4781;vege_0;96;
4783;vege_1;98;
4785;meat_0;97;
4786;final-crs_4;96;2538
4789;vege_0;99;
4806;final-crs_6;98;823
4812;final-crs_7;97;1566
4835;final-crs_11;99;1900
5060;gate-keeper;101;
5061;gate-keeper;102;
5062;gate-keeper;103;
5063;vege_0;101;
5063;gate-keeper;104;
5064;vege_1;104;
5064;gate-keeper;105;
5072;meat_0;102;
5073;final-crs_11;101;1788
5073;vege_0;105;
5079;final-crs_6;104;2227
5086;final-crs_9;102;1585
5103;final-crs_10;105;3169
5109;meat_1;103;
5153;final-crs_5;103;3571
5382;gate-keeper;108;
5383;gate-keeper;109;
5384;gate-keeper;110;
5385;frui_0;108;
5385;gate-keeper;111;
5386;gate-keeper;112;
5387;frui_1;110;
5391;frui_0;112;
