time;ckpt;id;money
276;gate-keeper;0;
277;gate-keeper;1;
278;gate-keeper;2;
279;vege_1;0;
279;gate-keeper;3;
280;gate-keeper;4;
281;frui_0;1;
285;meat_0;4;
286;vege_0;2;
286;vege_1;3;
296;final-crs_0;0;316
456;final-crs_7;1;199
467;final-crs_6;4;1796
470;final-crs_10;2;132
472;final-crs_3;3;849
577;gate-keeper;6;
578;gate-keeper;7;
579;gate-keeper;8;
580;gate-keeper;9;
581;gate-keeper;10;
583;vege_0;8;
583;vege_1;10;
584;meat_1;6;
586;meat_0;7;
644;meat_0;9;
691;final-crs_6;8;1781
693;final-crs_10;10;754
701;final-crs_1;6;1195
703;final-crs_3;7;514
720;final-crs_7;9;585
897;gate-keeper;16;
902;meat_1;16;
915;final-crs_3;16;822
1030;gate-keeper;19;
1052;meat_0;19;
1068;final-crs_4;19;1884
1206;gate-keeper;20;
1207;gate-keeper;21;
1208;gate-keeper;22;
1209;gate-keeper;23;
1215;vege_0;20;
1215;vege_1;21;
1221;final-crs_8;20;691
1224;final-crs_9;21;262
1224;vege_0;23;
1229;meat_0;22;
1241;final-crs_0;23;1816
1247;final-crs_5;22;448
1542;gate-keeper;25;
1543;gate-keeper;26;
1544;gate-keeper;27;
1545;gate-keeper;28;
1546;frui_1;28;
1546;gate-keeper;29;
1547;vege_0;25;
1549;vege_1;27;
1556;vege_0;29;
1557;meat_1;26;
1601;final-crs_1;28;1174
1634;final-crs_7;25;156
1648;final-crs_6;27;468
1648;final-crs_10;29;86
1657;final-crs_3;26;892
1818;gate-keeper;34;
1819;gate-keeper;35;
1821;meat_0;35;
1822;vege_0;34;
1839;final-crs_10;35;1854
1851;final-crs_1;34;827
2038;gate-keeper;38;
2039;gate-keeper;39;
2043;vege_1;39;
2076;meat_0;38;
2088;final-crs_10;39;994
2093;final-crs_1;38;640
2093;gate-keeper;40;
2096;vege_0;40;
2107;final-crs_3;40;1098
2387;gate-keeper;44;
2388;gate-keeper;45;
2389;gate-keeper;46;
2391;vege_1;46;
2394;frui_0;44;
2398;meat_1;45;
2400;final-crs_8;46;72
2404;final-crs_9;44;786
2405;final-crs_6;45;1463
2685;gate-keeper;50;
2686;gate-keeper;51;
2687;gate-keeper;52;
2689;frui_1;51;
2707;meat_0;50;
2722;final-crs_0;51;111
2730;meat_1;52;
2790;final-crs_3;50;322
2798;final-crs_4;52;636
2969;gate-keeper;57;
2970;gate-keeper;58;
2971;vege_1;57;
2973;vege_0;58;
2981;final-crs_0;57;1615
3004;final-crs_3;58;1327
3173;gate-keeper;59;
3174;gate-keeper;60;
3175;gate-keeper;61;
3176;gate-keeper;62;
3178;frui_1;59;
3181;vege_1;60;
3183;vege_0;61;
3185;final-crs_9;59;1634
3190;vege_1;62;
3211;final-crs_0;60;178
3239;final-crs_5;61;128
3250;final-crs_3;62;840
3250;gate-keeper;63;
3254;vege_0;63;
3280;final-crs_11;63;307
3541;gate-keeper;68;
3542;gate-keeper;69;
3544;vege_0;68;
3546;frui_0;69;
3551;final-crs_2;68;1127
3579;final-crs_7;69;410
4013;gate-keeper;76;
4014;gate-keeper;77;
4015;gate-keeper;78;
4019;vege_0;76;
4020;vege_1;78;
4031;meat_1;77;
4055;final-crs_7;76;304
4117;final-crs_9;78;323
