time;ckpt;id;money
300;gate-keeper;0;
302;frui_0;0;
432;final-crs_0;0;133
628;gate-keeper;1;
629;gate-keeper;2;
632;vege_1;1;
634;vege_0;2;
667;final-crs_3;1;2147
687;final-crs_0;2;379
890;gate-keeper;3;
893;vege_0;3;
898;final-crs_5;3;1332
1147;gate-keeper;4;
1148;frui_1;4;
1164;final-crs_0;4;2464
1482;gate-keeper;5;
1483;gate-keeper;6;
1487;frui_1;5;
1488;frui_0;6;
1504;final-crs_1;5;2131
1549;final-crs_3;6;5328
1673;gate-keeper;7;
1675;vege_1;7;
1707;final-crs_6;7;3977
1741;gate-keeper;8;
1747;vege_0;8;
1767;final-crs_3;8;505
2008;gate-keeper;9;
2012;frui_0;9;
2015;final-crs_4;9;424
2313;gate-keeper;10;
2315;frui_0;10;
2316;final-crs_0;10;1513
2612;gate-keeper;11;
2613;gate-keeper;12;
2614;meat_1;11;
2615;final-crs_2;11;2174
2651;meat_0;12;
2682;final-crs_1;12;3197
2862;gate-keeper;13;
2865;vege_1;13;
2906;final-crs_6;13;2105
3154;gate-keeper;14;
3155;gate-keeper;15;
3156;vege_0;14;
3157;frui_0;15;
3159;final-crs_1;14;1968
3180;final-crs_6;15;153
3303;gate-keeper;16;
3308;vege_0;16;
3402;final-crs_1;16;3784
3681;gate-keeper;17;
3721;meat_1;17;
3745;final-crs_4;17;1915
3990;gate-keeper;18;
3991;gate-keeper;19;
3997;vege_0;18;
3999;vege_1;19;
4001;final-crs_0;18;757
4010;final-crs_3;19;1057
4286;gate-keeper;20;
4287;gate-keeper;21;
4293;vege_0;20;
4295;vege_1;21;
4332;final-crs_6;20;2574
4351;final-crs_1;21;977
4570;gate-keeper;22;
4574;frui_0;22;
4586;final-crs_6;22;2555
4847;gate-keeper;23;
4855;vege_1;23;
4907;final-crs_5;23;1140
5119;gate-keeper;24;
5120;gate-keeper;25;
5121;vege_0;24;
5122;vege_1;25;
5137;final-crs_4;24;2503
5176;final-crs_5;25;2068
5453;gate-keeper;26;
5457;frui_1;26;
5460;final-crs_2;26;612
5698;gate-keeper;27;
5699;frui_1;27;
5699;gate-keeper;28;
5702;final-crs_0;27;4089
5704;vege_0;28;
5753;final-crs_6;28;1107
5972;gate-keeper;29;
5978;vege_0;29;
5994;final-crs_3;29;1188
6266;gate-keeper;30;
6269;vege_0;30;
6307;final-crs_4;30;617
6560;gate-keeper;31;
6561;gate-keeper;32;
6565;vege_0;31;
6566;vege_1;32;
6571;final-crs_1;31;1106
6604;final-crs_0;32;139
6766;gate-keeper;33;
6775;vege_1;33;
6783;final-crs_5;33;368
7166;gate-keeper;34;
7167;gate-keeper;35;
7174;vege_0;34;
7175;final-crs_3;34;381
7175;vege_1;35;
7197;final-crs_6;35;2165
7440;gate-keeper;36;
7444;frui_1;36;
7512;final-crs_1;36;1861
7677;gate-keeper;37;
7683;vege_1;37;
7706;final-crs_2;37;1635
8017;gate-keeper;38;
8018;gate-keeper;39;
8019;vege_1;38;
8028;vege_0;39;
8033;final-crs_0;38;1504
8050;final-crs_3;39;473
8310;gate-keeper;40;
8315;vege_0;40;
8321;final-crs_1;40;3515
8450;gate-keeper;41;
8452;vege_1;41;
8459;final-crs_0;41;1563
8580;gate-keeper;42;
8586;meat_1;42;
8587;final-crs_4;42;2150
8876;gate-keeper;43;
8883;vege_0;43;
8924;final-crs_2;43;1533
9137;gate-keeper;44;
9138;vege_0;44;
9144;final-crs_2;44;1259
9360;gate-keeper;45;
9361;vege_1;45;
9397;final-crs_0;45;511
9448;gate-keeper;46;
9502;meat_1;46;
9508;final-crs_4;46;1730
9765;gate-keeper;47;
9766;vege_0;47;
9766;gate-keeper;48;
9767;vege_1;48;
9862;final-crs_6;47;1911
9882;final-crs_3;48;1051
10031;gate-keeper;49;
10034;vege_1;49;
10089;final-crs_3;49;2187
10291;gate-keeper;50;
10292;vege_0;50;
10306;final-crs_3;50;1482
10394;gate-keeper;51;
10402;vege_0;51;
10406;final-crs_4;51;2574
10651;gate-keeper;52;
10654;vege_0;52;
10655;final-crs_5;52;900
10932;gate-keeper;53;
10938;vege_1;53;
11017;final-crs_3;53;196
11138;gate-keeper;54;
11145;vege_0;54;
11150;final-crs_5;54;2942
11262;gate-keeper;55;
11263;vege_1;55;
11297;final-crs_6;55;868
11599;gate-keeper;56;
11602;vege_0;56;
11662;final-crs_5;56;896
11908;gate-keeper;57;
11909;frui_1;57;
11909;gate-keeper;58;
11929;meat_0;58;
12016;final-crs_6;57;1798
12028;final-crs_1;58;973
12099;gate-keeper;59;
12147;meat_0;59;
12255;gate-keeper;60;
12256;vege_1;60;
12259;final-crs_0;59;3464
12278;final-crs_4;60;2482
12597;gate-keeper;61;
12598;gate-keeper;62;
12602;vege_0;61;
12607;vege_1;62;
12613;final-crs_3;61;1450
12753;final-crs_4;62;1889
12900;gate-keeper;63;
12902;vege_0;63;
12966;final-crs_1;63;397
13221;gate-keeper;64;
13222;gate-keeper;65;
13223;vege_1;64;
13224;frui_0;65;
13225;final-crs_2;64;434
13233;final-crs_4;65;938
13596;gate-keeper;66;
13597;gate-keeper;67;
13598;frui_0;66;
13601;frui_1;67;
13668;final-crs_2;66;2139
13686;final-crs_0;67;509
13896;gate-keeper;68;
13898;vege_1;68;
13920;final-crs_2;68;2327
13994;gate-keeper;69;
13995;vege_1;69;
14024;final-crs_4;69;1889
14157;gate-keeper;70;
14160;frui_0;70;
14164;final-crs_2;70;4191
14504;gate-keeper;71;
14505;vege_0;71;
14505;gate-keeper;72;
14507;final-crs_3;71;1678
14509;frui_1;72;
14550;final-crs_2;72;1540
14810;gate-keeper;73;
14813;vege_1;73;
14904;final-crs_1;73;2933
15095;gate-keeper;74;
15096;gate-keeper;75;
15098;vege_0;74;
15103;vege_1;75;
15131;final-crs_1;74;1913
15146;final-crs_0;75;857
15376;gate-keeper;76;
15380;vege_0;76;
