time;ckpt;id;money
565;gate-keeper;0;
569;vege_1;0;
679;final-crs_4;0;2249
1136;gate-keeper;1;
1140;vege_1;1;
1163;final-crs_5;1;204
1708;gate-keeper;2;
1712;vege_1;2;
1732;final-crs_0;2;1011
2378;gate-keeper;3;
2381;vege_0;3;
2391;final-crs_6;3;723
2825;gate-keeper;4;
2830;vege_1;4;
2837;final-crs_4;4;447
3565;gate-keeper;5;
3574;vege_1;5;
3581;final-crs_3;5;852
4201;gate-keeper;6;
4202;frui_0;6;
4210;final-crs_1;6;655
4505;gate-keeper;7;
4536;meat_1;7;
4563;final-crs_6;7;937
5144;gate-keeper;8;
5147;vege_1;8;
5183;final-crs_1;8;1267
5977;gate-keeper;9;
5979;frui_0;9;
5990;final-crs_5;9;896
6244;gate-keeper;10;
6248;vege_1;10;
6272;final-crs_6;10;653
6848;gate-keeper;11;
6853;vege_0;11;
6901;final-crs_5;11;450
7485;gate-keeper;12;
7492;vege_1;12;
7499;final-crs_3;12;470
8065;gate-keeper;13;
8068;vege_0;13;
8081;final-crs_0;13;711
8428;gate-keeper;14;
8432;vege_1;14;
8451;final-crs_3;14;62
9023;gate-keeper;15;
9027;vege_1;15;
9033;final-crs_0;15;888
9576;gate-keeper;16;
9583;vege_0;16;
9654;final-crs_5;16;1283
9936;gate-keeper;17;
9942;vege_0;17;
9954;final-crs_1;17;795
10482;gate-keeper;18;
10491;vege_1;18;
10519;final-crs_4;18;248
11039;gate-keeper;19;
11043;frui_0;19;
11065;final-crs_0;19;1503
11634;gate-keeper;20;
11640;vege_0;20;
11655;final-crs_6;20;544
12182;gate-keeper;21;
12183;vege_0;21;
12251;final-crs_3;21;756
12496;gate-keeper;22;
12505;vege_0;22;
12541;final-crs_6;22;804
13080;gate-keeper;23;
13083;frui_1;23;
13140;final-crs_4;23;450
13746;gate-keeper;24;
13748;frui_0;24;
13756;final-crs_2;24;849
14349;gate-keeper;25;
14352;vege_1;25;
14377;final-crs_4;25;775
14897;gate-keeper;26;
14901;vege_0;26;
14938;final-crs_3;26;446
15505;gate-keeper;27;
15507;vege_0;27;
15516;final-crs_2;27;597
15856;gate-keeper;28;
15863;vege_1;28;
15874;final-crs_5;28;913
16550;gate-keeper;29;
16557;vege_0;29;
16569;final-crs_4;29;1115
17219;gate-keeper;30;
17220;vege_0;30;
17261;final-crs_6;30;1064
17466;gate-keeper;31;
17471;frui_1;31;
17479;final-crs_3;31;741
17706;gate-keeper;32;
17707;meat_0;32;
17733;final-crs_2;32;779
17841;gate-keeper;33;
17843;vege_0;33;
17846;final-crs_0;33;661
18140;gate-keeper;34;
18141;vege_0;34;
18151;final-crs_6;34;574
18431;gate-keeper;35;
18434;frui_1;35;
18465;final-crs_3;35;272
18992;gate-keeper;36;
18996;vege_0;36;
19026;final-crs_5;36;152
19310;gate-keeper;37;
19313;vege_1;37;
19321;final-crs_2;37;67
19612;gate-keeper;38;
19616;vege_0;38;
19632;final-crs_0;38;654
19636;gate-keeper;39;
19638;vege_0;39;
19646;final-crs_4;39;265
19871;gate-keeper;40;
19876;vege_0;40;
19896;final-crs_0;40;1993
20437;gate-keeper;41;
20440;vege_1;41;
20455;final-crs_3;41;820
20733;gate-keeper;42;
20736;vege_0;42;
20754;final-crs_2;42;346
21013;gate-keeper;43;
21020;vege_0;43;
21043;final-crs_6;43;83
21303;gate-keeper;44;
21308;frui_0;44;
21316;final-crs_6;44;143
21574;gate-keeper;45;
21576;vege_0;45;
21599;final-crs_6;45;376
22244;gate-keeper;46;
22249;vege_0;46;
22250;final-crs_5;46;855
22459;gate-keeper;47;
22463;vege_1;47;
22465;final-crs_5;47;845
22532;gate-keeper;48;
22570;meat_1;48;
22585;final-crs_6;48;216
22826;gate-keeper;49;
22828;vege_0;49;
22831;final-crs_2;49;336
23100;gate-keeper;50;
23102;frui_1;50;
23115;final-crs_3;50;134
23395;gate-keeper;51;
23399;vege_0;51;
23501;final-crs_2;51;896
23577;gate-keeper;52;
23583;vege_0;52;
23616;final-crs_3;52;375
23640;gate-keeper;53;
23641;gate-keeper;54;
23642;gate-keeper;55;
23643;vege_1;53;
23643;gate-keeper;56;
23647;vege_0;54;
23652;vege_1;55;
23657;vege_0;56;
23692;gate-keeper;57;
23696;vege_0;57;
23731;final-crs_6;53;687
23738;final-crs_5;54;826
23760;final-crs_2;55;647
23821;final-crs_4;56;148
23822;final-crs_1;57;92
23992;gate-keeper;58;
23996;vege_0;58;
24021;final-crs_3;58;505
24334;gate-keeper;59;
24339;frui_0;59;
24383;final-crs_0;59;1098
24460;gate-keeper;60;
24461;vege_0;60;
24470;final-crs_5;60;680
24615;gate-keeper;61;
24625;meat_0;61;
24691;final-crs_5;61;692
24924;gate-keeper;62;
24927;frui_1;62;
24944;final-crs_3;62;487
25215;gate-keeper;63;
25216;frui_1;63;
25253;final-crs_2;63;369
25300;gate-keeper;64;
25301;vege_1;64;
25357;final-crs_6;64;1069
25492;gate-keeper;65;
25493;frui_1;65;
25528;final-crs_1;65;1470
25795;gate-keeper;66;
25797;vege_1;66;
25824;final-crs_6;66;1164
26010;gate-keeper;67;
26014;vege_0;67;
26034;final-crs_0;67;571
26295;gate-keeper;68;
26299;frui_0;68;
26314;final-crs_6;68;660
26846;gate-keeper;69;
26848;frui_0;69;
26877;final-crs_5;69;256
27587;gate-keeper;70;
27588;frui_0;70;
27614;final-crs_5;70;1687
27854;gate-keeper;71;
27855;frui_0;71;
27868;final-crs_2;71;329
28554;gate-keeper;72;
28556;vege_1;72;
